date,total,total_contained,total_outside,total_hazardous,total_gas,total_aqueous,gas_contained,aqueous_contained,gas_outside,aqueous_outside,gas_hazardous,aqueous_hazardous
2020-01-01,14048144.778545566,13338226.3294905,709345.9169831603,572.5320719077063,13649086.247436963,399058.5311086025,12945234.355720017,392991.9737704818,703289.8656993852,6056.051283775135,562.0260175622049,10.506054345501362
2040-01-01,15489301.957102764,14404794.37915981,1082997.9201612114,1509.6577817439666,15055611.250997035,433690.7061057304,13980377.486314943,424416.89284486725,1073751.8093601342,9246.110801077333,1481.955321958154,27.702459785812504
2060-01-01,16996946.382148027,15450452.931556258,1542923.4967069712,3569.9538847973085,16528482.397542091,468463.9846059361,14995227.188400634,455225.74315562384,1529750.7644767791,13172.732230191858,3504.4446646768674,65.50922012044126
2080-01-01,18570034.045288827,16479252.008360758,2083084.520333598,7697.5165944727005,18066570.576796375,503463.4684924518,15993714.15549736,485537.85286339885,2065300.155355181,17784.364978416983,7556.265943836721,141.25065063597924
2100-01-01,20202430.73328931,17491382.331646048,2695719.776271899,15328.625371364631,19663775.861698125,538654.8715911853,16976023.49032173,515358.84132431634,2672705.0287123146,23014.74755958455,15047.342664080159,281.28270728447234
2120-01-01,21885198.010303717,18484743.31270979,3371981.169528523,28473.528065399343,21311260.359651957,573937.6506517598,17940116.495046545,544626.8176632464,3343192.830297026,28788.33923149737,27951.03430838329,522.4937570160553
2140-01-01,23609790.572459206,19457109.53709772,4102957.7946896646,49723.24067182468,23000572.866906937,609217.7055522695,18883833.32390689,573276.213190827,4067928.7316826023,35029.063007062345,48810.811317444604,912.4293543800726
2160-01-01,25370741.508209176,20407386.62064241,4881209.69049999,82145.19706677487,24726285.94727939,644455.5609297839,19806111.837216992,601274.7834254162,4839536.290393242,41673.40010674914,80637.81966915622,1507.3773976186565
2180-01-01,27166989.59401365,21335778.02897692,5702157.123703169,129054.44133355685,26487310.650358,679678.9436556525,20707149.505782805,628628.5231941186,5653474.872713191,48682.250989977714,126686.27186200062,2368.169471556229
2200-01-01,29001798.823929045,22243404.62718437,6564709.1051048385,193685.09163984493,28286827.91324979,714970.9106792558,21588034.169983063,655370.4572013036,6508662.803784513,56046.30132032504,190130.9394822176,3554.1521576273344
