date,amount,phase,containment,zone,region,plume_group
2020-01-01,14048144.778545627,total,total,all,all,all
2040-01-01,15489301.957102839,total,total,all,all,all
2060-01-01,16996946.38214811,total,total,all,all,all
2080-01-01,18570034.045288924,total,total,all,all,all
2100-01-01,20202430.733289417,total,total,all,all,all
2120-01-01,21885198.010303836,total,total,all,all,all
2140-01-01,23609790.57245934,total,total,all,all,all
2160-01-01,25370741.508209318,total,total,all,all,all
2180-01-01,27166989.594013814,total,total,all,all,all
2200-01-01,29001798.823929228,total,total,all,all,all
2020-01-01,399058.531108603,aqueous,total,all,all,all
2040-01-01,433690.70610573085,aqueous,total,all,all,all
2060-01-01,468463.9846059367,aqueous,total,all,all,all
2080-01-01,503463.4684924524,aqueous,total,all,all,all
2100-01-01,538654.871591186,aqueous,total,all,all,all
2120-01-01,573937.650651761,aqueous,total,all,all,all
2140-01-01,609217.705552271,aqueous,total,all,all,all
2160-01-01,644455.5609297857,aqueous,total,all,all,all
2180-01-01,679678.9436556547,aqueous,total,all,all,all
2200-01-01,714970.9106792584,aqueous,total,all,all,all
2020-01-01,13649086.247437024,gas,total,all,all,all
2040-01-01,15055611.250997107,gas,total,all,all,all
2060-01-01,16528482.397542175,gas,total,all,all,all
2080-01-01,18066570.576796472,gas,total,all,all,all
2100-01-01,19663775.86169823,gas,total,all,all,all
2120-01-01,21311260.359652076,gas,total,all,all,all
2140-01-01,23000572.86690707,gas,total,all,all,all
2160-01-01,24726285.947279528,gas,total,all,all,all
2180-01-01,26487310.65035816,gas,total,all,all,all
2200-01-01,28286827.91324997,gas,total,all,all,all
2020-01-01,13338226.3294905,total,contained,all,all,all
2040-01-01,14404794.379159804,total,contained,all,all,all
2060-01-01,15450452.931556247,total,contained,all,all,all
2080-01-01,16479252.008360745,total,contained,all,all,all
2100-01-01,17491382.331646036,total,contained,all,all,all
2120-01-01,18484743.31270979,total,contained,all,all,all
2140-01-01,19457109.537097726,total,contained,all,all,all
2160-01-01,20407386.62064242,total,contained,all,all,all
2180-01-01,21335778.028976947,total,contained,all,all,all
2200-01-01,22243404.6271844,total,contained,all,all,all
2020-01-01,392991.9737704818,aqueous,contained,all,all,all
2040-01-01,424416.8928448671,aqueous,contained,all,all,all
2060-01-01,455225.74315562355,aqueous,contained,all,all,all
2080-01-01,485537.8528633985,aqueous,contained,all,all,all
2100-01-01,515358.841324316,aqueous,contained,all,all,all
2120-01-01,544626.8176632464,aqueous,contained,all,all,all
2140-01-01,573276.2131908273,aqueous,contained,all,all,all
2160-01-01,601274.7834254166,aqueous,contained,all,all,all
2180-01-01,628628.5231941193,aqueous,contained,all,all,all
2200-01-01,655370.4572013044,aqueous,contained,all,all,all
2020-01-01,12945234.355720017,gas,contained,all,all,all
2040-01-01,13980377.486314937,gas,contained,all,all,all
2060-01-01,14995227.188400624,gas,contained,all,all,all
2080-01-01,15993714.155497346,gas,contained,all,all,all
2100-01-01,16976023.49032172,gas,contained,all,all,all
2120-01-01,17940116.495046545,gas,contained,all,all,all
2140-01-01,18883833.3239069,gas,contained,all,all,all
2160-01-01,19806111.837217003,gas,contained,all,all,all
2180-01-01,20707149.50578283,gas,contained,all,all,all
2200-01-01,21588034.169983093,gas,contained,all,all,all
2020-01-01,572.5320719079945,total,hazardous,all,all,all
2040-01-01,1509.6577817446366,total,hazardous,all,all,all
2060-01-01,3569.9538847988038,total,hazardous,all,all,all
2080-01-01,7697.516594475693,total,hazardous,all,all,all
2100-01-01,15328.62537137012,total,hazardous,all,all,all
2120-01-01,28473.528065408773,total,hazardous,all,all,all
2140-01-01,49723.24067183981,total,hazardous,all,all,all
2160-01-01,82145.19706679764,total,hazardous,all,all,all
2180-01-01,129054.44133358919,total,hazardous,all,all,all
2200-01-01,193685.09163988818,total,hazardous,all,all,all
2020-01-01,10.50605434550665,aqueous,hazardous,all,all,all
2040-01-01,27.7024597858248,aqueous,hazardous,all,all,all
2060-01-01,65.5092201204687,aqueous,hazardous,all,all,all
2080-01-01,141.25065063603415,aqueous,hazardous,all,all,all
2100-01-01,281.28270728457306,aqueous,hazardous,all,all,all
2120-01-01,522.4937570162283,aqueous,hazardous,all,all,all
2140-01-01,912.4293543803502,aqueous,hazardous,all,all,all
2160-01-01,1507.3773976190744,aqueous,hazardous,all,all,all
2180-01-01,2368.169471556822,aqueous,hazardous,all,all,all
2200-01-01,3554.152157628128,aqueous,hazardous,all,all,all
2020-01-01,562.0260175624878,gas,hazardous,all,all,all
2040-01-01,1481.9553219588117,gas,hazardous,all,all,all
2060-01-01,3504.444664678335,gas,hazardous,all,all,all
2080-01-01,7556.265943839659,gas,hazardous,all,all,all
2100-01-01,15047.342664085547,gas,hazardous,all,all,all
2120-01-01,27951.034308392544,gas,hazardous,all,all,all
2140-01-01,48810.81131745946,gas,hazardous,all,all,all
2160-01-01,80637.81966917857,gas,hazardous,all,all,all
2180-01-01,126686.27186203237,gas,hazardous,all,all,all
2200-01-01,190130.93948226006,gas,hazardous,all,all,all
2020-01-01,709345.9169832205,total,outside,all,all,all
2040-01-01,1082997.92016129,total,outside,all,all,all
2060-01-01,1542923.4967070655,total,outside,all,all,all
2080-01-01,2083084.5203337048,total,outside,all,all,all
2100-01-01,2695719.776272013,total,outside,all,all,all
2120-01-01,3371981.169528637,total,outside,all,all,all
2140-01-01,4102957.794689775,total,outside,all,all,all
2160-01-01,4881209.690500095,total,outside,all,all,all
2180-01-01,5702157.123703273,total,outside,all,all,all
2200-01-01,6564709.105104946,total,outside,all,all,all
2020-01-01,6056.051283775649,aqueous,outside,all,all,all
2040-01-01,9246.110801078006,aqueous,outside,all,all,all
2060-01-01,13172.732230192662,aqueous,outside,all,all,all
2080-01-01,17784.364978417896,aqueous,outside,all,all,all
2100-01-01,23014.747559585518,aqueous,outside,all,all,all
2120-01-01,28788.339231498347,aqueous,outside,all,all,all
2140-01-01,35029.06300706328,aqueous,outside,all,all,all
2160-01-01,41673.40010675003,aqueous,outside,all,all,all
2180-01-01,48682.2509899786,aqueous,outside,all,all,all
2200-01-01,56046.301320325954,aqueous,outside,all,all,all
2020-01-01,703289.8656994449,gas,outside,all,all,all
2040-01-01,1073751.8093602122,gas,outside,all,all,all
2060-01-01,1529750.7644768727,gas,outside,all,all,all
2080-01-01,2065300.155355287,gas,outside,all,all,all
2100-01-01,2672705.0287124272,gas,outside,all,all,all
2120-01-01,3343192.830297139,gas,outside,all,all,all
2140-01-01,4067928.7316827117,gas,outside,all,all,all
2160-01-01,4839536.290393345,gas,outside,all,all,all
2180-01-01,5653474.872713295,gas,outside,all,all,all
2200-01-01,6508662.803784619,gas,outside,all,all,all
2020-01-01,648266.0580273696,total,total,toptherys,all,all
2040-01-01,736019.956717814,total,total,toptherys,all,all
2060-01-01,829029.4327676946,total,total,toptherys,all,all
2080-01-01,927100.7138257592,total,total,toptherys,all,all
2100-01-01,1030025.9024554944,total,total,toptherys,all,all
2120-01-01,1137614.4591525267,total,total,toptherys,all,all
2140-01-01,1249701.2269012157,total,total,toptherys,all,all
2160-01-01,1366133.3226000266,total,total,toptherys,all,all
2180-01-01,1486751.3946260042,total,total,toptherys,all,all
