SGAS,DRAWDOWN,CONKPOS,DATE,CONJPOS,WELLMODEL,CONIDX,CONBPRES,SWAT,WELL,CONIPOS,PRESSURE,DEPTH
0.0,0,1,2018-01-01,30,STANDARD,1,300.8064880371094,0.14336521923542023,R_A2,22,300.8064880371094,1641.6710205078125
0.0,0,2,2018-01-01,30,STANDARD,2,300.9255676269531,0.056206297129392624,R_A2,22,300.9255676269531,1643.4471435546875
0.0,0,3,2018-01-01,30,STANDARD,3,301.044677734375,0.0581689216196537,R_A2,22,301.044677734375,1645.22314453125
0.0,0,4,2018-01-01,30,STANDARD,4,301.1637878417969,0.06387252360582352,R_A2,22,301.1637878417969,1646.999267578125
0.0,0,5,2018-01-01,30,STANDARD,5,301.28289794921875,0.06864486634731293,R_A2,22,301.28289794921875,1648.7752685546875
0.0,0,6,2018-01-01,30,STANDARD,6,301.4019775390625,0.3181348443031311,R_A2,22,301.4019775390625,1650.55126953125
0.0,0,7,2018-01-01,30,STANDARD,7,301.5211181640625,0.8817232847213745,R_A2,22,301.5211181640625,1652.327392578125
0.0,0,8,2018-01-01,30,STANDARD,8,301.6402282714844,0.8650686740875244,R_A2,22,301.6402282714844,1654.1033935546875
0.0,0,9,2018-01-01,30,STANDARD,9,301.75933837890625,0.894265353679657,R_A2,22,301.75933837890625,1655.87939453125
0.0,0,10,2018-01-01,30,STANDARD,10,301.8784484863281,0.8929328322410583,R_A2,22,301.8784484863281,1657.655517578125
0.0,0,11,2018-01-01,30,STANDARD,11,302.0043640136719,0.07155874371528625,R_A2,22,302.0043640136719,1659.5325927734375
0.0,0,12,2018-01-01,30,STANDARD,12,302.1370544433594,0.07300497591495514,R_A2,22,302.1370544433594,1661.5108642578125
0.0,0,13,2018-01-01,30,STANDARD,13,302.2697448730469,0.42484617233276367,R_A2,22,302.2697448730469,1663.4891357421875
0.0,0,14,2018-01-01,30,STANDARD,14,302.4024658203125,0.4756859540939331,R_A2,22,302.4024658203125,1665.4674072265625
0.0,0,15,2018-01-01,30,STANDARD,15,302.53515625,0.5632706880569458,R_A2,22,302.53515625,1667.445556640625
0.0,0,16,2018-01-01,30,STANDARD,16,302.6678771972656,0.9493048191070557,R_A2,22,302.6678771972656,1669.423828125
0.0,0,17,2018-01-01,30,STANDARD,17,302.80059814453125,0.9255172610282898,R_A2,22,302.80059814453125,1671.402099609375
0.0,0,17,2018-01-01,29,STANDARD,18,302.713623046875,0.8986253142356873,R_A2,22,302.713623046875,1670.105712890625
0.0,0,18,2018-01-01,29,STANDARD,19,302.8468322753906,0.9323304891586304,R_A2,22,302.8468322753906,1672.09130859375
0.0,0,19,2018-01-01,29,STANDARD,20,302.9305725097656,0.9808587431907654,R_A2,22,302.9305725097656,1673.339599609375
0.0,0,26,2018-01-01,29,STANDARD,21,303.0084228515625,0.7941586971282959,R_A2,22,303.0084228515625,1674.5
0.0,0,27,2018-01-01,29,STANDARD,22,303.12982177734375,1.0,R_A2,22,303.12982177734375,1676.3095703125
0.0,0,28,2018-01-01,29,STANDARD,23,303.2512512207031,1.0,R_A2,22,303.2512512207031,1678.1190185546875
0.0,0,29,2018-01-01,29,STANDARD,24,303.3726501464844,0.6757766604423523,R_A2,22,303.3726501464844,1679.928466796875
0.0,0,30,2018-01-01,29,STANDARD,25,303.8382568359375,1.0,R_A2,22,303.8382568359375,1681.738037109375
0.0,0,1,2018-01-01,41,STANDARD,1,298.7696228027344,0.31109458208084106,R_A3,28,298.7696228027344,1611.287109375
0.0,0,2,2018-01-01,41,STANDARD,2,298.9084167480469,0.19908484816551208,R_A3,28,298.9084167480469,1613.35791015625
