WELLMODEL,CONBPRES,CONJPOS,PRESSURE,CONKPOS,DEPTH,DRAWDOWN,SWAT,WELL,CONIPOS,SGAS,CONIDX,DATE
STANDARD,300.5350341796875,30,300.5350341796875,1,1641.094970703125,0,0.06051347404718399,R_A2,22,0.0,1,2018-01-01
STANDARD,300.65533447265625,30,300.65533447265625,2,1642.8890380859375,0,0.061392247676849365,R_A2,22,0.0,2,2018-01-01
STANDARD,300.775634765625,30,300.775634765625,3,1644.68310546875,0,0.06626132875680923,R_A2,22,0.0,3,2018-01-01
STANDARD,300.89593505859375,30,300.89593505859375,4,1646.4771728515625,0,0.0733155906200409,R_A2,22,0.0,4,2018-01-01
STANDARD,301.0162353515625,30,301.0162353515625,5,1648.2713623046875,0,0.07756023108959198,R_A2,22,0.0,5,2018-01-01
STANDARD,301.13653564453125,30,301.13653564453125,6,1650.0654296875,0,0.3345900774002075,R_A2,22,0.0,6,2018-01-01
STANDARD,301.2568664550781,30,301.2568664550781,7,1651.859619140625,0,0.7122165560722351,R_A2,22,0.0,7,2018-01-01
STANDARD,301.3771667480469,30,301.3771667480469,8,1653.6536865234375,0,0.6481541991233826,R_A2,22,0.0,8,2018-01-01
STANDARD,301.49749755859375,30,301.49749755859375,9,1655.44775390625,0,0.6481541991233826,R_A2,22,0.0,9,2018-01-01
STANDARD,301.6178283691406,30,301.6178283691406,10,1657.2418212890625,0,0.9531629681587219,R_A2,22,0.0,10,2018-01-01
STANDARD,301.74493408203125,30,301.74493408203125,11,1659.1368408203125,0,0.08961161226034164,R_A2,22,0.0,11,2018-01-01
STANDARD,301.8787841796875,30,301.8787841796875,12,1661.132568359375,0,0.09607585519552231,R_A2,22,0.0,12,2018-01-01
STANDARD,302.01263427734375,30,302.01263427734375,13,1663.12841796875,0,0.508402407169342,R_A2,22,0.0,13,2018-01-01
STANDARD,302.1465148925781,30,302.1465148925781,14,1665.1241455078125,0,0.5874869227409363,R_A2,22,0.0,14,2018-01-01
STANDARD,302.2803955078125,30,302.2803955078125,15,1667.1199951171875,0,0.7730302810668945,R_A2,22,0.0,15,2018-01-01
STANDARD,302.4142761230469,30,302.4142761230469,16,1669.11572265625,0,1.0,R_A2,22,0.0,16,2018-01-01
STANDARD,302.54815673828125,30,302.54815673828125,17,1671.111572265625,0,0.9997705221176147,R_A2,22,0.0,17,2018-01-01
STANDARD,302.86041259765625,30,302.86041259765625,18,1672.9881591796875,0,1.0,R_A2,22,0.0,18,2018-01-01
STANDARD,302.97808837890625,29,302.97808837890625,18,1674.229736328125,0,1.0,R_A2,22,0.0,19,2018-01-01
STANDARD,303.3103942871094,29,303.3103942871094,27,1676.1676025390625,0,1.0,R_A2,22,0.0,20,2018-01-01
STANDARD,303.47802734375,29,303.47802734375,28,1677.9368896484375,0,1.0,R_A2,22,0.0,21,2018-01-01
STANDARD,303.64569091796875,29,303.64569091796875,29,1679.7061767578125,0,1.0,R_A2,22,0.0,22,2018-01-01
STANDARD,303.8133544921875,29,303.8133544921875,30,1681.4754638671875,0,1.0,R_A2,22,0.0,23,2018-01-01
STANDARD,303.98101806640625,29,303.98101806640625,31,1683.2447509765625,0,1.0,R_A2,22,0.0,24,2018-01-01
STANDARD,298.39996337890625,41,298.39996337890625,1,1609.243408203125,0,0.6481541991233826,R_A3,28,0.0,1,2018-01-01
STANDARD,298.5382995605469,41,298.5382995605469,2,1611.3077392578125,0,0.233726367354393,R_A3,28,0.0,2,2018-01-01
STANDARD,298.6766357421875,41,298.6766357421875,3,1613.3720703125,0,0.2025710493326187,R_A3,28,0.0,3,2018-01-01
STANDARD,298.81500244140625,41,298.81500244140625,4,1615.4365234375,0,0.3854779601097107,R_A3,28,0.0,4,2018-01-01
STANDARD,298.953369140625,41,298.953369140625,5,1617.5008544921875,0,0.8360195159912109,R_A3,28,0.0,5,2018-01-01
STANDARD,299.09173583984375,41,299.09173583984375,6,1619.565185546875,0,0.23173029720783234,R_A3,28,0.0,6,2018-01-01
STANDARD,298.408203125,41,298.408203125,6,1609.3663330078125,0,0.270832896232605,R_A3,29,0.0,7,2018-01-01
STANDARD,298.5455627441406,41,298.5455627441406,7,1611.4163818359375,0,0.20202556252479553,R_A3,29,0.0,8,2018-01-01
STANDARD,298.6829528808594,41,298.6829528808594,8,1613.46630859375,0,0.38680753111839294,R_A3,29,0.0,9,2018-01-01
STANDARD,298.8203430175781,41,298.8203430175781,9,1615.516357421875,0,0.8106677532196045,R_A3,29,0.0,10,2018-01-01
STANDARD,298.9577331542969,41,298.9577331542969,10,1617.5662841796875,0,0.8086308836936951,R_A3,29,0.0,11,2018-01-01
STANDARD,299.1041564941406,41,299.1041564941406,11,1619.750732421875,0,0.051036544144153595,R_A3,29,0.0,12,2018-01-01
STANDARD,299.25958251953125,41,299.25958251953125,12,1622.0697021484375,0,0.0566626600921154,R_A3,29,0.0,13,2018-01-01
STANDARD,299.4150390625,41,299.4150390625,13,1624.388671875,0,0.3778468370437622,R_A3,29,0.0,14,2018-01-01
STANDARD,299.5704650878906,41,299.5704650878906,14,1626.707763671875,0,0.3760708272457123,R_A3,29,0.0,15,2018-01-01
STANDARD,299.7259216308594,41,299.7259216308594,15,1629.026611328125,0,0.4503118693828583,R_A3,29,0.0,16,2018-01-01
STANDARD,299.85467529296875,41,299.85467529296875,16,1630.9468994140625,0,0.8230985999107361,R_A3,29,0.0,17,2018-01-01
STANDARD,300.027587890625,41,300.027587890625,27,1633.5262451171875,0,0.38075655698776245,R_A3,29,0.0,18,2018-01-01
STANDARD,300.27142333984375,41,300.27142333984375,28,1637.1630859375,0,0.048639342188835144,R_A3,29,0.0,19,2018-01-01
STANDARD,300.5152587890625,41,300.5152587890625,29,1640.8001708984375,0,0.05413415655493736,R_A3,29,0.0,20,2018-01-01
STANDARD,300.7591247558594,41,300.7591247558594,30,1644.4371337890625,0,0.6481541991233826,R_A3,29,0.0,21,2018-01-01
STANDARD,301.0030212402344,41,301.0030212402344,31,1648.0740966796875,0,0.06828311085700989,R_A3,29,0.0,22,2018-01-01
STANDARD,299.87078857421875,52,299.87078857421875,1,1631.1873779296875,0,0.054491717368364334,R_A4,30,0.0,1,2018-01-01
STANDARD,299.6188659667969,52,299.6188659667969,1,1627.4293212890625,0,0.05101825296878815,R_A4,31,0.0,2,2018-01-01
STANDARD,299.7569580078125,52,299.7569580078125,2,1629.4896240234375,0,0.05492193251848221,R_A4,31,0.0,3,2018-01-01
STANDARD,299.89508056640625,52,299.89508056640625,3,1631.5498046875,0,0.05727119743824005,R_A4,31,0.0,4,2018-01-01
STANDARD,300.033203125,52,300.033203125,4,1633.610107421875,0,0.060654837638139725,R_A4,31,0.0,5,2018-01-01
STANDARD,299.9518737792969,52,299.9518737792969,4,1632.3968505859375,0,0.05952160805463791,R_A4,32,0.0,6,2018-01-01
STANDARD,300.1854248046875,51,300.1854248046875,4,1635.880615234375,0,0.0627095177769661,R_A4,32,0.0,7,2018-01-01
STANDARD,300.2820129394531,51,300.2820129394531,4,1637.321044921875,0,0.06105751171708107,R_A4,33,0.0,8,2018-01-01
STANDARD,300.158203125,51,300.158203125,3,1635.474609375,0,0.05966461822390556,R_A4,33,0.0,9,2018-01-01
STANDARD,300.6056823730469,50,300.6056823730469,4,1642.1485595703125,0,0.06776639819145203,R_A4,33,0.0,10,2018-01-01
STANDARD,300.5375061035156,50,300.5375061035156,4,1641.132080078125,0,0.0658058449625969,R_A4,34,0.0,11,2018-01-01
STANDARD,300.408447265625,50,300.408447265625,3,1639.20703125,0,0.14703071117401123,R_A4,34,0.0,12,2018-01-01
STANDARD,300.5223693847656,50,300.5223693847656,3,1640.9061279296875,0,0.14977383613586426,R_A4,35,0.0,13,2018-01-01
STANDARD,300.3974304199219,50,300.3974304199219,2,1639.0426025390625,0,0.2429446429014206,R_A4,35,0.0,14,2018-01-01
STANDARD,300.5911560058594,49,300.5911560058594,2,1641.93212890625,0,0.24788938462734222,R_A4,35,0.0,15,2018-01-01
STANDARD,300.61968994140625,49,300.61968994140625,30,1642.357421875,0,1.0,R_A4,36,0.0,16,2018-01-01
STANDARD,300.43524169921875,48,300.43524169921875,30,1639.6068115234375,0,0.6481541991233826,R_A4,36,0.0,17,2018-01-01
STANDARD,300.914306640625,48,300.914306640625,30,1646.7513427734375,0,0.6481541991233826,R_A4,37,0.0,18,2018-01-01
STANDARD,301.36431884765625,48,301.36431884765625,30,1653.461669921875,0,0.6481541991233826,R_A4,38,0.0,19,2018-01-01
STANDARD,301.656494140625,47,301.656494140625,30,1657.8184814453125,0,0.6481541991233826,R_A4,38,0.0,20,2018-01-01
STANDARD,303.8440856933594,20,303.8440856933594,1,1685.026611328125,0,1.0,R_A5,31,0.0,1,2018-01-01
STANDARD,304.0601806640625,20,304.0601806640625,2,1687.3070068359375,0,1.0,R_A5,31,0.0,2,2018-01-01
STANDARD,304.27630615234375,20,304.27630615234375,3,1689.5875244140625,0,1.0,R_A5,31,0.0,3,2018-01-01
STANDARD,304.4924011230469,20,304.4924011230469,4,1691.8680419921875,0,1.0,R_A5,31,0.0,4,2018-01-01
STANDARD,304.7085266113281,20,304.7085266113281,5,1694.1485595703125,0,1.0,R_A5,31,0.0,5,2018-01-01
STANDARD,304.9246520996094,20,304.9246520996094,6,1696.4290771484375,0,1.0,R_A5,31,0.0,6,2018-01-01
STANDARD,305.446533203125,20,305.446533203125,7,1698.70947265625,0,1.0,R_A5,31,0.0,7,2018-01-01
STANDARD,305.988037109375,20,305.988037109375,11,1707.6488037109375,0,1.0,R_A5,31,0.0,8,2018-01-01
STANDARD,306.1695251464844,20,306.1695251464844,12,1709.5638427734375,0,1.0,R_A5,31,0.0,9,2018-01-01
STANDARD,305.4322814941406,21,305.4322814941406,12,1701.7845458984375,0,1.0,R_A5,31,0.0,10,2018-01-01
STANDARD,305.6291198730469,21,305.6291198730469,13,1703.735107421875,0,1.0,R_A5,31,0.0,11,2018-01-01
STANDARD,305.81396484375,21,305.81396484375,14,1705.6856689453125,0,1.0,R_A5,31,0.0,12,2018-01-01
STANDARD,305.9988098144531,21,305.9988098144531,15,1707.63623046875,0,1.0,R_A5,31,0.0,13,2018-01-01
STANDARD,306.3287048339844,21,306.3287048339844,16,1709.5867919921875,0,1.0,R_A5,31,0.0,14,2018-01-01
STANDARD,306.5135498046875,21,306.5135498046875,17,1711.537353515625,0,1.0,R_A5,31,0.0,15,2018-01-01
STANDARD,306.6856994628906,21,306.6856994628906,18,1713.35400390625,0,1.0,R_A5,31,0.0,16,2018-01-01
STANDARD,306.7843933105469,21,306.7843933105469,19,1714.3951416015625,0,1.0,R_A5,31,0.0,17,2018-01-01
STANDARD,306.75689697265625,21,306.75689697265625,27,1715.7628173828125,0,1.0,R_A5,31,0.0,18,2018-01-01
