CONKPOS,WELLMODEL,DATE,SGAS,CONJPOS,DEPTH,CONIDX,CONBPRES,WELL,DRAWDOWN,PRESSURE,SWAT,CONIPOS
1,STANDARD,2018-01-01,0.0,30,1640.7978515625,1,300.6885070800781,R_A2,0,300.6885070800781,0.05649857595562935,22
2,STANDARD,2018-01-01,0.0,30,1642.56640625,2,300.8070983886719,R_A2,0,300.8070983886719,0.0573626309633255,22
3,STANDARD,2018-01-01,0.0,30,1644.3349609375,3,300.9256591796875,R_A2,0,300.9256591796875,0.059659119695425034,22
4,STANDARD,2018-01-01,0.0,30,1646.1033935546875,4,301.04425048828125,R_A2,0,301.04425048828125,0.06541948765516281,22
5,STANDARD,2018-01-01,0.0,30,1647.8719482421875,5,301.1628723144531,R_A2,0,301.1628723144531,0.0677431970834732,22
6,STANDARD,2018-01-01,0.0,30,1649.640380859375,6,301.2814636230469,R_A2,0,301.2814636230469,0.29851219058036804,22
7,STANDARD,2018-01-01,0.0,30,1651.408935546875,7,301.4000549316406,R_A2,0,301.4000549316406,0.8873305320739746,22
8,STANDARD,2018-01-01,0.0,30,1653.1773681640625,8,301.5186767578125,R_A2,0,301.5186767578125,0.8702796101570129,22
9,STANDARD,2018-01-01,0.0,30,1654.9459228515625,9,301.63726806640625,R_A2,0,301.63726806640625,0.8886932730674744,22
10,STANDARD,2018-01-01,0.0,30,1656.71435546875,10,301.7558898925781,R_A2,0,301.7558898925781,0.9050617814064026,22
11,STANDARD,2018-01-01,0.0,30,1658.6121826171875,11,301.8831787109375,R_A2,0,301.8831787109375,0.07379907369613647,22
12,STANDARD,2018-01-01,0.0,30,1660.639404296875,12,302.0191345214844,R_A2,0,302.0191345214844,0.1714351922273636,22
13,STANDARD,2018-01-01,0.0,30,1662.666748046875,13,302.1551208496094,R_A2,0,302.1551208496094,0.44977137446403503,22
14,STANDARD,2018-01-01,0.0,30,1664.6939697265625,14,302.2911071777344,R_A2,0,302.2911071777344,0.4932113289833069,22
15,STANDARD,2018-01-01,0.0,30,1666.72119140625,15,302.4270935058594,R_A2,0,302.4270935058594,0.928824782371521,22
16,STANDARD,2018-01-01,0.0,30,1668.748291015625,16,302.5630798339844,R_A2,0,302.5630798339844,0.959168553352356,22
16,STANDARD,2018-01-01,0.0,29,1672.2689208984375,17,302.79925537109375,R_A2,0,302.79925537109375,0.9875918030738831,22
17,STANDARD,2018-01-01,0.0,29,1674.404541015625,18,302.9425354003906,R_A2,0,302.9425354003906,0.9748007655143738,22
18,STANDARD,2018-01-01,0.0,29,1676.17041015625,19,303.06103515625,R_A2,0,303.06103515625,1.0,22
26,STANDARD,2018-01-01,0.0,29,1677.7362060546875,20,303.16607666015625,R_A2,0,303.16607666015625,1.0,22
27,STANDARD,2018-01-01,0.0,29,1679.4716796875,21,303.62347412109375,R_A2,0,303.62347412109375,1.0,22
28,STANDARD,2018-01-01,0.0,29,1681.2071533203125,22,303.7879333496094,R_A2,0,303.7879333496094,1.0,22
29,STANDARD,2018-01-01,0.0,29,1682.9427490234375,23,303.952392578125,R_A2,0,303.952392578125,1.0,22
30,STANDARD,2018-01-01,0.0,29,1684.67822265625,24,304.1168518066406,R_A2,0,304.1168518066406,1.0,22
1,STANDARD,2018-01-01,0.0,41,1610.297119140625,1,298.64385986328125,R_A3,0,298.64385986328125,0.6481541991233826,28
2,STANDARD,2018-01-01,0.0,41,1612.21533203125,2,298.7724304199219,R_A3,0,298.7724304199219,0.1971345990896225,28
3,STANDARD,2018-01-01,0.0,41,1614.1334228515625,3,298.9009704589844,R_A3,0,298.9009704589844,0.15371941030025482,28
4,STANDARD,2018-01-01,0.0,41,1616.0516357421875,4,299.029541015625,R_A3,0,299.029541015625,0.0783461481332779,28
4,STANDARD,2018-01-01,0.0,41,1608.5831298828125,5,298.52899169921875,R_A3,0,298.52899169921875,0.11823459714651108,29
5,STANDARD,2018-01-01,0.0,41,1610.51123046875,6,298.658203125,R_A3,0,298.658203125,0.6481541991233826,29
6,STANDARD,2018-01-01,0.0,41,1612.439453125,7,298.7874450683594,R_A3,0,298.7874450683594,0.6481541991233826,29
7,STANDARD,2018-01-01,0.0,41,1614.367431640625,8,298.9166564941406,R_A3,0,298.9166564941406,0.1991724669933319,29
8,STANDARD,2018-01-01,0.0,41,1616.295654296875,9,299.0458984375,R_A3,0,299.0458984375,0.19866687059402466,29
9,STANDARD,2018-01-01,0.0,41,1618.2237548828125,10,299.1751403808594,R_A3,0,299.1751403808594,0.8010984659194946,29
10,STANDARD,2018-01-01,0.0,41,1620.15185546875,11,299.3043518066406,R_A3,0,299.3043518066406,0.8036808371543884,29
11,STANDARD,2018-01-01,0.0,41,1622.22998046875,12,299.44366455078125,R_A3,0,299.44366455078125,0.050207577645778656,29
12,STANDARD,2018-01-01,0.0,41,1624.4581298828125,13,299.593017578125,R_A3,0,299.593017578125,0.05630781129002571,29
13,STANDARD,2018-01-01,0.0,41,1626.686279296875,14,299.7424011230469,R_A3,0,299.7424011230469,0.379363477230072,29
14,STANDARD,2018-01-01,0.0,41,1628.9144287109375,15,299.8917541503906,R_A3,0,299.8917541503906,0.3591064214706421,29
15,STANDARD,2018-01-01,0.0,41,1631.1131591796875,16,300.0391540527344,R_A3,0,300.0391540527344,0.797531008720398,29
16,STANDARD,2018-01-01,0.0,41,1632.5106201171875,17,300.1328430175781,R_A3,0,300.1328430175781,0.8062449097633362,29
26,STANDARD,2018-01-01,0.0,41,1634.4630126953125,18,300.2637634277344,R_A3,0,300.2637634277344,0.24242591857910156,29
27,STANDARD,2018-01-01,0.0,41,1637.741943359375,19,300.4836120605469,R_A3,0,300.4836120605469,0.044835079461336136,29
28,STANDARD,2018-01-01,0.0,41,1641.02099609375,20,300.7034606933594,R_A3,0,300.7034606933594,0.048190888017416,29
29,STANDARD,2018-01-01,0.0,41,1644.2998046875,21,300.9233093261719,R_A3,0,300.9233093261719,0.7956508994102478,29
30,STANDARD,2018-01-01,0.0,41,1647.578857421875,22,301.1431884765625,R_A3,0,301.1431884765625,0.31348133087158203,29
1,STANDARD,2018-01-01,0.0,52,1629.77490234375,1,299.949462890625,R_A4,0,299.949462890625,0.048177167773246765,30
1,STANDARD,2018-01-01,0.0,52,1624.7862548828125,2,299.6150207519531,R_A4,0,299.6150207519531,0.04718582332134247,31
2,STANDARD,2018-01-01,0.0,52,1626.9111328125,3,299.7574768066406,R_A4,0,299.7574768066406,0.04968507960438728,31
3,STANDARD,2018-01-01,0.0,52,1629.0360107421875,4,299.89990234375,R_A4,0,299.89990234375,0.05112689360976219,31
4,STANDARD,2018-01-01,0.0,52,1631.160888671875,5,300.0423583984375,R_A4,0,300.0423583984375,0.05189809575676918,31
5,STANDARD,2018-01-01,0.0,52,1633.2857666015625,6,300.184814453125,R_A4,0,300.184814453125,0.05486485734581947,31
6,STANDARD,2018-01-01,0.0,52,1635.4107666015625,7,300.3273010253906,R_A4,0,300.3273010253906,0.05705821141600609,31
6,STANDARD,2018-01-01,0.0,52,1634.3427734375,8,300.2557067871094,R_A4,0,300.2557067871094,0.05702139064669609,32
6,STANDARD,2018-01-01,0.0,51,1636.1536865234375,9,300.3771057128906,R_A4,0,300.3771057128906,0.06026710197329521,32
5,STANDARD,2018-01-01,0.0,51,1634.3375244140625,10,300.2553405761719,R_A4,0,300.2553405761719,0.05646265298128128,32
5,STANDARD,2018-01-01,0.0,51,1637.998046875,11,300.5007629394531,R_A4,0,300.5007629394531,0.059484004974365234,33
4,STANDARD,2018-01-01,0.0,51,1636.131591796875,12,300.3756408691406,R_A4,0,300.3756408691406,0.05747427046298981,33
5,STANDARD,2018-01-01,0.0,50,1644.3248291015625,13,300.92498779296875,R_A4,0,300.92498779296875,0.09991263598203659,33
5,STANDARD,2018-01-01,0.0,50,1643.109130859375,14,300.8434753417969,R_A4,0,300.8434753417969,0.09839074313640594,34
4,STANDARD,2018-01-01,0.0,50,1641.2166748046875,15,300.7165832519531,R_A4,0,300.7165832519531,0.06328931450843811,34
3,STANDARD,2018-01-01,0.0,50,1639.3243408203125,16,300.5896911621094,R_A4,0,300.5896911621094,0.06175393983721733,34
3,STANDARD,2018-01-01,0.0,50,1641.8345947265625,17,300.7580261230469,R_A4,0,300.7580261230469,0.06220688670873642,35
2,STANDARD,2018-01-01,0.0,50,1639.995361328125,18,300.6346740722656,R_A4,0,300.6346740722656,0.22990620136260986,35
29,STANDARD,2018-01-01,0.0,49,1641.2032470703125,19,300.7156677246094,R_A4,0,300.7156677246094,0.3288065195083618,35
29,STANDARD,2018-01-01,0.0,49,1644.3546142578125,20,300.927001953125,R_A4,0,300.927001953125,0.8249279856681824,36
29,STANDARD,2018-01-01,0.0,48,1644.850830078125,21,300.96026611328125,R_A4,0,300.96026611328125,0.6481541991233826,36
29,STANDARD,2018-01-01,0.0,48,1648.2955322265625,22,301.1912536621094,R_A4,0,301.1912536621094,1.0,37
29,STANDARD,2018-01-01,0.0,48,1651.95751953125,23,301.4368591308594,R_A4,0,301.4368591308594,0.8192309141159058,38
29,STANDARD,2018-01-01,0.0,47,1657.3118896484375,24,301.79595947265625,R_A4,0,301.79595947265625,1.0,38
1,STANDARD,2018-01-01,0.0,20,1687.4630126953125,1,304.0749816894531,R_A5,0,304.0749816894531,1.0,31
2,STANDARD,2018-01-01,0.0,20,1689.72509765625,2,304.2893371582031,R_A5,0,304.2893371582031,1.0,31
3,STANDARD,2018-01-01,0.0,20,1691.987060546875,3,304.5036926269531,R_A5,0,304.5036926269531,1.0,31
4,STANDARD,2018-01-01,0.0,20,1694.2491455078125,4,304.7180480957031,R_A5,0,304.7180480957031,1.0,31
5,STANDARD,2018-01-01,0.0,20,1696.51123046875,5,304.93243408203125,R_A5,0,304.93243408203125,1.0,31
6,STANDARD,2018-01-01,0.0,20,1698.7733154296875,6,305.14678955078125,R_A5,0,305.14678955078125,1.0,31
7,STANDARD,2018-01-01,0.0,20,1701.035400390625,7,305.6669616699219,R_A5,0,305.6669616699219,1.0,31
8,STANDARD,2018-01-01,0.0,21,1690.303955078125,8,304.6499938964844,R_A5,0,304.6499938964844,1.0,31
11,STANDARD,2018-01-01,0.0,21,1697.3951416015625,9,305.0163269042969,R_A5,0,305.0163269042969,1.0,31
12,STANDARD,2018-01-01,0.0,21,1699.44873046875,10,305.2109375,R_A5,0,305.2109375,1.0,31
13,STANDARD,2018-01-01,0.0,21,1701.50244140625,11,305.4175109863281,R_A5,0,305.4175109863281,1.0,31
14,STANDARD,2018-01-01,0.0,21,1703.55615234375,12,305.6121520996094,R_A5,0,305.6121520996094,1.0,31
15,STANDARD,2018-01-01,0.0,21,1705.6097412109375,13,305.8067626953125,R_A5,0,305.8067626953125,1.0,31
16,STANDARD,2018-01-01,0.0,21,1707.6634521484375,14,306.14642333984375,R_A5,0,306.14642333984375,1.0,31
17,STANDARD,2018-01-01,0.0,21,1709.717041015625,15,306.3410339355469,R_A5,0,306.3410339355469,1.0,31
18,STANDARD,2018-01-01,0.0,21,1711.595703125,16,306.5190734863281,R_A5,0,306.5190734863281,1.0,31
19,STANDARD,2018-01-01,0.0,21,1712.7130126953125,17,306.6249694824219,R_A5,0,306.6249694824219,1.0,31
26,STANDARD,2018-01-01,0.0,21,1714.338134765625,18,306.62188720703125,R_A5,0,306.62188720703125,1.0,31
27,STANDARD,2018-01-01,0.0,21,1716.8140869140625,19,306.8565368652344,R_A5,0,306.8565368652344,1.0,31
28,STANDARD,2018-01-01,0.0,21,1719.2900390625,20,307.3970031738281,R_A5,0,307.3970031738281,1.0,31
29,STANDARD,2018-01-01,0.0,21,1721.7659912109375,21,307.63165283203125,R_A5,0,307.63165283203125,1.0,31
30,STANDARD,2018-01-01,0.0,21,1724.241943359375,22,307.8663330078125,R_A5,0,307.8663330078125,1.0,31
1,STANDARD,2018-01-01,0.0,42,1694.5057373046875,1,305.04815673828125,R_A6,0,305.04815673828125,1.0,17
2,STANDARD,2018-01-01,0.0,42,1696.041015625,2,305.19366455078125,R_A6,0,305.19366455078125,1.0,17
3,STANDARD,2018-01-01,0.0,42,1697.5762939453125,3,305.3391418457031,R_A6,0,305.3391418457031,1.0,17
4,STANDARD,2018-01-01,0.0,42,1699.111572265625,4,305.4846496582031,R_A6,0,305.4846496582031,1.0,17
5,STANDARD,2018-01-01,0.0,42,1700.646728515625,5,305.630126953125,R_A6,0,305.630126953125,1.0,17
6,STANDARD,2018-01-01,0.0,42,1702.181884765625,6,305.7756042480469,R_A6,0,305.7756042480469,1.0,17
7,STANDARD,2018-01-01,0.0,42,1703.7171630859375,7,305.6220703125,R_A6,0,305.6220703125,1.0,17
8,STANDARD,2018-01-01,0.0,42,1705.25244140625,8,305.7675476074219,R_A6,0,305.7675476074219,1.0,17
9,STANDARD,2018-01-01,0.0,42,1706.7877197265625,9,306.21209716796875,R_A6,0,306.21209716796875,1.0,17
10,STANDARD,2018-01-01,0.0,42,1708.3228759765625,10,306.05181884765625,R_A6,0,306.05181884765625,1.0,17
11,STANDARD,2018-01-01,0.0,42,1710.245361328125,11,306.234130859375,R_A6,0,306.234130859375,1.0,17
12,STANDARD,2018-01-01,0.0,42,1712.554931640625,12,306.4530029296875,R_A6,0,306.4530029296875,1.0,17
13,STANDARD,2018-01-01,0.0,42,1714.8646240234375,13,306.6838684082031,R_A6,0,306.6838684082031,1.0,17
14,STANDARD,2018-01-01,0.0,42,1717.17431640625,14,306.90277099609375,R_A6,0,306.90277099609375,1.0,17
15,STANDARD,2018-01-01,0.0,42,1719.4840087890625,15,307.1216735839844,R_A6,0,307.1216735839844,1.0,17
16,STANDARD,2018-01-01,0.0,42,1721.793701171875,16,307.485595703125,R_A6,0,307.485595703125,1.0,17
17,STANDARD,2018-01-01,0.0,42,1724.1033935546875,17,307.7044982910156,R_A6,0,307.7044982910156,1.0,17
18,STANDARD,2018-01-01,0.0,42,1725.58740234375,18,307.84515380859375,R_A6,0,307.84515380859375,1.0,17
26,STANDARD,2018-01-01,0.0,42,1726.77197265625,19,307.8003234863281,R_A6,0,307.8003234863281,1.0,17
27,STANDARD,2018-01-01,0.0,42,1728.4827880859375,20,308.26824951171875,R_A6,0,308.26824951171875,1.0,17
28,STANDARD,2018-01-01,0.0,42,1730.193603515625,21,308.430419921875,R_A6,0,308.430419921875,1.0,17
29,STANDARD,2018-01-01,0.0,42,1731.9044189453125,22,308.5925598144531,R_A6,0,308.5925598144531,1.0,17
30,STANDARD,2018-01-01,0.0,42,1733.615234375,23,308.44891357421875,R_A6,0,308.44891357421875,1.0,17
