ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,11781275,2391658,1661917,1158938,163178495
Valysar,CentralSouth,54206680,10508833,7970167,5557997,782565992
Valysar,CentralNorth,33029912,5132868,3524761,2457993,346085355
Valysar,NorthHorst,5121336,892964,544648,334550,65538425
Valysar,CentralRamp,14088766,2301465,1572781,1096779,154426496
Valysar,CentralHorst,83155518,11513811,7988140,5570530,784330641
Valysar,EastLowland,638825,89341,27493,19172,2699404
Therys,WestLowland,4242433,655618,299773,209046,29433747
Therys,CentralSouth,10958276,2341247,1423752,992854,139793812
Therys,CentralNorth,17167472,3374903,1901958,1326331,186747383
Therys,NorthHorst,6395861,976655,413894,254235,49804597
Therys,CentralRamp,6385970,1557033,1130507,788359,111000952
Therys,CentralHorst,25811035,6841765,5275033,3678545,517939115
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,865838,126135,69244,48287,6798818
Volon,CentralSouth,20059279,3354012,2074956,1446971,203733516
Volon,CentralNorth,4298282,610853,312385,217842,30672137
Volon,NorthHorst,3489004,665538,495120,304128,59578594
Volon,CentralRamp,8320977,1422479,985986,687577,96810867
Volon,CentralHorst,77900185,13623603,10480231,7308390,1029021315
Volon,EastLowland,0,0,0,0,0
