DEPTH,WELL,CONJPOS,CONBPRES,SWAT,DRAWDOWN,CONKPOS,PRESSURE,SGAS,CONIPOS,DATE,WELLMODEL,CONIDX
1641.094970703125,R_A2,30,300.6733093261719,0.055880606174468994,0,1,300.6733093261719,0.0,22,2018-01-01,STANDARD,1
1642.8890380859375,R_A2,30,300.7936096191406,0.05794878676533699,0,2,300.7936096191406,0.0,22,2018-01-01,STANDARD,2
1644.68310546875,R_A2,30,300.9139099121094,0.06058797240257263,0,3,300.9139099121094,0.0,22,2018-01-01,STANDARD,3
1646.4771728515625,R_A2,30,301.0342102050781,0.0678098052740097,0,4,301.0342102050781,0.0,22,2018-01-01,STANDARD,4
1648.2713623046875,R_A2,30,301.1545104980469,0.07152793556451797,0,5,301.1545104980469,0.0,22,2018-01-01,STANDARD,5
1650.0654296875,R_A2,30,301.27484130859375,0.14327770471572876,0,6,301.27484130859375,0.0,22,2018-01-01,STANDARD,6
1651.859619140625,R_A2,30,301.3951721191406,0.2598637044429779,0,7,301.3951721191406,0.0,22,2018-01-01,STANDARD,7
1653.6536865234375,R_A2,30,301.5154724121094,0.6481541991233826,0,8,301.5154724121094,0.0,22,2018-01-01,STANDARD,8
1655.44775390625,R_A2,30,301.63580322265625,0.6481541991233826,0,9,301.63580322265625,0.0,22,2018-01-01,STANDARD,9
1657.2418212890625,R_A2,30,301.7561340332031,0.9135551452636719,0,10,301.7561340332031,0.0,22,2018-01-01,STANDARD,10
1659.1368408203125,R_A2,30,301.88323974609375,0.07876349240541458,0,11,301.88323974609375,0.0,22,2018-01-01,STANDARD,11
1661.132568359375,R_A2,30,302.01708984375,0.0862409919500351,0,12,302.01708984375,0.0,22,2018-01-01,STANDARD,12
1663.12841796875,R_A2,30,302.1509704589844,0.4577699303627014,0,13,302.1509704589844,0.0,22,2018-01-01,STANDARD,13
1665.1241455078125,R_A2,30,302.28485107421875,0.519985556602478,0,14,302.28485107421875,0.0,22,2018-01-01,STANDARD,14
1667.1199951171875,R_A2,30,302.4187316894531,0.6918675303459167,0,15,302.4187316894531,0.0,22,2018-01-01,STANDARD,15
1669.11572265625,R_A2,30,302.5526123046875,0.9727101922035217,0,16,302.5526123046875,0.0,22,2018-01-01,STANDARD,16
1671.111572265625,R_A2,30,302.6864929199219,0.9494145512580872,0,17,302.6864929199219,0.0,22,2018-01-01,STANDARD,17
1672.9881591796875,R_A2,30,302.8123779296875,0.9820622205734253,0,18,302.8123779296875,0.0,22,2018-01-01,STANDARD,18
1674.229736328125,R_A2,29,302.89569091796875,0.9921741485595703,0,18,302.89569091796875,0.0,22,2018-01-01,STANDARD,19
1676.1676025390625,R_A2,29,303.02569580078125,0.4947701394557953,0,27,303.02569580078125,0.0,22,2018-01-01,STANDARD,20
1677.9368896484375,R_A2,29,303.47802734375,1.0,0,28,303.47802734375,0.0,22,2018-01-01,STANDARD,21
1679.7061767578125,R_A2,29,303.64569091796875,1.0,0,29,303.64569091796875,0.0,22,2018-01-01,STANDARD,22
1681.4754638671875,R_A2,29,303.8133544921875,1.0,0,30,303.8133544921875,0.0,22,2018-01-01,STANDARD,23
1683.2447509765625,R_A2,29,303.98101806640625,1.0,0,31,303.98101806640625,0.0,22,2018-01-01,STANDARD,24
1609.243408203125,R_A3,41,298.53814697265625,0.30849525332450867,0,1,298.53814697265625,0.0,28,2018-01-01,STANDARD,1
1611.3077392578125,R_A3,41,298.676513671875,0.19968974590301514,0,2,298.676513671875,0.0,28,2018-01-01,STANDARD,2
1613.3720703125,R_A3,41,298.8148498535156,0.19958947598934174,0,3,298.8148498535156,0.0,28,2018-01-01,STANDARD,3
1615.4365234375,R_A3,41,298.9532165527344,0.37015843391418457,0,4,298.9532165527344,0.0,28,2018-01-01,STANDARD,4
1617.5008544921875,R_A3,41,299.0915832519531,0.8261942863464355,0,5,299.0915832519531,0.0,28,2018-01-01,STANDARD,5
