WELLMODEL,DRAWDOWN,SWAT,CONBPRES,CONIDX,CONKPOS,SGAS,DATE,PRESSURE,CONIPOS,WELL,DEPTH,CONJPOS
STANDARD,0,0.05449706315994263,300.8617858886719,1,1,0.0,2018-01-01,300.8617858886719,22,R_A2,1642.223388671875,30
STANDARD,0,0.05551940202713013,300.9794616699219,2,2,0.0,2018-01-01,300.9794616699219,22,R_A2,1643.978271484375,30
STANDARD,0,0.059126608073711395,301.0971374511719,3,3,0.0,2018-01-01,301.0971374511719,22,R_A2,1645.7332763671875,30
STANDARD,0,0.06380606442689896,301.2148132324219,4,4,0.0,2018-01-01,301.2148132324219,22,R_A2,1647.4881591796875,30
STANDARD,0,0.06716218590736389,301.3324890136719,5,5,0.0,2018-01-01,301.3324890136719,22,R_A2,1649.2430419921875,30
STANDARD,0,0.3085384964942932,301.4501953125,6,6,0.0,2018-01-01,301.4501953125,22,R_A2,1650.9979248046875,30
STANDARD,0,0.6620684862136841,301.56787109375,7,7,0.0,2018-01-01,301.56787109375,22,R_A2,1652.7528076171875,30
STANDARD,0,0.8696421980857849,301.6855773925781,8,8,0.0,2018-01-01,301.6855773925781,22,R_A2,1654.5076904296875,30
STANDARD,0,0.8933325409889221,301.80328369140625,9,9,0.0,2018-01-01,301.80328369140625,22,R_A2,1656.2626953125,30
STANDARD,0,0.9028308391571045,301.9209899902344,10,10,0.0,2018-01-01,301.9209899902344,22,R_A2,1658.017578125,30
STANDARD,0,0.0702008530497551,302.0469055175781,11,11,0.0,2018-01-01,302.0469055175781,22,R_A2,1659.8946533203125,30
STANDARD,0,0.07105827331542969,302.1809997558594,12,12,0.0,2018-01-01,302.1809997558594,22,R_A2,1661.893798828125,30
STANDARD,0,0.43114417791366577,302.3150939941406,13,13,0.0,2018-01-01,302.3150939941406,22,R_A2,1663.89306640625,30
STANDARD,0,0.48682016134262085,302.44921875,14,14,0.0,2018-01-01,302.44921875,22,R_A2,1665.8922119140625,30
STANDARD,0,0.9167723059654236,302.58331298828125,15,15,0.0,2018-01-01,302.58331298828125,22,R_A2,1667.8914794921875,30
STANDARD,0,0.9118533134460449,302.6273193359375,16,15,0.0,2018-01-01,302.6273193359375,22,R_A2,1668.547119140625,29
STANDARD,0,0.9332998394966125,302.7748718261719,17,16,0.0,2018-01-01,302.7748718261719,22,R_A2,1670.746826171875,29
STANDARD,0,0.9153258800506592,302.9224548339844,18,17,0.0,2018-01-01,302.9224548339844,22,R_A2,1672.946533203125,29
STANDARD,0,0.9756449460983276,303.0519714355469,19,18,0.0,2018-01-01,303.0519714355469,22,R_A2,1674.877197265625,29
STANDARD,0,1.0,303.1831970214844,20,26,0.0,2018-01-01,303.1831970214844,22,R_A2,1676.8326416015625,29
STANDARD,0,1.0,303.30511474609375,21,27,0.0,2018-01-01,303.30511474609375,22,R_A2,1678.6500244140625,29
STANDARD,0,1.0,303.42706298828125,22,28,0.0,2018-01-01,303.42706298828125,22,R_A2,1680.46728515625,29
STANDARD,0,1.0,303.8900451660156,23,29,0.0,2018-01-01,303.8900451660156,22,R_A2,1682.2845458984375,29
STANDARD,0,1.0,304.062255859375,24,30,0.0,2018-01-01,304.062255859375,22,R_A2,1684.1019287109375,29
STANDARD,0,0.6481541991233826,298.6820373535156,1,1,0.0,2018-01-01,298.6820373535156,28,R_A3,1609.708251953125,41
STANDARD,0,0.19331128895282745,298.8173522949219,2,2,0.0,2018-01-01,298.8173522949219,28,R_A3,1611.727294921875,41
STANDARD,0,0.11823459714651108,298.95269775390625,3,3,0.0,2018-01-01,298.95269775390625,28,R_A3,1613.7464599609375,41
STANDARD,0,0.1390269696712494,299.0880126953125,4,4,0.0,2018-01-01,299.0880126953125,28,R_A3,1615.765625,41
STANDARD,0,0.6481541991233826,299.2233581542969,5,5,0.0,2018-01-01,299.2233581542969,28,R_A3,1617.7847900390625,41
STANDARD,0,0.6481541991233826,299.35870361328125,6,6,0.0,2018-01-01,299.35870361328125,28,R_A3,1619.803955078125,41
STANDARD,0,0.6481541991233826,298.6875305175781,7,6,0.0,2018-01-01,298.6875305175781,29,R_A3,1609.7901611328125,41
STANDARD,0,0.19325479865074158,298.82696533203125,8,7,0.0,2018-01-01,298.82696533203125,29,R_A3,1611.8707275390625,41
STANDARD,0,0.1934327632188797,298.9664306640625,9,8,0.0,2018-01-01,298.9664306640625,29,R_A3,1613.9512939453125,41
STANDARD,0,0.7960966229438782,299.1058654785156,10,9,0.0,2018-01-01,299.1058654785156,29,R_A3,1616.0318603515625,41
STANDARD,0,0.7983320951461792,299.2453308105469,11,10,0.0,2018-01-01,299.2453308105469,29,R_A3,1618.1124267578125,41
STANDARD,0,0.048981182277202606,299.39727783203125,12,11,0.0,2018-01-01,299.39727783203125,29,R_A3,1620.37939453125,41
STANDARD,0,0.054839570075273514,299.5617370605469,13,12,0.0,2018-01-01,299.5617370605469,29,R_A3,1622.8326416015625,41
STANDARD,0,0.377295583486557,299.7261657714844,14,13,0.0,2018-01-01,299.7261657714844,29,R_A3,1625.285888671875,41
STANDARD,0,0.35203659534454346,299.890625,15,14,0.0,2018-01-01,299.890625,29,R_A3,1627.739013671875,41
STANDARD,0,0.7950558662414551,300.0513610839844,16,15,0.0,2018-01-01,300.0513610839844,29,R_A3,1630.1363525390625,41
STANDARD,0,0.7676246762275696,300.1495361328125,17,16,0.0,2018-01-01,300.1495361328125,29,R_A3,1631.6009521484375,41
STANDARD,0,0.7357962131500244,300.2857360839844,18,26,0.0,2018-01-01,300.2857360839844,29,R_A3,1633.6324462890625,41
STANDARD,0,0.043624695390462875,300.51873779296875,19,27,0.0,2018-01-01,300.51873779296875,29,R_A3,1637.107666015625,41
STANDARD,0,0.05039265751838684,300.75177001953125,20,28,0.0,2018-01-01,300.75177001953125,29,R_A3,1640.5828857421875,41
STANDARD,0,0.8265038132667542,300.98480224609375,21,29,0.0,2018-01-01,300.98480224609375,29,R_A3,1644.0579833984375,41
STANDARD,0,0.0606723353266716,301.21783447265625,22,30,0.0,2018-01-01,301.21783447265625,29,R_A3,1647.533203125,41
STANDARD,0,0.10262898355722427,300.3811340332031,1,1,0.0,2018-01-01,300.3811340332031,30,R_A4,1635.055419921875,52
STANDARD,0,0.214394673705101,299.92279052734375,2,1,0.0,2018-01-01,299.92279052734375,31,R_A4,1628.21875,52
STANDARD,0,0.11823459714651108,300.06451416015625,3,2,0.0,2018-01-01,300.06451416015625,31,R_A4,1630.33251953125,52
STANDARD,0,0.1025686115026474,300.2062072753906,4,3,0.0,2018-01-01,300.2062072753906,31,R_A4,1632.4462890625,52
STANDARD,0,0.05519120395183563,300.3479309082031,5,4,0.0,2018-01-01,300.3479309082031,31,R_A4,1634.56005859375,52
STANDARD,0,0.054808609187603,300.2400207519531,6,4,0.0,2018-01-01,300.2400207519531,32,R_A4,1632.9503173828125,52
STANDARD,0,0.05531582236289978,300.5353088378906,7,4,0.0,2018-01-01,300.5353088378906,32,R_A4,1637.3546142578125,51
STANDARD,0,0.05461888387799263,300.411865234375,8,3,0.0,2018-01-01,300.411865234375,32,R_A4,1635.5135498046875,51
STANDARD,0,0.055618662387132645,300.4837951660156,9,3,0.0,2018-01-01,300.4837951660156,33,R_A4,1636.5865478515625,51
STANDARD,0,0.06003200262784958,300.8083801269531,10,3,0.0,2018-01-01,300.8083801269531,33,R_A4,1641.42724609375,50
STANDARD,0,0.0603443868458271,300.7049255371094,11,3,0.0,2018-01-01,300.7049255371094,34,R_A4,1639.8843994140625,50
STANDARD,0,0.05997270718216896,300.6075439453125,12,3,0.0,2018-01-01,300.6075439453125,35,R_A4,1638.431884765625,50
STANDARD,0,0.0853148102760315,300.9671630859375,13,3,0.0,2018-01-01,300.9671630859375,35,R_A4,1643.7950439453125,49
STANDARD,0,0.053765684366226196,300.7684631347656,14,29,0.0,2018-01-01,300.7684631347656,36,R_A4,1640.8319091796875,49
STANDARD,0,0.12407710403203964,300.9542541503906,15,29,0.0,2018-01-01,300.9542541503906,36,R_A4,1643.602783203125,48
STANDARD,0,0.0561501644551754,301.1651611328125,16,29,0.0,2018-01-01,301.1651611328125,37,R_A4,1646.747802734375,48
STANDARD,0,0.10053260624408722,301.3924865722656,17,29,0.0,2018-01-01,301.3924865722656,38,R_A4,1650.137451171875,48
STANDARD,0,0.07036227732896805,302.3010559082031,18,29,0.0,2018-01-01,302.3010559082031,38,R_A4,1663.68359375,47
STANDARD,0,0.0664733350276947,301.93328857421875,19,28,0.0,2018-01-01,301.93328857421875,38,R_A4,1658.20068359375,47
STANDARD,0,1.0,303.8310852050781,1,1,0.0,2018-01-01,303.8310852050781,31,R_A5,1684.8892822265625,20
STANDARD,0,1.0,304.0387268066406,2,2,0.0,2018-01-01,304.0387268066406,31,R_A5,1687.0806884765625,20
STANDARD,0,1.0,304.24639892578125,3,3,0.0,2018-01-01,304.24639892578125,31,R_A5,1689.27197265625,20
STANDARD,0,1.0,304.4540710449219,4,4,0.0,2018-01-01,304.4540710449219,31,R_A5,1691.46337890625,20
STANDARD,0,1.0,304.6617126464844,5,5,0.0,2018-01-01,304.6617126464844,31,R_A5,1693.65478515625,20
STANDARD,0,1.0,304.869384765625,6,6,0.0,2018-01-01,304.869384765625,31,R_A5,1695.84619140625,20
STANDARD,0,1.0,305.3828430175781,7,7,0.0,2018-01-01,305.3828430175781,31,R_A5,1698.0374755859375,20
STANDARD,0,1.0,305.59051513671875,8,8,0.0,2018-01-01,305.59051513671875,31,R_A5,1700.2288818359375,20
STANDARD,0,1.0,305.3858337402344,9,11,0.0,2018-01-01,305.3858337402344,31,R_A5,1701.2943115234375,21
STANDARD,0,1.0,305.5779113769531,10,12,0.0,2018-01-01,305.5779113769531,31,R_A5,1703.321044921875,21
STANDARD,0,1.0,305.7819519042969,11,13,0.0,2018-01-01,305.7819519042969,31,R_A5,1705.3477783203125,21
STANDARD,0,1.0,305.9739990234375,12,14,0.0,2018-01-01,305.9739990234375,31,R_A5,1707.37451171875,21
STANDARD,0,1.0,306.16607666015625,13,15,0.0,2018-01-01,306.16607666015625,31,R_A5,1709.401123046875,21
STANDARD,0,1.0,306.503173828125,14,16,0.0,2018-01-01,306.503173828125,31,R_A5,1711.4278564453125,21
STANDARD,0,1.0,306.69525146484375,15,17,0.0,2018-01-01,306.69525146484375,31,R_A5,1713.45458984375,21
STANDARD,0,1.0,306.8504943847656,16,18,0.0,2018-01-01,306.8504943847656,31,R_A5,1715.0927734375,21
STANDARD,0,1.0,306.8722229003906,17,26,0.0,2018-01-01,306.8722229003906,31,R_A5,1716.9794921875,21
STANDARD,0,1.0,307.09295654296875,18,27,0.0,2018-01-01,307.09295654296875,31,R_A5,1719.308349609375,21
STANDARD,0,1.0,307.6194763183594,19,28,0.0,2018-01-01,307.6194763183594,31,R_A5,1721.637451171875,21
STANDARD,0,1.0,307.8402099609375,20,29,0.0,2018-01-01,307.8402099609375,31,R_A5,1723.9664306640625,21
STANDARD,0,1.0,308.0609436035156,21,30,0.0,2018-01-01,308.0609436035156,31,R_A5,1726.29541015625,21
STANDARD,0,1.0,305.0376892089844,1,1,0.0,2018-01-01,305.0376892089844,17,R_A6,1694.395263671875,42
STANDARD,0,1.0,305.1829833984375,2,2,0.0,2018-01-01,305.1829833984375,17,R_A6,1695.928466796875,42
STANDARD,0,1.0,305.32830810546875,3,3,0.0,2018-01-01,305.32830810546875,17,R_A6,1697.4617919921875,42
STANDARD,0,1.0,305.4736022949219,4,4,0.0,2018-01-01,305.4736022949219,17,R_A6,1698.9949951171875,42
STANDARD,0,1.0,305.618896484375,5,5,0.0,2018-01-01,305.618896484375,17,R_A6,1700.5283203125,42
STANDARD,0,1.0,305.76422119140625,6,6,0.0,2018-01-01,305.76422119140625,17,R_A6,1702.0616455078125,42
STANDARD,0,1.0,305.6104736328125,7,7,0.0,2018-01-01,305.6104736328125,17,R_A6,1703.5948486328125,42
STANDARD,0,1.0,305.7557678222656,8,8,0.0,2018-01-01,305.7557678222656,17,R_A6,1705.1280517578125,42
STANDARD,0,1.0,306.20013427734375,9,9,0.0,2018-01-01,306.20013427734375,17,R_A6,1706.661376953125,42
STANDARD,0,1.0,306.0396423339844,10,10,0.0,2018-01-01,306.0396423339844,17,R_A6,1708.1947021484375,42
STANDARD,0,1.0,306.2237243652344,11,11,0.0,2018-01-01,306.2237243652344,17,R_A6,1710.135498046875,42
STANDARD,0,1.0,306.4462585449219,12,12,0.0,2018-01-01,306.4462585449219,17,R_A6,1712.4837646484375,42
STANDARD,0,1.0,306.6807861328125,13,13,0.0,2018-01-01,306.6807861328125,17,R_A6,1714.83203125,42
STANDARD,0,1.0,306.9033508300781,14,14,0.0,2018-01-01,306.9033508300781,17,R_A6,1717.180419921875,42
STANDARD,0,1.0,307.27093505859375,15,15,0.0,2018-01-01,307.27093505859375,17,R_A6,1719.52880859375,42
STANDARD,0,1.0,307.4934997558594,16,16,0.0,2018-01-01,307.4934997558594,17,R_A6,1721.8770751953125,42
STANDARD,0,1.0,307.716064453125,17,17,0.0,2018-01-01,307.716064453125,17,R_A6,1724.225341796875,42
STANDARD,0,1.0,307.84478759765625,18,18,0.0,2018-01-01,307.84478759765625,17,R_A6,1725.58349609375,42
STANDARD,0,1.0,307.7860107421875,19,26,0.0,2018-01-01,307.7860107421875,17,R_A6,1726.6209716796875,42
STANDARD,0,1.0,308.25360107421875,20,27,0.0,2018-01-01,308.25360107421875,17,R_A6,1728.3282470703125,42
STANDARD,0,1.0,308.4154357910156,21,28,0.0,2018-01-01,308.4154357910156,17,R_A6,1730.0355224609375,42
STANDARD,0,1.0,308.5772399902344,22,29,0.0,2018-01-01,308.5772399902344,17,R_A6,1731.74267578125,42
STANDARD,0,1.0,308.4332580566406,23,30,0.0,2018-01-01,308.4332580566406,17,R_A6,1733.449951171875,42
STANDARD,0,0.0545726902782917,298.7248229980469,1,1,0.0,2018-03-01,298.7248229980469,22,R_A2,1642.223388671875,30
STANDARD,0,0.05560775846242905,298.8424072265625,2,2,0.0,2018-03-01,298.8424072265625,22,R_A2,1643.978271484375,30
STANDARD,0,0.05922267958521843,298.9599609375,3,3,0.0,2018-03-01,298.9599609375,22,R_A2,1645.7332763671875,30
STANDARD,0,0.0641418993473053,299.0775146484375,4,4,0.0,2018-03-01,299.0775146484375,22,R_A2,1647.4881591796875,30
STANDARD,0,0.06752815842628479,299.1950988769531,5,5,0.0,2018-03-01,299.1950988769531,22,R_A2,1649.2430419921875,30
STANDARD,0,0.307819128036499,299.3424987792969,6,6,0.0,2018-03-01,299.3424987792969,22,R_A2,1650.9979248046875,30
STANDARD,0,0.6625257730484009,299.4532775878906,7,7,0.0,2018-03-01,299.4532775878906,22,R_A2,1652.7528076171875,30
STANDARD,0,0.8694965839385986,299.58038330078125,8,8,0.0,2018-03-01,299.58038330078125,22,R_A2,1654.5076904296875,30
STANDARD,0,0.8932673335075378,299.80242919921875,9,9,0.0,2018-03-01,299.80242919921875,22,R_A2,1656.2626953125,30
STANDARD,0,0.9027776122093201,300.15740966796875,10,10,0.0,2018-03-01,300.15740966796875,22,R_A2,1658.017578125,30
STANDARD,0,0.0702069103717804,300.5077209472656,11,11,0.0,2018-03-01,300.5077209472656,22,R_A2,1659.8946533203125,30
STANDARD,0,0.07106665521860123,300.9023742675781,12,12,0.0,2018-03-01,300.9023742675781,22,R_A2,1661.893798828125,30
STANDARD,0,0.43115493655204773,300.93206787109375,13,13,0.0,2018-03-01,300.93206787109375,22,R_A2,1663.89306640625,30
STANDARD,0,0.4868011772632599,301.0662841796875,14,14,0.0,2018-03-01,301.0662841796875,22,R_A2,1665.8922119140625,30
STANDARD,0,0.916684627532959,301.2000427246094,15,15,0.0,2018-03-01,301.2000427246094,22,R_A2,1667.8914794921875,30
STANDARD,0,0.9117922186851501,301.1208801269531,16,15,0.0,2018-03-01,301.1208801269531,22,R_A2,1668.547119140625,29
STANDARD,0,0.9332691431045532,301.26806640625,17,16,0.0,2018-03-01,301.26806640625,22,R_A2,1670.746826171875,29
STANDARD,0,0.9152868986129761,301.4153747558594,18,17,0.0,2018-03-01,301.4153747558594,22,R_A2,1672.946533203125,29
STANDARD,0,0.9756337404251099,301.5447692871094,19,18,0.0,2018-03-01,301.5447692871094,22,R_A2,1674.877197265625,29
STANDARD,0,1.0,303.11737060546875,20,26,7.505378951119064e-16,2018-03-01,303.11737060546875,22,R_A2,1676.8326416015625,29
STANDARD,0,1.0,303.19219970703125,21,27,6.484067280901297e-15,2018-03-01,303.19219970703125,22,R_A2,1678.6500244140625,29
STANDARD,0,1.0,303.16973876953125,22,28,2.3215771244712666e-15,2018-03-01,303.16973876953125,22,R_A2,1680.46728515625,29
STANDARD,0,1.0,303.2222900390625,23,29,-1.2381728570220758e-14,2018-03-01,303.2222900390625,22,R_A2,1682.2845458984375,29
STANDARD,0,1.0,302.9069519042969,24,30,9.179790816382649e-10,2018-03-01,302.9069519042969,22,R_A2,1684.1019287109375,29
STANDARD,0,1.0,281.51416015625,1,1,-1.1080531631124657e-10,2018-04-28,281.51416015625,31,R_A5,1684.8892822265625,20
STANDARD,0,1.0,281.72161865234375,2,2,-1.3548125121776167e-10,2018-04-28,281.72161865234375,31,R_A5,1687.0806884765625,20
STANDARD,0,1.0,281.9290466308594,3,3,-1.2803411109096885e-10,2018-04-28,281.9290466308594,31,R_A5,1689.27197265625,20
STANDARD,0,1.0,282.1365051269531,4,4,-1.3104022034138296e-10,2018-04-28,282.1365051269531,31,R_A5,1691.46337890625,20
STANDARD,0,1.0,282.34393310546875,5,5,-1.2312605102149377e-10,2018-04-28,282.34393310546875,31,R_A5,1693.65478515625,20
STANDARD,0,1.0,282.5513610839844,6,6,-9.424334923568978e-11,2018-04-28,282.5513610839844,31,R_A5,1695.84619140625,20
STANDARD,0,1.0,283.0798034667969,7,7,-8.22555944798159e-13,2018-04-28,283.0798034667969,31,R_A5,1698.0374755859375,20
STANDARD,0,1.0,284.37677001953125,8,8,-6.948505139325878e-12,2018-04-28,284.37677001953125,31,R_A5,1700.2288818359375,20
STANDARD,0,1.0,281.0275573730469,9,11,-1.0734953898028365e-10,2018-04-28,281.0275573730469,31,R_A5,1701.2943115234375,21
STANDARD,0,1.0,281.21942138671875,10,12,-8.926377692564103e-11,2018-04-28,281.21942138671875,31,R_A5,1703.321044921875,21
STANDARD,0,1.0,281.4236145019531,11,13,-3.996381350845901e-12,2018-04-28,281.4236145019531,31,R_A5,1705.3477783203125,21
STANDARD,0,1.0,281.61602783203125,12,14,-9.076514713435291e-12,2018-04-28,281.61602783203125,31,R_A5,1707.37451171875,21
STANDARD,0,1.0,282.0082702636719,13,15,-6.139878536148835e-12,2018-04-28,282.0082702636719,31,R_A5,1709.401123046875,21
STANDARD,0,1.0,282.61553955078125,14,16,-1.8475275562895854e-12,2018-04-28,282.61553955078125,31,R_A5,1711.4278564453125,21
STANDARD,0,1.0,282.8121337890625,15,17,-2.5207451143788306e-12,2018-04-28,282.8121337890625,31,R_A5,1713.45458984375,21
STANDARD,0,1.0,282.9704895019531,16,18,-3.2826074757713597e-12,2018-04-28,282.9704895019531,31,R_A5,1715.0927734375,21
STANDARD,0,0.9999999403953552,287.54205322265625,17,26,-2.747919003454058e-09,2018-04-28,287.54205322265625,31,R_A5,1716.9794921875,21
STANDARD,0,1.0,287.7281494140625,18,27,-1.849494557504272e-09,2018-04-28,287.7281494140625,31,R_A5,1719.308349609375,21
STANDARD,0,1.0,290.3352966308594,19,28,-1.1011049267062008e-15,2018-04-28,290.3352966308594,31,R_A5,1721.637451171875,21
STANDARD,0,1.0,301.4115295410156,20,29,-6.038573981592262e-17,2018-04-28,301.4115295410156,31,R_A5,1723.9664306640625,21
STANDARD,0,1.0,306.279052734375,21,30,-2.2974418321922904e-18,2018-04-28,306.279052734375,31,R_A5,1726.29541015625,21
STANDARD,0,0.6498402953147888,275.6468811035156,1,1,0.0,2018-07-03,275.6468811035156,28,R_A3,1609.708251953125,41
STANDARD,0,0.19390003383159637,275.74041748046875,2,2,0.0,2018-07-03,275.74041748046875,28,R_A3,1611.727294921875,41
STANDARD,0,0.1191009059548378,275.8742980957031,3,3,0.0,2018-07-03,275.8742980957031,28,R_A3,1613.7464599609375,41
