DEPTH,SGAS,CONBPRES,WELL,SWAT,CONIDX,PRESSURE,WELLMODEL,CONJPOS,DATE,CONKPOS,DRAWDOWN,CONIPOS
1641.094970703125,0.0,300.5350341796875,R_A2,0.06062858924269676,1,300.5350341796875,STANDARD,30,2018-01-01,1,0,22
1642.8890380859375,0.0,300.65533447265625,R_A2,0.06226194649934769,2,300.65533447265625,STANDARD,30,2018-01-01,2,0,22
1644.68310546875,0.0,300.775634765625,R_A2,0.0654844120144844,3,300.775634765625,STANDARD,30,2018-01-01,3,0,22
1646.4771728515625,0.0,300.89593505859375,R_A2,0.07091594487428665,4,300.89593505859375,STANDARD,30,2018-01-01,4,0,22
1648.2713623046875,0.0,301.0162353515625,R_A2,0.07553492486476898,5,301.0162353515625,STANDARD,30,2018-01-01,5,0,22
1650.0654296875,0.0,301.13653564453125,R_A2,0.32017937302589417,6,301.13653564453125,STANDARD,30,2018-01-01,6,0,22
1651.859619140625,0.0,301.2568664550781,R_A2,0.9232646822929382,7,301.2568664550781,STANDARD,30,2018-01-01,7,0,22
1653.6536865234375,0.0,301.3771667480469,R_A2,0.9085577130317688,8,301.3771667480469,STANDARD,30,2018-01-01,8,0,22
1655.44775390625,0.0,301.49749755859375,R_A2,0.9395069479942322,9,301.49749755859375,STANDARD,30,2018-01-01,9,0,22
1657.2418212890625,0.0,301.6178283691406,R_A2,0.943085253238678,10,301.6178283691406,STANDARD,30,2018-01-01,10,0,22
1659.1368408203125,0.0,301.74493408203125,R_A2,0.08910706639289856,11,301.74493408203125,STANDARD,30,2018-01-01,11,0,22
1661.132568359375,0.0,301.8787841796875,R_A2,0.09801880270242691,12,301.8787841796875,STANDARD,30,2018-01-01,12,0,22
1663.12841796875,0.0,302.01263427734375,R_A2,0.5424270629882812,13,302.01263427734375,STANDARD,30,2018-01-01,13,0,22
1665.1241455078125,0.0,302.1465148925781,R_A2,0.5983397364616394,14,302.1465148925781,STANDARD,30,2018-01-01,14,0,22
1667.1199951171875,0.0,302.2803955078125,R_A2,0.7663398385047913,15,302.2803955078125,STANDARD,30,2018-01-01,15,0,22
1669.11572265625,0.0,302.4142761230469,R_A2,0.999208927154541,16,302.4142761230469,STANDARD,30,2018-01-01,16,0,22
1671.111572265625,0.0,302.54815673828125,R_A2,0.997536301612854,17,302.54815673828125,STANDARD,30,2018-01-01,17,0,22
