ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,4926419,827776,542345,378204,53251150
Valysar,CentralSouth,60366342,12077139,9528197,6644489,935544058
Valysar,CentralNorth,33489952,5497861,3795592,2646856,372677342
Valysar,NorthHorst,5485321,665355,277175,170255,33352979
Valysar,CentralRamp,13746446,2271409,1633574,1139173,160395552
Valysar,CentralHorst,83973871,14832634,11515763,8030518,1130697025
Valysar,EastLowland,291997,53917,21206,14788,2082156
Therys,WestLowland,2204974,392432,207749,144874,20398214
Therys,CentralSouth,8215681,1752596,1083155,755338,106351649
Therys,CentralNorth,17559935,3149329,1796815,1253009,176423690
Therys,NorthHorst,9872056,1327506,581993,357490,70032201
Therys,CentralRamp,6770890,1425947,1067372,744332,104801895
Therys,CentralHorst,27405046,6664714,5142012,3585783,504878199
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,254401,32800,12900,8996,1266620
Volon,CentralSouth,26513975,4562674,3298156,2299969,323835672
Volon,CentralNorth,4040798,593615,364121,253920,35751886
Volon,NorthHorst,6714072,1249594,991735,609174,119337149
Volon,CentralRamp,11693521,2205959,1695885,1182626,166513717
Volon,CentralHorst,77869416,13458296,10637681,7418188,1044480853
Volon,EastLowland,0,0,0,0,0
