CONJPOS,CONKPOS,DEPTH,DRAWDOWN,CONIDX,CONIPOS,WELL,PRESSURE,CONBPRES,SGAS,WELLMODEL,DATE,SWAT
30,1,1640.4227294921875,0,1,22,R_A2,300.7465515136719,300.7465515136719,0.0,STANDARD,2018-01-01,0.0527290515601635
30,2,1642.211669921875,0,2,22,R_A2,300.86651611328125,300.86651611328125,0.0,STANDARD,2018-01-01,0.05452257767319679
30,3,1644.0003662109375,0,3,22,R_A2,300.9864501953125,300.9864501953125,0.0,STANDARD,2018-01-01,0.05838853493332863
30,4,1645.7891845703125,0,4,22,R_A2,301.1064147949219,301.1064147949219,0.0,STANDARD,2018-01-01,0.0634506344795227
30,5,1647.578125,0,5,22,R_A2,301.22637939453125,301.22637939453125,0.0,STANDARD,2018-01-01,0.06478750705718994
30,6,1649.366943359375,0,6,22,R_A2,301.3463439941406,301.3463439941406,0.0,STANDARD,2018-01-01,0.3005695641040802
30,7,1651.1556396484375,0,7,22,R_A2,301.46630859375,301.46630859375,0.0,STANDARD,2018-01-01,0.7257895469665527
30,8,1652.9444580078125,0,8,22,R_A2,301.5862731933594,301.5862731933594,0.0,STANDARD,2018-01-01,0.8566135764122009
30,9,1654.7332763671875,0,9,22,R_A2,301.70623779296875,301.70623779296875,0.0,STANDARD,2018-01-01,0.8848589658737183
30,10,1656.522216796875,0,10,22,R_A2,301.82623291015625,301.82623291015625,0.0,STANDARD,2018-01-01,0.8950853943824768
30,11,1658.4517822265625,0,11,22,R_A2,301.9556579589844,301.9556579589844,0.0,STANDARD,2018-01-01,0.06820780038833618
30,12,1660.522216796875,0,12,22,R_A2,302.0945129394531,302.0945129394531,0.0,STANDARD,2018-01-01,0.07592995464801788
30,13,1662.592529296875,0,13,22,R_A2,302.2333984375,302.2333984375,0.0,STANDARD,2018-01-01,0.4291342496871948
30,14,1664.6629638671875,0,14,22,R_A2,302.3722839355469,302.3722839355469,0.0,STANDARD,2018-01-01,0.4635763168334961
30,15,1666.7333984375,0,15,22,R_A2,302.51116943359375,302.51116943359375,0.0,STANDARD,2018-01-01,0.9031360745429993
30,16,1668.8037109375,0,16,22,R_A2,302.6500549316406,302.6500549316406,0.0,STANDARD,2018-01-01,0.9199143052101135
30,17,1670.8741455078125,0,17,22,R_A2,302.7889404296875,302.7889404296875,0.0,STANDARD,2018-01-01,0.8846715092658997
30,18,1672.59765625,0,18,22,R_A2,302.9045715332031,302.9045715332031,0.0,STANDARD,2018-01-01,0.9439290761947632
29,18,1675.8740234375,0,19,22,R_A2,303.1243896484375,303.1243896484375,0.0,STANDARD,2018-01-01,0.9812831878662109
29,26,1677.2657470703125,0,20,22,R_A2,303.2177734375,303.2177734375,0.0,STANDARD,2018-01-01,1.0
29,27,1678.981689453125,0,21,22,R_A2,303.3329162597656,303.3329162597656,0.0,STANDARD,2018-01-01,0.7024967670440674
29,28,1680.697509765625,0,22,22,R_A2,303.4480285644531,303.4480285644531,0.0,STANDARD,2018-01-01,0.6481541991233826
29,29,1682.413330078125,0,23,22,R_A2,303.9022521972656,303.9022521972656,0.0,STANDARD,2018-01-01,1.0
