CONBPRES,CONJPOS,PRESSURE,CONKPOS,CONIDX,CONIPOS,DRAWDOWN,WELLMODEL,DATE,SWAT,WELL,DEPTH,SGAS
300.79498291015625,30,300.79498291015625,1,1,22,0,STANDARD,2018-01-01,0.1050959900021553,R_A2,1641.39208984375,0.0
300.917724609375,30,300.917724609375,2,2,22,0,STANDARD,2018-01-01,0.09565845876932144,R_A2,1643.22265625,0.0
301.04046630859375,30,301.04046630859375,3,3,22,0,STANDARD,2018-01-01,0.05854009836912155,R_A2,1645.0533447265625,0.0
301.1632385253906,30,301.1632385253906,4,4,22,0,STANDARD,2018-01-01,0.06466719508171082,R_A2,1646.884033203125,0.0
301.2860107421875,30,301.2860107421875,5,5,22,0,STANDARD,2018-01-01,0.0671367347240448,R_A2,1648.714599609375,0.0
301.4087829589844,30,301.4087829589844,6,6,22,0,STANDARD,2018-01-01,0.31180936098098755,R_A2,1650.5452880859375,0.0
301.53155517578125,30,301.53155517578125,7,7,22,0,STANDARD,2018-01-01,0.8814290761947632,R_A2,1652.3758544921875,0.0
301.6543273925781,30,301.6543273925781,8,8,22,0,STANDARD,2018-01-01,0.8601114153862,R_A2,1654.20654296875,0.0
301.777099609375,30,301.777099609375,9,9,22,0,STANDARD,2018-01-01,0.8966391682624817,R_A2,1656.037109375,0.0
301.89990234375,30,301.89990234375,10,10,22,0,STANDARD,2018-01-01,0.8904830813407898,R_A2,1657.8677978515625,0.0
302.0299377441406,30,302.0299377441406,11,11,22,0,STANDARD,2018-01-01,0.07186476141214371,R_A2,1659.8065185546875,0.0
302.1672058105469,30,302.1672058105469,12,12,22,0,STANDARD,2018-01-01,0.07235770672559738,R_A2,1661.853271484375,0.0
302.30450439453125,30,302.30450439453125,13,13,22,0,STANDARD,2018-01-01,0.4322968125343323,R_A2,1663.900146484375,0.0
302.44183349609375,30,302.44183349609375,14,14,22,0,STANDARD,2018-01-01,0.47798022627830505,R_A2,1665.947021484375,0.0
302.5791320800781,30,302.5791320800781,15,15,22,0,STANDARD,2018-01-01,0.6615476608276367,R_A2,1667.993896484375,0.0
302.7164306640625,30,302.7164306640625,16,16,22,0,STANDARD,2018-01-01,0.9481112957000732,R_A2,1670.0406494140625,0.0
302.853759765625,30,302.853759765625,17,17,22,0,STANDARD,2018-01-01,0.9115034937858582,R_A2,1672.08740234375,0.0
302.9859313964844,30,302.9859313964844,18,18,22,0,STANDARD,2018-01-01,0.9564664363861084,R_A2,1674.057373046875,0.0
303.0611572265625,30,303.0611572265625,19,19,22,0,STANDARD,2018-01-01,0.9658355116844177,R_A2,1675.178955078125,0.0
303.1343078613281,30,303.1343078613281,25,20,22,0,STANDARD,2018-01-01,1.0,R_A2,1676.26904296875,0.0
303.2571105957031,30,303.2571105957031,26,21,22,0,STANDARD,2018-01-01,1.0,R_A2,1678.099365234375,0.0
303.3799133300781,30,303.3799133300781,27,22,22,0,STANDARD,2018-01-01,0.7036905288696289,R_A2,1679.9298095703125,0.0
303.3775939941406,29,303.3775939941406,27,23,22,0,STANDARD,2018-01-01,1.0,R_A2,1679.895263671875,0.0
303.8291320800781,29,303.8291320800781,28,24,22,0,STANDARD,2018-01-01,1.0,R_A2,1681.6419677734375,0.0
303.9946594238281,29,303.9946594238281,29,25,22,0,STANDARD,2018-01-01,1.0,R_A2,1683.388671875,0.0
298.7264709472656,41,298.7264709472656,1,1,28,0,STANDARD,2018-01-01,0.6481541991233826,R_A3,1610.5361328125,0.0
298.8651428222656,41,298.8651428222656,2,2,28,0,STANDARD,2018-01-01,0.1980840265750885,R_A3,1612.6048583984375,0.0
299.0037841796875,41,299.0037841796875,3,3,28,0,STANDARD,2018-01-01,0.15568679571151733,R_A3,1614.6737060546875,0.0
299.1424560546875,41,299.1424560546875,4,4,28,0,STANDARD,2018-01-01,0.19598132371902466,R_A3,1616.742431640625,0.0
299.2810974121094,41,299.2810974121094,5,5,28,0,STANDARD,2018-01-01,0.8324522972106934,R_A3,1618.811279296875,0.0
298.4281005859375,41,298.4281005859375,5,6,29,0,STANDARD,2018-01-01,0.8011082410812378,R_A3,1606.0838623046875,0.0
298.5697937011719,41,298.5697937011719,6,7,29,0,STANDARD,2018-01-01,0.6481541991233826,R_A3,1608.1982421875,0.0
298.71148681640625,41,298.71148681640625,7,8,29,0,STANDARD,2018-01-01,0.1921331286430359,R_A3,1610.3125,0.0
298.8531799316406,41,298.8531799316406,8,9,29,0,STANDARD,2018-01-01,0.19525063037872314,R_A3,1612.4268798828125,0.0
298.9949035644531,41,298.9949035644531,9,10,29,0,STANDARD,2018-01-01,0.7952867746353149,R_A3,1614.5411376953125,0.0
299.1365966796875,41,299.1365966796875,10,11,29,0,STANDARD,2018-01-01,0.7889167666435242,R_A3,1616.6553955078125,0.0
299.28204345703125,41,299.28204345703125,11,12,29,0,STANDARD,2018-01-01,0.048293907195329666,R_A3,1618.824951171875,0.0
299.43115234375,41,299.43115234375,12,13,29,0,STANDARD,2018-01-01,0.05127204209566116,R_A3,1621.0498046875,0.0
299.5802917480469,41,299.5802917480469,13,14,29,0,STANDARD,2018-01-01,0.3657606542110443,R_A3,1623.274658203125,0.0
299.7294616699219,41,299.7294616699219,14,15,29,0,STANDARD,2018-01-01,0.37439921498298645,R_A3,1625.4996337890625,0.0
299.87860107421875,41,299.87860107421875,15,16,29,0,STANDARD,2018-01-01,0.48985278606414795,R_A3,1627.7244873046875,0.0
300.02008056640625,41,300.02008056640625,16,17,29,0,STANDARD,2018-01-01,0.797554612159729,R_A3,1629.834716796875,0.0
300.22442626953125,41,300.22442626953125,25,18,29,0,STANDARD,2018-01-01,1.0,R_A3,1632.883056640625,0.0
300.4715270996094,41,300.4715270996094,26,19,29,0,STANDARD,2018-01-01,0.261705219745636,R_A3,1636.568115234375,0.0
300.7185974121094,41,300.7185974121094,27,20,29,0,STANDARD,2018-01-01,0.08215418457984924,R_A3,1640.253173828125,0.0
300.9656982421875,41,300.9656982421875,28,21,29,0,STANDARD,2018-01-01,0.2892383635044098,R_A3,1643.9383544921875,0.0
301.21282958984375,41,301.21282958984375,29,22,29,0,STANDARD,2018-01-01,0.06043586879968643,R_A3,1647.6234130859375,0.0
300.1153259277344,52,300.1153259277344,1,1,30,0,STANDARD,2018-01-01,0.04902677610516548,R_A4,1631.25537109375,0.0
299.77978515625,52,299.77978515625,1,2,31,0,STANDARD,2018-01-01,0.04682476446032524,R_A4,1626.25048828125,0.0
299.9190673828125,52,299.9190673828125,2,3,31,0,STANDARD,2018-01-01,0.04947410151362419,R_A4,1628.3280029296875,0.0
300.058349609375,52,300.058349609375,3,4,31,0,STANDARD,2018-01-01,0.05096983537077904,R_A4,1630.4056396484375,0.0
300.1976318359375,52,300.1976318359375,4,5,31,0,STANDARD,2018-01-01,0.05169167369604111,R_A4,1632.483154296875,0.0
300.3369140625,52,300.3369140625,5,6,31,0,STANDARD,2018-01-01,0.05225061625242233,R_A4,1634.560791015625,0.0
300.070556640625,52,300.070556640625,5,7,32,0,STANDARD,2018-01-01,0.05365291237831116,R_A4,1630.5875244140625,0.0
300.4969177246094,51,300.4969177246094,5,8,32,0,STANDARD,2018-01-01,0.058341577649116516,R_A4,1636.947021484375,0.0
300.3758239746094,51,300.3758239746094,4,9,32,0,STANDARD,2018-01-01,0.05610549822449684,R_A4,1635.14111328125,0.0
300.4193115234375,51,300.4193115234375,4,10,33,0,STANDARD,2018-01-01,0.05682121962308884,R_A4,1635.7896728515625,0.0
300.2979431152344,51,300.2979431152344,3,11,33,0,STANDARD,2018-01-01,0.054247427731752396,R_A4,1633.9794921875,0.0
300.8734130859375,50,300.8734130859375,3,12,33,0,STANDARD,2018-01-01,0.09818045794963837,R_A4,1642.561767578125,0.0
300.6079406738281,50,300.6079406738281,3,13,34,0,STANDARD,2018-01-01,0.15143674612045288,R_A4,1638.602783203125,0.0
300.73480224609375,50,300.73480224609375,4,14,34,0,STANDARD,2018-01-01,0.10102637112140656,R_A4,1640.4949951171875,0.0
300.6258239746094,50,300.6258239746094,4,15,35,0,STANDARD,2018-01-01,0.20276382565498352,R_A4,1638.8695068359375,0.0
300.503662109375,50,300.503662109375,3,16,35,0,STANDARD,2018-01-01,0.21929065883159637,R_A4,1637.047607421875,0.0
300.90850830078125,49,300.90850830078125,3,17,35,0,STANDARD,2018-01-01,0.23463726043701172,R_A4,1643.08544921875,0.0
300.7982177734375,49,300.7982177734375,28,18,36,0,STANDARD,2018-01-01,0.17638364434242249,R_A4,1641.4404296875,0.0
300.5381164550781,48,300.5381164550781,28,19,36,0,STANDARD,2018-01-01,0.6481541991233826,R_A4,1637.5615234375,0.0
301.0974426269531,48,301.0974426269531,28,20,37,0,STANDARD,2018-01-01,0.22796118259429932,R_A4,1645.9029541015625,0.0
301.67755126953125,48,301.67755126953125,28,21,38,0,STANDARD,2018-01-01,0.06371016055345535,R_A4,1654.552734375,0.0
301.9682922363281,47,301.9682922363281,28,22,38,0,STANDARD,2018-01-01,0.10066967457532883,R_A4,1658.8878173828125,0.0
301.585205078125,47,301.585205078125,27,23,38,0,STANDARD,2018-01-01,0.05950850620865822,R_A4,1653.1759033203125,0.0
303.8465576171875,20,303.8465576171875,1,1,31,0,STANDARD,2018-01-01,1.0,R_A5,1685.052734375,0.0
304.0581359863281,20,304.0581359863281,2,2,31,0,STANDARD,2018-01-01,1.0,R_A5,1687.285400390625,0.0
304.26971435546875,20,304.26971435546875,3,3,31,0,STANDARD,2018-01-01,1.0,R_A5,1689.51806640625,0.0
304.4812927246094,20,304.4812927246094,4,4,31,0,STANDARD,2018-01-01,1.0,R_A5,1691.750732421875,0.0
304.69287109375,20,304.69287109375,5,5,31,0,STANDARD,2018-01-01,1.0,R_A5,1693.9833984375,0.0
304.9044494628906,20,304.9044494628906,6,6,31,0,STANDARD,2018-01-01,1.0,R_A5,1696.216064453125,0.0
305.42181396484375,20,305.42181396484375,7,7,31,0,STANDARD,2018-01-01,1.0,R_A5,1698.44873046875,0.0
305.75079345703125,20,305.75079345703125,10,8,31,0,STANDARD,2018-01-01,1.0,R_A5,1705.1466064453125,0.0
305.22088623046875,21,305.22088623046875,11,9,31,0,STANDARD,2018-01-01,1.0,R_A5,1699.5538330078125,0.0
305.404541015625,21,305.404541015625,12,10,31,0,STANDARD,2018-01-01,1.0,R_A5,1701.4918212890625,0.0
305.6001892089844,21,305.6001892089844,13,11,31,0,STANDARD,2018-01-01,1.0,R_A5,1703.4298095703125,0.0
305.7838439941406,21,305.7838439941406,14,12,31,0,STANDARD,2018-01-01,1.0,R_A5,1705.3677978515625,0.0
305.9674987792969,21,305.9674987792969,15,13,31,0,STANDARD,2018-01-01,1.0,R_A5,1707.3057861328125,0.0
306.2961730957031,21,306.2961730957031,16,14,31,0,STANDARD,2018-01-01,1.0,R_A5,1709.24365234375,0.0
306.4798583984375,21,306.4798583984375,17,15,31,0,STANDARD,2018-01-01,1.0,R_A5,1711.181640625,0.0
306.65863037109375,21,306.65863037109375,18,16,31,0,STANDARD,2018-01-01,1.0,R_A5,1713.068115234375,0.0
306.7726745605469,21,306.7726745605469,19,17,31,0,STANDARD,2018-01-01,1.0,R_A5,1714.2716064453125,0.0
306.8092346191406,21,306.8092346191406,20,18,31,0,STANDARD,2018-01-01,1.0,R_A5,1714.6572265625,0.0
306.7742919921875,21,306.7742919921875,25,19,31,0,STANDARD,2018-01-01,1.0,R_A5,1715.9462890625,0.0
306.9997253417969,21,306.9997253417969,26,20,31,0,STANDARD,2018-01-01,1.0,R_A5,1718.3248291015625,0.0
307.53094482421875,21,307.53094482421875,27,21,31,0,STANDARD,2018-01-01,1.0,R_A5,1720.7032470703125,0.0
307.7563781738281,21,307.7563781738281,28,22,31,0,STANDARD,2018-01-01,1.0,R_A5,1723.081787109375,0.0
307.9817810058594,21,307.9817810058594,29,23,31,0,STANDARD,2018-01-01,1.0,R_A5,1725.4603271484375,0.0
305.13446044921875,42,305.13446044921875,1,1,17,0,STANDARD,2018-01-01,1.0,R_A6,1695.41650390625,0.0
305.28192138671875,42,305.28192138671875,2,2,17,0,STANDARD,2018-01-01,1.0,R_A6,1696.9725341796875,0.0
305.42938232421875,42,305.42938232421875,3,3,17,0,STANDARD,2018-01-01,1.0,R_A6,1698.5284423828125,0.0
305.57684326171875,42,305.57684326171875,4,4,17,0,STANDARD,2018-01-01,1.0,R_A6,1700.0843505859375,0.0
305.7242736816406,42,305.7242736816406,5,5,17,0,STANDARD,2018-01-01,1.0,R_A6,1701.6402587890625,0.0
305.8717346191406,42,305.8717346191406,6,6,17,0,STANDARD,2018-01-01,1.0,R_A6,1703.1962890625,0.0
305.72015380859375,42,305.72015380859375,7,7,17,0,STANDARD,2018-01-01,1.0,R_A6,1704.752197265625,0.0
305.86761474609375,42,305.86761474609375,8,8,17,0,STANDARD,2018-01-01,1.0,R_A6,1706.30810546875,0.0
306.3141174316406,42,306.3141174316406,9,9,17,0,STANDARD,2018-01-01,1.0,R_A6,1707.8641357421875,0.0
306.1557922363281,42,306.1557922363281,10,10,17,0,STANDARD,2018-01-01,1.0,R_A6,1709.420166015625,0.0
306.3358459472656,42,306.3358459472656,11,11,17,0,STANDARD,2018-01-01,1.0,R_A6,1711.318603515625,0.0
306.5482177734375,42,306.5482177734375,12,12,17,0,STANDARD,2018-01-01,1.0,R_A6,1713.5595703125,0.0
306.7725830078125,42,306.7725830078125,13,13,17,0,STANDARD,2018-01-01,1.0,R_A6,1715.800537109375,0.0
306.9849548339844,42,306.9849548339844,14,14,17,0,STANDARD,2018-01-01,1.0,R_A6,1718.0416259765625,0.0
307.1973571777344,42,307.1973571777344,15,15,17,0,STANDARD,2018-01-01,1.0,R_A6,1720.2825927734375,0.0
307.55474853515625,42,307.55474853515625,16,16,17,0,STANDARD,2018-01-01,1.0,R_A6,1722.5235595703125,0.0
307.76715087890625,42,307.76715087890625,17,17,17,0,STANDARD,2018-01-01,1.0,R_A6,1724.7645263671875,0.0
