CONKPOS,WELL,SWAT,CONJPOS,CONIDX,DATE,CONIPOS,SGAS,PRESSURE,DRAWDOWN,CONBPRES,DEPTH,WELLMODEL
1,R_A2,0.05267367511987686,30,1,2018-01-01,22,0.0,300.6675720214844,0,300.6675720214844,1639.0633544921875,STANDARD
2,R_A2,0.05393708869814873,30,2,2018-01-01,22,0.0,300.7842102050781,0,300.7842102050781,1640.8031005859375,STANDARD
3,R_A2,0.05810586363077164,30,3,2018-01-01,22,0.0,300.90087890625,0,300.90087890625,1642.5428466796875,STANDARD
4,R_A2,0.0631113275885582,30,4,2018-01-01,22,0.0,301.0175476074219,0,301.0175476074219,1644.282470703125,STANDARD
5,R_A2,0.06441099941730499,30,5,2018-01-01,22,0.0,301.1341857910156,0,301.1341857910156,1646.0220947265625,STANDARD
6,R_A2,0.6481541991233826,30,6,2018-01-01,22,0.0,301.2508544921875,0,301.2508544921875,1647.7618408203125,STANDARD
7,R_A2,0.8689287304878235,30,7,2018-01-01,22,0.0,301.3675231933594,0,301.3675231933594,1649.50146484375,STANDARD
8,R_A2,0.8494336605072021,30,8,2018-01-01,22,0.0,301.48419189453125,0,301.48419189453125,1651.2412109375,STANDARD
9,R_A2,0.8864127397537231,30,9,2018-01-01,22,0.0,301.60089111328125,0,301.60089111328125,1652.98095703125,STANDARD
10,R_A2,0.8748068809509277,30,10,2018-01-01,22,0.0,301.7175598144531,0,301.7175598144531,1654.720703125,STANDARD
11,R_A2,0.06509072333574295,30,11,2018-01-01,22,0.0,301.84197998046875,0,301.84197998046875,1656.57568359375,STANDARD
12,R_A2,0.13826575875282288,30,12,2018-01-01,22,0.0,301.9741516113281,0,301.9741516113281,1658.546142578125,STANDARD
13,R_A2,0.41206565499305725,30,13,2018-01-01,22,0.0,302.1063232421875,0,302.1063232421875,1660.5166015625,STANDARD
14,R_A2,0.45699170231819153,30,14,2018-01-01,22,0.0,302.2384948730469,0,302.2384948730469,1662.4869384765625,STANDARD
15,R_A2,0.8902507424354553,30,15,2018-01-01,22,0.0,302.37066650390625,0,302.37066650390625,1664.4573974609375,STANDARD
16,R_A2,0.9044383764266968,30,16,2018-01-01,22,0.0,302.5028381347656,0,302.5028381347656,1666.4278564453125,STANDARD
17,R_A2,0.8526720404624939,30,17,2018-01-01,22,0.0,302.635009765625,0,302.635009765625,1668.3983154296875,STANDARD
17,R_A2,0.9089021682739258,29,18,2018-01-01,22,0.0,302.99493408203125,0,302.99493408203125,1673.762939453125,STANDARD
18,R_A2,0.9662539958953857,29,19,2018-01-01,22,0.0,303.11981201171875,0,303.11981201171875,1675.6243896484375,STANDARD
25,R_A2,0.6481541991233826,29,20,2018-01-01,22,0.0,303.2388610839844,0,303.2388610839844,1677.3984375,STANDARD
26,R_A2,1.0,29,21,2018-01-01,22,0.0,303.3559265136719,0,303.3559265136719,1679.1434326171875,STANDARD
27,R_A2,1.0,29,22,2018-01-01,22,0.0,303.4730224609375,0,303.4730224609375,1680.8885498046875,STANDARD
28,R_A2,1.0,29,23,2018-01-01,22,0.0,303.923095703125,0,303.923095703125,1682.633544921875,STANDARD
29,R_A2,1.0,29,24,2018-01-01,22,0.0,304.0884704589844,0,304.0884704589844,1684.3785400390625,STANDARD
1,R_A3,0.24614481627941132,41,1,2018-01-01,28,0.0,298.6889343261719,0,298.6889343261719,1609.547119140625,STANDARD
2,R_A3,0.146029531955719,41,2,2018-01-01,28,0.0,298.82550048828125,0,298.82550048828125,1611.584716796875,STANDARD
3,R_A3,0.11823459714651108,41,3,2018-01-01,28,0.0,298.9620666503906,0,298.9620666503906,1613.622314453125,STANDARD
3,R_A3,0.1612897515296936,41,4,2018-01-01,29,0.0,298.2431640625,0,298.2431640625,1602.8953857421875,STANDARD
4,R_A3,0.17832805216312408,41,5,2018-01-01,29,0.0,298.3884582519531,0,298.3884582519531,1605.0634765625,STANDARD
5,R_A3,0.8002038598060608,41,6,2018-01-01,29,0.0,298.53375244140625,0,298.53375244140625,1607.2314453125,STANDARD
6,R_A3,0.6481541991233826,41,7,2018-01-01,29,0.0,298.6790466308594,0,298.6790466308594,1609.3995361328125,STANDARD
7,R_A3,0.19318915903568268,41,8,2018-01-01,29,0.0,298.8243408203125,0,298.8243408203125,1611.567626953125,STANDARD
8,R_A3,0.34302952885627747,41,9,2018-01-01,29,0.0,298.9696350097656,0,298.9696350097656,1613.735595703125,STANDARD
9,R_A3,0.7917802929878235,41,10,2018-01-01,29,0.0,299.1149597167969,0,299.1149597167969,1615.9036865234375,STANDARD
10,R_A3,0.7925200462341309,41,11,2018-01-01,29,0.0,299.2602844238281,0,299.2602844238281,1618.07177734375,STANDARD
11,R_A3,0.04731947183609009,41,12,2018-01-01,29,0.0,299.4082336425781,0,299.4082336425781,1620.2791748046875,STANDARD
12,R_A3,0.0529056042432785,41,13,2018-01-01,29,0.0,299.558837890625,0,299.558837890625,1622.5257568359375,STANDARD
13,R_A3,0.3597606420516968,41,14,2018-01-01,29,0.0,299.7094421386719,0,299.7094421386719,1624.7723388671875,STANDARD
14,R_A3,0.3504392206668854,41,15,2018-01-01,29,0.0,299.86004638671875,0,299.86004638671875,1627.0189208984375,STANDARD
15,R_A3,0.601466715335846,41,16,2018-01-01,29,0.0,300.0106506347656,0,300.0106506347656,1629.2655029296875,STANDARD
16,R_A3,0.8001015782356262,41,17,2018-01-01,29,0.0,300.1507873535156,0,300.1507873535156,1631.35546875,STANDARD
25,R_A3,1.0,41,18,2018-01-01,29,0.0,300.3448791503906,0,300.3448791503906,1634.25048828125,STANDARD
26,R_A3,0.04488953948020935,41,19,2018-01-01,29,0.0,300.5871887207031,0,300.5871887207031,1637.8643798828125,STANDARD
