PRESSURE,SWAT,DRAWDOWN,WELL,CONIDX,DEPTH,CONKPOS,DATE,CONBPRES,CONJPOS,WELLMODEL,SGAS,CONIPOS
300.75390625,0.0679675042629242,0,R_A2,1,1640.7344970703125,1,2018-01-01,300.75390625,30,STANDARD,0.0,22
300.8701477050781,0.07326482981443405,0,R_A2,2,1642.4676513671875,2,2018-01-01,300.8701477050781,30,STANDARD,0.0,22
300.9863586425781,0.058671433478593826,0,R_A2,3,1644.2008056640625,3,2018-01-01,300.9863586425781,30,STANDARD,0.0,22
301.1025695800781,0.06309735029935837,0,R_A2,4,1645.9339599609375,4,2018-01-01,301.1025695800781,30,STANDARD,0.0,22
301.21881103515625,0.06549479067325592,0,R_A2,5,1647.6671142578125,5,2018-01-01,301.21881103515625,30,STANDARD,0.0,22
301.33502197265625,0.3002634644508362,0,R_A2,6,1649.400390625,6,2018-01-01,301.33502197265625,30,STANDARD,0.0,22
301.4512634277344,0.8739207983016968,0,R_A2,7,1651.133544921875,7,2018-01-01,301.4512634277344,30,STANDARD,0.0,22
301.5675048828125,0.8601560592651367,0,R_A2,8,1652.8665771484375,8,2018-01-01,301.5675048828125,30,STANDARD,0.0,22
301.6837463378906,0.8791539072990417,0,R_A2,9,1654.5997314453125,9,2018-01-01,301.6837463378906,30,STANDARD,0.0,22
301.79998779296875,0.880358099937439,0,R_A2,10,1656.3330078125,10,2018-01-01,301.79998779296875,30,STANDARD,0.0,22
301.9264221191406,0.06790368258953094,0,R_A2,11,1658.2177734375,11,2018-01-01,301.9264221191406,30,STANDARD,0.0,22
302.1995849609375,0.4293229877948761,0,R_A2,12,1662.2906494140625,13,2018-01-01,302.1995849609375,30,STANDARD,0.0,22
302.336181640625,0.47077322006225586,0,R_A2,13,1664.3270263671875,14,2018-01-01,302.336181640625,30,STANDARD,0.0,22
302.4728088378906,0.9058035016059875,0,R_A2,14,1666.363525390625,15,2018-01-01,302.4728088378906,30,STANDARD,0.0,22
302.6094055175781,0.9176929593086243,0,R_A2,15,1668.39990234375,16,2018-01-01,302.6094055175781,30,STANDARD,0.0,22
302.74603271484375,0.8832765221595764,0,R_A2,16,1670.4364013671875,17,2018-01-01,302.74603271484375,30,STANDARD,0.0,22
303.0558776855469,0.9711588621139526,0,R_A2,17,1675.0545654296875,18,2018-01-01,303.0558776855469,29,STANDARD,0.0,22
