WELL,DEPTH,DRAWDOWN,CONIPOS,CONBPRES,WELLMODEL,CONJPOS,DATE,PRESSURE,SGAS,CONIDX,SWAT,CONKPOS
R_A2,1641.094970703125,0,22,300.8115234375,STANDARD,30,2018-01-01,300.8115234375,0.0,1,0.05353076756000519,1
R_A2,1642.8890380859375,0,22,300.93182373046875,STANDARD,30,2018-01-01,300.93182373046875,0.0,2,0.056235410273075104,2
R_A2,1644.68310546875,0,22,301.0521545410156,STANDARD,30,2018-01-01,301.0521545410156,0.0,3,0.05863179638981819,3
R_A2,1646.4771728515625,0,22,301.1724548339844,STANDARD,30,2018-01-01,301.1724548339844,0.0,4,0.06197984144091606,4
R_A2,1648.2713623046875,0,22,301.29278564453125,STANDARD,30,2018-01-01,301.29278564453125,0.0,5,0.06576079875230789,5
R_A2,1650.0654296875,0,22,301.4130859375,STANDARD,30,2018-01-01,301.4130859375,0.0,6,0.23073183000087738,6
R_A2,1651.859619140625,0,22,301.5334167480469,STANDARD,30,2018-01-01,301.5334167480469,0.0,7,0.8742225170135498,7
R_A2,1653.6536865234375,0,22,301.65374755859375,STANDARD,30,2018-01-01,301.65374755859375,0.0,8,0.8470197916030884,8
R_A2,1655.44775390625,0,22,301.7740783691406,STANDARD,30,2018-01-01,301.7740783691406,0.0,9,0.8699919581413269,9
R_A2,1657.2418212890625,0,22,301.8944091796875,STANDARD,30,2018-01-01,301.8944091796875,0.0,10,0.8803538084030151,10
R_A2,1659.1368408203125,0,22,302.0215148925781,STANDARD,30,2018-01-01,302.0215148925781,0.0,11,0.06923899054527283,11
R_A2,1661.132568359375,0,22,302.1553649902344,STANDARD,30,2018-01-01,302.1553649902344,0.0,12,0.07151635736227036,12
R_A2,1663.12841796875,0,22,302.28924560546875,STANDARD,30,2018-01-01,302.28924560546875,0.0,13,0.43091320991516113,13
R_A2,1665.1241455078125,0,22,302.4231262207031,STANDARD,30,2018-01-01,302.4231262207031,0.0,14,0.46459081768989563,14
R_A2,1667.1199951171875,0,22,302.5570068359375,STANDARD,30,2018-01-01,302.5570068359375,0.0,15,0.6283186674118042,15
R_A2,1669.11572265625,0,22,302.6908874511719,STANDARD,30,2018-01-01,302.6908874511719,0.0,16,0.9240829944610596,16
