WELL,DRAWDOWN,PRESSURE,SGAS,CONJPOS,DEPTH,CONIPOS,CONKPOS,DATE,WELLMODEL,CONIDX,SWAT,CONBPRES
R_A2,0,301.7511291503906,0.0,30,1655.27880859375,22,9,2018-01-01,STANDARD,9,0.2465895116329193,301.7511291503906
R_A2,0,301.8678283691406,0.0,30,1657.0185546875,22,10,2018-01-01,STANDARD,10,0.6481541991233826,301.8678283691406
R_A2,0,301.9942626953125,0.0,30,1658.9039306640625,22,11,2018-01-01,STANDARD,11,0.06924493610858917,301.9942626953125
R_A2,0,302.1304931640625,0.0,30,1660.9349365234375,22,12,2018-01-01,STANDARD,12,0.07101553678512573,302.1304931640625
R_A2,0,302.2667541503906,0.0,30,1662.9659423828125,22,13,2018-01-01,STANDARD,13,0.43051961064338684,302.2667541503906
R_A2,0,302.4029846191406,0.0,30,1664.9969482421875,22,14,2018-01-01,STANDARD,14,0.47501635551452637,302.4029846191406
R_A2,0,302.5392150878906,0.0,30,1667.0279541015625,22,15,2018-01-01,STANDARD,15,0.9049779176712036,302.5392150878906
R_A2,0,302.67547607421875,0.0,30,1669.0589599609375,22,16,2018-01-01,STANDARD,16,0.9173440337181091,302.67547607421875
R_A2,0,302.8117370605469,0.0,30,1671.0899658203125,22,17,2018-01-01,STANDARD,17,0.8698495030403137,302.8117370605469
R_A2,0,303.050537109375,0.0,29,1674.6494140625,22,17,2018-01-01,STANDARD,18,0.9299769401550293,303.050537109375
R_A2,0,303.17608642578125,0.0,29,1676.5206298828125,22,18,2018-01-01,STANDARD,19,0.9846684336662292,303.17608642578125
R_A2,0,303.2902526855469,0.0,29,1678.2225341796875,22,25,2018-01-01,STANDARD,20,1.0,303.2902526855469
R_A2,0,303.40789794921875,0.0,29,1679.9757080078125,22,26,2018-01-01,STANDARD,21,0.8419082760810852,303.40789794921875
R_A2,0,303.8373718261719,0.0,29,1681.7288818359375,22,27,2018-01-01,STANDARD,22,1.0,303.8373718261719
R_A2,0,304.0035095214844,0.0,29,1683.482177734375,22,28,2018-01-01,STANDARD,23,1.0,304.0035095214844
R_A2,0,304.1696472167969,0.0,29,1685.2353515625,22,29,2018-01-01,STANDARD,24,1.0,304.1696472167969
R_A3,0,298.6160583496094,0.0,41,1608.517578125,28,1,2018-01-01,STANDARD,1,0.6481541991233826,298.6160583496094
R_A3,0,298.7533264160156,0.0,41,1610.56591796875,28,2,2018-01-01,STANDARD,2,0.19324757158756256,298.7533264160156
R_A3,0,298.890625,0.0,41,1612.6142578125,28,3,2018-01-01,STANDARD,3,0.11823459714651108,298.890625
R_A3,0,299.0279235839844,0.0,41,1614.66259765625,28,4,2018-01-01,STANDARD,4,0.1424790918827057,299.0279235839844
R_A3,0,299.16522216796875,0.0,41,1616.7110595703125,28,5,2018-01-01,STANDARD,5,0.6481541991233826,299.16522216796875
R_A3,0,298.638427734375,0.0,41,1608.8511962890625,29,5,2018-01-01,STANDARD,6,0.8091187477111816,298.638427734375
R_A3,0,298.7745361328125,0.0,41,1610.8822021484375,29,6,2018-01-01,STANDARD,7,0.6481541991233826,298.7745361328125
R_A3,0,298.91064453125,0.0,41,1612.9132080078125,29,7,2018-01-01,STANDARD,8,0.1932239979505539,298.91064453125
R_A3,0,299.0467834472656,0.0,41,1614.9442138671875,29,8,2018-01-01,STANDARD,9,0.19598184525966644,299.0467834472656
R_A3,0,299.18292236328125,0.0,41,1616.97509765625,29,9,2018-01-01,STANDARD,10,0.7972423434257507,299.18292236328125
R_A3,0,299.31903076171875,0.0,41,1619.006103515625,29,10,2018-01-01,STANDARD,11,0.7968339323997498,299.31903076171875
R_A3,0,299.4641418457031,0.0,41,1621.1710205078125,29,11,2018-01-01,STANDARD,12,0.047753673046827316,299.4641418457031
R_A3,0,299.6182556152344,0.0,41,1623.4698486328125,29,12,2018-01-01,STANDARD,13,0.052836764603853226,299.6182556152344
R_A3,0,299.7723693847656,0.0,41,1625.7685546875,29,13,2018-01-01,STANDARD,14,0.3737194538116455,299.7723693847656
R_A3,0,299.92645263671875,0.0,41,1628.0673828125,29,14,2018-01-01,STANDARD,15,0.34792008996009827,299.92645263671875
R_A3,0,300.08056640625,0.0,41,1630.3662109375,29,15,2018-01-01,STANDARD,16,0.5009711980819702,300.08056640625
