PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID,REAL,ENSEMBLE
PERM,LowerReek,Dorne,Background,11.214703,,100.0,0.06995335,1.0311825,27.656572,16.420055,geogrid,geogrid,4,iter-0
PORO,LowerReek,Dorne,Background,0.10698399,,0.3243137,0.0,0.032983992,0.17893225,0.05528964,geogrid,geogrid,4,iter-0
SW,LowerReek,Dorne,Background,0.9990558,,1.0,0.51843184,1.0,1.0,0.017262045,geogrid,geogrid,4,iter-0
PERM,LowerReek,Dorne,Channel,3252.3389,,10000.0,41.811104,508.73853,9022.489,2982.3984,geogrid,geogrid,4,iter-0
PORO,LowerReek,Dorne,Channel,0.2529309,,0.43097925,0.075968504,0.18889241,0.3171894,0.049409598,geogrid,geogrid,4,iter-0
SW,LowerReek,Dorne,Channel,0.9264854,,1.0,0.06578968,1.0,1.0,0.23314913,geogrid,geogrid,4,iter-0
PERM,LowerReek,Dorne,Crevasse,181.15381,,1000.0,1.3735541,23.226515,441.71484,211.7672,geogrid,geogrid,4,iter-0
PORO,LowerReek,Dorne,Crevasse,0.203855,,0.37303922,0.02394171,0.1393526,0.26651314,0.04963928,geogrid,geogrid,4,iter-0
SW,LowerReek,Dorne,Crevasse,0.9479967,,1.0,0.15663436,1.0,1.0,0.17796552,geogrid,geogrid,4,iter-0
PERM,LowerReek,IronIslands,Background,11.517034,,100.0,0.22714204,1.5488653,27.702076,15.17114,geogrid,geogrid,4,iter-0
PORO,LowerReek,IronIslands,Background,0.09892016,,0.29836878,0.0,0.03511721,0.1631692,0.048978277,geogrid,geogrid,4,iter-0
SW,LowerReek,IronIslands,Background,0.7323407,,1.0,0.0,0.30796698,1.0,0.3099928,geogrid,geogrid,4,iter-0
PERM,LowerReek,IronIslands,Channel,3197.189,,10000.0,10.543459,480.63953,8772.426,2939.426,geogrid,geogrid,4,iter-0
PORO,LowerReek,IronIslands,Channel,0.25074512,,0.41747946,0.015156791,0.18656965,0.3146469,0.049765818,geogrid,geogrid,4,iter-0
SW,LowerReek,IronIslands,Channel,0.31219974,,1.0,0.017843176,0.030752461,1.0,0.41117525,geogrid,geogrid,4,iter-0
PERM,LowerReek,IronIslands,Crevasse,200.39873,,1000.0,2.81312,27.690964,514.2729,228.53552,geogrid,geogrid,4,iter-0
PORO,LowerReek,IronIslands,Crevasse,0.20671707,,0.37418544,0.03915803,0.1438593,0.2694221,0.04859635,geogrid,geogrid,4,iter-0
SW,LowerReek,IronIslands,Crevasse,0.3383333,,1.0,0.04275092,0.07607451,1.0,0.35667711,geogrid,geogrid,4,iter-0
PERM,LowerReek,North,Background,11.963879,,100.0,0.074014455,1.4634309,28.805498,16.271732,geogrid,geogrid,4,iter-0
PORO,LowerReek,North,Background,0.103889726,,0.27603364,0.0,0.038140655,0.1720212,0.050845508,geogrid,geogrid,4,iter-0
SW,LowerReek,North,Background,0.9944042,,1.0,0.0,1.0,1.0,0.056954864,geogrid,geogrid,4,iter-0
PERM,LowerReek,North,Channel,3143.8833,,10000.0,17.24964,458.94302,8788.033,2953.4487,geogrid,geogrid,4,iter-0
PORO,LowerReek,North,Channel,0.250723,,0.43109882,0.058944672,0.18670079,0.31624982,0.050220042,geogrid,geogrid,4,iter-0
SW,LowerReek,North,Channel,0.99012655,,1.0,0.023682334,1.0,1.0,0.0961271,geogrid,geogrid,4,iter-0
PERM,LowerReek,North,Crevasse,186.39253,,1000.0,1.574009,24.432253,448.78375,218.89099,geogrid,geogrid,4,iter-0
PORO,LowerReek,North,Crevasse,0.20566738,,0.38845214,0.031034827,0.14197661,0.26756176,0.04928254,geogrid,geogrid,4,iter-0
SW,LowerReek,North,Crevasse,0.99480796,,1.0,0.09269425,1.0,1.0,0.06545456,geogrid,geogrid,4,iter-0
PERM,LowerReek,Reach,Background,9.571595,,100.0,0.08014484,1.3448164,22.076801,12.403057,geogrid,geogrid,4,iter-0
PORO,LowerReek,Reach,Background,0.09449278,,0.28123623,0.0,0.0285189,0.1612197,0.049769253,geogrid,geogrid,4,iter-0
SW,LowerReek,Reach,Background,0.8297548,,1.0,0.0,0.42008385,1.0,0.26619533,geogrid,geogrid,4,iter-0
PERM,LowerReek,Reach,Channel,3115.3848,,10000.0,35.59852,455.86298,8373.18,2884.7031,geogrid,geogrid,4,iter-0
PORO,LowerReek,Reach,Channel,0.24981084,,0.437733,0.05018285,0.18627769,0.31144273,0.048859518,geogrid,geogrid,4,iter-0
SW,LowerReek,Reach,Channel,0.48387644,,1.0,0.020795599,0.050218273,1.0,0.44400984,geogrid,geogrid,4,iter-0
PERM,LowerReek,Reach,Crevasse,199.58452,,1000.0,1.731014,24.114706,509.11462,236.0398,geogrid,geogrid,4,iter-0
PORO,LowerReek,Reach,Crevasse,0.20847139,,0.40741983,0.0043053925,0.1418622,0.2771385,0.05292393,geogrid,geogrid,4,iter-0
SW,LowerReek,Reach,Crevasse,0.65179825,,1.0,0.051964186,0.14237192,1.0,0.38030645,geogrid,geogrid,4,iter-0
PERM,LowerReek,Stormlands,Background,14.972921,,100.0,0.4022542,2.2554107,36.941174,16.547403,geogrid,geogrid,4,iter-0
PORO,LowerReek,Stormlands,Background,0.12070672,,0.26266202,0.0,0.06594148,0.17940627,0.046411663,geogrid,geogrid,4,iter-0
SW,LowerReek,Stormlands,Background,0.2547154,,0.44191456,0.0,0.16915478,0.33237,0.068717614,geogrid,geogrid,4,iter-0
PERM,LowerReek,Stormlands,Channel,3656.2432,,10000.0,57.093628,601.434,10000.0,3197.621,geogrid,geogrid,4,iter-0
PORO,LowerReek,Stormlands,Channel,0.264247,,0.48875958,0.114243895,0.19047332,0.33305657,0.054532614,geogrid,geogrid,4,iter-0
SW,LowerReek,Stormlands,Channel,0.036126338,,0.106353484,0.017338546,0.022348667,0.052755676,0.012209694,geogrid,geogrid,4,iter-0
PERM,LowerReek,Stormlands,Crevasse,240.63278,,1000.0,3.9833326,29.468718,626.8264,260.56735,geogrid,geogrid,4,iter-0
PORO,LowerReek,Stormlands,Crevasse,0.21221034,,0.35257697,0.075014904,0.1445312,0.27783442,0.05233346,geogrid,geogrid,4,iter-0
SW,LowerReek,Stormlands,Crevasse,0.10043178,,0.3287249,0.040260766,0.06034028,0.14378278,0.04021951,geogrid,geogrid,4,iter-0
PERM,LowerReek,Vale,Background,7.8502617,,100.0,0.08101053,1.4311249,16.505238,8.972352,geogrid,geogrid,4,iter-0
PORO,LowerReek,Vale,Background,0.087763906,,0.23588803,0.0,0.034337744,0.13956791,0.040868334,geogrid,geogrid,4,iter-0
SW,LowerReek,Vale,Background,0.8145708,,1.0,0.0,0.28840142,1.0,0.29714388,geogrid,geogrid,4,iter-0
PERM,LowerReek,Vale,Channel,2876.7751,,10000.0,67.75227,483.5622,7216.6353,2678.0044,geogrid,geogrid,4,iter-0
PORO,LowerReek,Vale,Channel,0.24831893,,0.4049155,0.10055703,0.18787692,0.3070683,0.046380483,geogrid,geogrid,4,iter-0
SW,LowerReek,Vale,Channel,0.49933073,,1.0,0.020396003,0.029202228,1.0,0.47768414,geogrid,geogrid,4,iter-0
PERM,LowerReek,Vale,Crevasse,182.20663,,1000.0,2.1604915,27.706438,417.51932,202.93086,geogrid,geogrid,4,iter-0
PORO,LowerReek,Vale,Crevasse,0.20531929,,0.40580612,0.0445752,0.14765866,0.2648404,0.047892977,geogrid,geogrid,4,iter-0
SW,LowerReek,Vale,Crevasse,0.59589344,,1.0,0.05489884,0.09000987,1.0,0.43309006,geogrid,geogrid,4,iter-0
PERM,LowerReek,Westerlands,Background,11.02515,,100.0,0.1369659,1.6867237,24.86488,13.767511,geogrid,geogrid,4,iter-0
PORO,LowerReek,Westerlands,Background,0.10257394,,0.27897996,0.0,0.0433948,0.16150323,0.045597937,geogrid,geogrid,4,iter-0
SW,LowerReek,Westerlands,Background,0.9887607,,1.0,0.0,1.0,1.0,0.07414441,geogrid,geogrid,4,iter-0
PERM,LowerReek,Westerlands,Channel,3069.2156,,10000.0,9.232523,430.65793,8587.555,2936.4197,geogrid,geogrid,4,iter-0
