DATE,REGION,RGIP,RGIPG,RGIPL,RGPR,RGPT,ROIP,ROIPG,ROIPL,RPR
2000-08-01,1,3219528704.0,16.131202697753906,3219528704.0,64936.23046875,13507932.0,17497438.0,0.0,17497438.0,275.4371032714844
2000-08-01,2,4729786.0,51.958648681640625,4729734.0,0.0,0.0,25703.4453125,0.0,25703.4453125,285.3086853027344
2000-08-01,3,2957156352.0,48.59144592285156,2957156352.0,870363.125,182472576.0,16071502.0,0.0,16071502.0,271.3385925292969
2000-08-01,4,396713.34375,-2.542141914367676,396715.875,0.0,0.0,2154.362548828125,0.0,2154.362548828125,282.6039123535156
2000-08-01,5,1822304384.0,223.6221923828125,1822304256.0,514714.96875,117810872.0,9903828.0,0.0,9903828.0,271.4198303222656
2000-08-01,6,1847195.75,-10.451637268066406,1847206.25,0.0,0.0,10039.0634765625,0.0,10039.0634765625,282.027587890625
2000-09-01,1,3209172480.0,27.861854553222656,3209172480.0,66222.3515625,15548843.0,17441154.0,0.0,17441154.0,274.449951171875
2000-09-01,2,5064524.5,42.53120422363281,5064482.0,0.0,0.0,27522.677734375,0.0,27522.677734375,282.63616943359375
2000-09-01,3,2942669312.0,41.94536209106445,2942669312.0,858523.625,209156192.0,15992768.0,0.0,15992768.0,270.67431640625
2000-09-01,4,410993.125,-1.0680875778198242,410994.1875,0.0,0.0,2231.970458984375,0.0,2231.970458984375,280.3070373535156
2000-09-01,5,1803833856.0,298.793212890625,1803833472.0,459123.71875,132043744.0,9803445.0,0.0,9803445.0,270.7333984375
2000-09-01,6,1854814.5,-11.708664894104004,1854826.25,0.0,0.0,10080.4697265625,0.0,10080.4697265625,279.711669921875
2000-10-01,1,3199421184.0,63.54234313964844,3199421184.0,66508.4609375,17541796.0,17388158.0,0.0,17388158.0,273.5715637207031
2000-10-01,2,5350406.0,41.731571197509766,5350364.5,0.0,0.0,29076.384765625,0.0,29076.384765625,280.7274475097656
2000-10-01,3,2929184000.0,87.62336730957031,2929183744.0,848415.3125,234660560.0,15919478.0,0.0,15919478.0,269.99365234375
2000-10-01,4,423434.09375,15.236173629760742,423418.875,0.0,0.0,2299.5849609375,0.0,2299.5849609375,278.69732666015625
2000-10-01,5,1786704384.0,502.5420227050781,1786703872.0,418818.4375,144608352.0,9710350.0,0.0,9710350.0,270.07904052734375
2000-10-01,6,1860601.375,2.4992177486419678,1860598.875,0.0,0.0,10111.9208984375,0.0,10111.9208984375,278.0899963378906
2000-11-01,1,3189667072.0,119.24300384521484,3189667072.0,66363.890625,19601346.0,17335148.0,0.0,17335148.0,272.7567138671875
2000-11-01,2,5616070.5,44.68511199951172,5616026.0,0.0,0.0,30520.21484375,0.0,30520.21484375,279.266845703125
2000-11-01,3,2915624192.0,122.13217163085938,2915624192.0,839783.125,260739264.0,15845784.0,0.0,15845784.0,269.3066711425781
2000-11-01,4,435207.71875,30.339555740356445,435177.375,0.0,0.0,2363.573486328125,0.0,2363.573486328125,277.47625732421875
2000-11-01,5,1769586816.0,733.4599609375,1769586176.0,387431.71875,156618912.0,9617320.0,0.0,9617320.0,269.44183349609375
2000-11-01,6,1865552.75,16.13532066345215,1865536.625,0.0,0.0,10138.8310546875,0.0,10138.8310546875,276.8616027832031
2000-12-01,1,3180563968.0,226.40464782714844,3180563712.0,66178.828125,21589064.0,17285674.0,0.0,17285674.0,272.0647277832031
2000-12-01,2,5851117.5,58.10170364379883,5851059.5,0.0,0.0,31797.640625,0.0,31797.640625,278.2066345214844
2000-12-01,3,2902916096.0,159.03318786621094,2902916096.0,832933.25,285763904.0,15776718.0,0.0,15776718.0,268.67852783203125
2000-12-01,4,445738.9375,38.269859313964844,445700.6875,0.0,0.0,2420.811279296875,0.0,2420.811279296875,276.5897216796875
2000-12-01,5,1753250560.0,1008.678466796875,1753249536.0,362834.875,167504480.0,9528535.0,0.0,9528535.0,268.8714599609375
2000-12-01,6,1869659.25,23.04037857055664,1869636.125,0.0,0.0,10161.150390625,0.0,10161.150390625,275.97119140625
2001-01-01,1,3171518720.0,279.27740478515625,3171518208.0,65719.5078125,23632576.0,17236514.0,0.0,17236514.0,271.45703125
2001-01-01,2,6075035.0,67.41394805908203,6074967.5,0.0,0.0,33014.5859375,0.0,33014.5859375,277.3572692871094
