CONBPRES,WELL,CONIPOS,CONKPOS,WELLMODEL,SGAS,CONJPOS,DRAWDOWN,DATE,PRESSURE,SWAT,DEPTH,CONIDX
300.82379150390625,R_A2,22,1,STANDARD,0.0,30,0,2018-01-01,300.82379150390625,0.17711175978183746,1641.52490234375,1
300.94134521484375,R_A2,22,2,STANDARD,0.0,30,0,2018-01-01,300.94134521484375,0.09385897219181061,1643.2781982421875,2
301.0589294433594,R_A2,22,3,STANDARD,0.0,30,0,2018-01-01,301.0589294433594,0.05936257541179657,1645.031494140625,3
301.1764831542969,R_A2,22,4,STANDARD,0.0,30,0,2018-01-01,301.1764831542969,0.06350331753492355,1646.78466796875,4
301.2940673828125,R_A2,22,5,STANDARD,0.0,30,0,2018-01-01,301.2940673828125,0.06553933769464493,1648.537841796875,5
301.4116516113281,R_A2,22,6,STANDARD,0.0,30,0,2018-01-01,301.4116516113281,0.2962017357349396,1650.2911376953125,6
301.52923583984375,R_A2,22,7,STANDARD,0.0,30,0,2018-01-01,301.52923583984375,0.8796254396438599,1652.04443359375,7
301.6468200683594,R_A2,22,8,STANDARD,0.0,30,0,2018-01-01,301.6468200683594,0.859518826007843,1653.797607421875,8
301.764404296875,R_A2,22,9,STANDARD,0.0,30,0,2018-01-01,301.764404296875,0.11138476431369781,1655.55078125,9
301.8819885253906,R_A2,22,10,STANDARD,0.0,30,0,2018-01-01,301.8819885253906,0.20004524290561676,1657.3040771484375,10
302.0061950683594,R_A2,22,11,STANDARD,0.0,30,0,2018-01-01,302.0061950683594,0.06885266304016113,1659.1558837890625,11
302.13702392578125,R_A2,22,12,STANDARD,0.0,30,0,2018-01-01,302.13702392578125,0.284218966960907,1661.106201171875,12
302.267822265625,R_A2,22,13,STANDARD,0.0,30,0,2018-01-01,302.267822265625,0.43065857887268066,1663.056396484375,13
302.3986511230469,R_A2,22,14,STANDARD,0.0,30,0,2018-01-01,302.3986511230469,0.46843114495277405,1665.0067138671875,14
302.52947998046875,R_A2,22,15,STANDARD,0.0,30,0,2018-01-01,302.52947998046875,0.6349292993545532,1666.95703125,15
302.6603088378906,R_A2,22,16,STANDARD,0.0,30,0,2018-01-01,302.6603088378906,0.9141029119491577,1668.9072265625,16
302.7570495605469,R_A2,22,16,STANDARD,0.0,29,0,2018-01-01,302.7570495605469,0.9395323991775513,1670.3492431640625,17
302.89483642578125,R_A2,22,17,STANDARD,0.0,29,0,2018-01-01,302.89483642578125,0.8977566957473755,1672.403076171875,18
303.0271911621094,R_A2,22,18,STANDARD,0.0,29,0,2018-01-01,303.0271911621094,0.957030177116394,1674.3758544921875,19
303.1015930175781,R_A2,22,19,STANDARD,0.0,29,0,2018-01-01,303.1015930175781,0.9600340723991394,1675.4847412109375,20
303.1720275878906,R_A2,22,29,STANDARD,0.0,29,0,2018-01-01,303.1720275878906,1.0,1676.534423828125,21
303.291015625,R_A2,22,30,STANDARD,0.0,29,0,2018-01-01,303.291015625,1.0,1678.307861328125,22
303.4100036621094,R_A2,22,31,STANDARD,0.0,29,0,2018-01-01,303.4100036621094,1.0,1680.081298828125,23
303.84930419921875,R_A2,22,32,STANDARD,0.0,29,0,2018-01-01,303.84930419921875,1.0,1681.8546142578125,24
304.017333984375,R_A2,22,33,STANDARD,0.0,29,0,2018-01-01,304.017333984375,1.0,1683.6280517578125,25
298.70025634765625,R_A3,28,1,STANDARD,0.0,41,0,2018-01-01,298.70025634765625,0.13105177879333496,1609.8482666015625,1
298.84124755859375,R_A3,28,2,STANDARD,0.0,41,0,2018-01-01,298.84124755859375,0.11823459714651108,1611.9515380859375,2
298.9822082519531,R_A3,28,3,STANDARD,0.0,41,0,2018-01-01,298.9822082519531,0.1212867870926857,1614.054931640625,3
299.1231689453125,R_A3,28,4,STANDARD,0.0,41,0,2018-01-01,299.1231689453125,0.14178365468978882,1616.158203125,4
299.26416015625,R_A3,28,5,STANDARD,0.0,41,0,2018-01-01,299.26416015625,0.2105962038040161,1618.261474609375,5
298.54876708984375,R_A3,29,5,STANDARD,0.0,41,0,2018-01-01,298.54876708984375,0.6766049265861511,1607.587646484375,6
298.6844482421875,R_A3,29,6,STANDARD,0.0,41,0,2018-01-01,298.6844482421875,0.6481541991233826,1609.6123046875,7
298.8201599121094,R_A3,29,7,STANDARD,0.0,41,0,2018-01-01,298.8201599121094,0.19386543333530426,1611.636962890625,8
298.9558410644531,R_A3,29,8,STANDARD,0.0,41,0,2018-01-01,298.9558410644531,0.28156498074531555,1613.66162109375,9
299.091552734375,R_A3,29,9,STANDARD,0.0,41,0,2018-01-01,299.091552734375,0.7971567511558533,1615.686279296875,10
299.2272644042969,R_A3,29,10,STANDARD,0.0,41,0,2018-01-01,299.2272644042969,0.7929263114929199,1617.7110595703125,11
299.37158203125,R_A3,29,11,STANDARD,0.0,41,0,2018-01-01,299.37158203125,0.04663711413741112,1619.864013671875,12
299.5245056152344,R_A3,29,12,STANDARD,0.0,41,0,2018-01-01,299.5245056152344,0.05214819312095642,1622.145263671875,13
299.67742919921875,R_A3,29,13,STANDARD,0.0,41,0,2018-01-01,299.67742919921875,0.36162444949150085,1624.426513671875,14
299.8303527832031,R_A3,29,14,STANDARD,0.0,41,0,2018-01-01,299.8303527832031,0.38732099533081055,1626.7078857421875,15
299.9832763671875,R_A3,29,15,STANDARD,0.0,41,0,2018-01-01,299.9832763671875,0.49703505635261536,1628.9891357421875,16
300.11761474609375,R_A3,29,16,STANDARD,0.0,41,0,2018-01-01,300.11761474609375,0.8045365810394287,1630.992919921875,17
300.30035400390625,R_A3,29,29,STANDARD,0.0,41,0,2018-01-01,300.30035400390625,1.0,1633.718505859375,18
300.5458068847656,R_A3,29,30,STANDARD,0.0,41,0,2018-01-01,300.5458068847656,0.07643764466047287,1637.3795166015625,19
300.7912902832031,R_A3,29,31,STANDARD,0.0,41,0,2018-01-01,300.7912902832031,0.0774049386382103,1641.04052734375,20
301.0367736816406,R_A3,29,32,STANDARD,0.0,41,0,2018-01-01,301.0367736816406,1.0,1644.701416015625,21
301.28228759765625,R_A3,29,33,STANDARD,0.0,41,0,2018-01-01,301.28228759765625,0.18130268156528473,1648.3623046875,22
299.82135009765625,R_A4,30,1,STANDARD,0.0,52,0,2018-01-01,299.82135009765625,0.04837224632501602,1626.57373046875,1
299.6842956542969,R_A4,31,1,STANDARD,0.0,52,0,2018-01-01,299.6842956542969,0.04688529297709465,1624.529296875,2
299.82196044921875,R_A4,31,2,STANDARD,0.0,52,0,2018-01-01,299.82196044921875,0.049604762345552444,1626.582763671875,3
299.9596252441406,R_A4,31,3,STANDARD,0.0,52,0,2018-01-01,299.9596252441406,0.0489615797996521,1628.6363525390625,4
300.0973205566406,R_A4,31,4,STANDARD,0.0,52,0,2018-01-01,300.0973205566406,0.05032655969262123,1630.68994140625,5
300.2349853515625,R_A4,31,5,STANDARD,0.0,52,0,2018-01-01,300.2349853515625,0.05325794965028763,1632.7435302734375,6
300.2396240234375,R_A4,32,5,STANDARD,0.0,52,0,2018-01-01,300.2396240234375,0.053423572331666946,1632.8128662109375,7
300.3638000488281,R_A4,32,6,STANDARD,0.0,52,0,2018-01-01,300.3638000488281,0.16001206636428833,1634.66455078125,8
300.39739990234375,R_A4,32,6,STANDARD,0.0,51,0,2018-01-01,300.39739990234375,0.12389885634183884,1635.166015625,9
300.27789306640625,R_A4,32,5,STANDARD,0.0,51,0,2018-01-01,300.27789306640625,0.052871450781822205,1633.3836669921875,10
300.5431213378906,R_A4,33,5,STANDARD,0.0,51,0,2018-01-01,300.5431213378906,0.05776553228497505,1637.33935546875,11
300.42291259765625,R_A4,33,4,STANDARD,0.0,51,0,2018-01-01,300.42291259765625,0.19836153090000153,1635.54638671875,12
300.7909240722656,R_A4,33,5,STANDARD,0.0,50,0,2018-01-01,300.7909240722656,0.060140740126371384,1641.0350341796875,13
300.7925720214844,R_A4,34,5,STANDARD,0.0,50,0,2018-01-01,300.7925720214844,0.06197310984134674,1641.059326171875,14
300.6659240722656,R_A4,34,4,STANDARD,0.0,50,0,2018-01-01,300.6659240722656,0.6481541991233826,1639.1708984375,15
300.6763610839844,R_A4,35,4,STANDARD,0.0,50,0,2018-01-01,300.6763610839844,0.24095727503299713,1639.3262939453125,16
301.029541015625,R_A4,35,4,STANDARD,0.0,49,0,2018-01-01,301.029541015625,0.1378742754459381,1644.5931396484375,17
300.9081726074219,R_A4,35,3,STANDARD,0.0,49,0,2018-01-01,300.9081726074219,0.22710296511650085,1642.783447265625,18
301.08660888671875,R_A4,36,33,STANDARD,0.0,49,0,2018-01-01,301.08660888671875,0.1093132495880127,1645.444580078125,19
300.67626953125,R_A4,36,32,STANDARD,0.0,49,0,2018-01-01,300.67626953125,0.6481541991233826,1639.3251953125,20
300.67877197265625,R_A4,36,32,STANDARD,0.0,48,0,2018-01-01,300.67877197265625,0.2402936965227127,1639.3621826171875,21
301.3039855957031,R_A4,37,32,STANDARD,0.0,48,0,2018-01-01,301.3039855957031,0.7099546790122986,1648.68603515625,22
300.9229736328125,R_A4,37,31,STANDARD,0.0,48,0,2018-01-01,300.9229736328125,1.0,1643.0042724609375,23
301.61529541015625,R_A4,38,31,STANDARD,0.0,48,0,2018-01-01,301.61529541015625,1.0,1653.3277587890625,24
301.2239685058594,R_A4,38,30,STANDARD,0.0,48,0,2018-01-01,301.2239685058594,0.19991669058799744,1647.492431640625,25
301.6485290527344,R_A4,38,30,STANDARD,0.0,47,0,2018-01-01,301.6485290527344,0.09300822764635086,1653.8231201171875,26
303.91156005859375,R_A5,31,1,STANDARD,0.0,20,0,2018-01-01,303.91156005859375,1.0,1685.738525390625,1
304.1158447265625,R_A5,31,2,STANDARD,0.0,20,0,2018-01-01,304.1158447265625,1.0,1687.8944091796875,2
304.3201599121094,R_A5,31,3,STANDARD,0.0,20,0,2018-01-01,304.3201599121094,1.0,1690.05029296875,3
304.5244445800781,R_A5,31,4,STANDARD,0.0,20,0,2018-01-01,304.5244445800781,1.0,1692.2060546875,4
304.728759765625,R_A5,31,5,STANDARD,0.0,20,0,2018-01-01,304.728759765625,1.0,1694.3619384765625,5
304.93304443359375,R_A5,31,6,STANDARD,0.0,20,0,2018-01-01,304.93304443359375,1.0,1696.5177001953125,6
305.4431457519531,R_A5,31,7,STANDARD,0.0,20,0,2018-01-01,305.4431457519531,1.0,1698.673583984375,7
304.46197509765625,R_A5,31,8,STANDARD,0.0,21,0,2018-01-01,304.46197509765625,1.0,1691.5467529296875,8
305.1308898925781,R_A5,31,11,STANDARD,0.0,21,0,2018-01-01,305.1308898925781,1.0,1698.6041259765625,9
305.3218078613281,R_A5,31,12,STANDARD,0.0,21,0,2018-01-01,305.3218078613281,1.0,1700.61865234375,10
305.524658203125,R_A5,31,13,STANDARD,0.0,21,0,2018-01-01,305.524658203125,1.0,1702.633056640625,11
305.715576171875,R_A5,31,14,STANDARD,0.0,21,0,2018-01-01,305.715576171875,1.0,1704.6475830078125,12
305.906494140625,R_A5,31,15,STANDARD,0.0,21,0,2018-01-01,305.906494140625,1.0,1706.6619873046875,13
306.242431640625,R_A5,31,16,STANDARD,0.0,21,0,2018-01-01,306.242431640625,1.0,1708.676513671875,14
306.433349609375,R_A5,31,17,STANDARD,0.0,21,0,2018-01-01,306.433349609375,1.0,1710.69091796875,15
306.6134948730469,R_A5,31,18,STANDARD,0.0,21,0,2018-01-01,306.6134948730469,1.0,1712.5919189453125,16
306.728515625,R_A5,31,19,STANDARD,0.0,21,0,2018-01-01,306.728515625,1.0,1713.8056640625,17
306.78192138671875,R_A5,31,20,STANDARD,0.0,21,0,2018-01-01,306.78192138671875,1.0,1714.3692626953125,18
306.7611999511719,R_A5,31,29,STANDARD,0.0,21,0,2018-01-01,306.7611999511719,1.0,1715.807861328125,19
306.98773193359375,R_A5,31,30,STANDARD,0.0,21,0,2018-01-01,306.98773193359375,1.0,1718.1982421875,20
307.52008056640625,R_A5,31,31,STANDARD,0.0,21,0,2018-01-01,307.52008056640625,1.0,1720.588623046875,21
307.7466125488281,R_A5,31,32,STANDARD,0.0,21,0,2018-01-01,307.7466125488281,1.0,1722.97900390625,22
307.9731750488281,R_A5,31,33,STANDARD,0.0,21,0,2018-01-01,307.9731750488281,1.0,1725.3692626953125,23
305.1656494140625,R_A6,17,1,STANDARD,0.0,42,0,2018-01-01,305.1656494140625,1.0,1695.74560546875,1
305.3133544921875,R_A6,17,2,STANDARD,0.0,42,0,2018-01-01,305.3133544921875,1.0,1697.3040771484375,2
305.4610595703125,R_A6,17,3,STANDARD,0.0,42,0,2018-01-01,305.4610595703125,1.0,1698.8626708984375,3
305.6087646484375,R_A6,17,4,STANDARD,0.0,42,0,2018-01-01,305.6087646484375,1.0,1700.42138671875,4
305.7564697265625,R_A6,17,5,STANDARD,0.0,42,0,2018-01-01,305.7564697265625,1.0,1701.9798583984375,5
305.6051330566406,R_A6,17,6,STANDARD,0.0,42,0,2018-01-01,305.6051330566406,1.0,1703.5384521484375,6
305.7528381347656,R_A6,17,7,STANDARD,0.0,42,0,2018-01-01,305.7528381347656,1.0,1705.096923828125,7
306.1995849609375,R_A6,17,8,STANDARD,0.0,42,0,2018-01-01,306.1995849609375,1.0,1706.655517578125,8
306.3472900390625,R_A6,17,9,STANDARD,0.0,42,0,2018-01-01,306.3472900390625,1.0,1708.214111328125,9
306.189208984375,R_A6,17,10,STANDARD,0.0,42,0,2018-01-01,306.189208984375,1.0,1709.772705078125,10
306.36822509765625,R_A6,17,11,STANDARD,0.0,42,0,2018-01-01,306.36822509765625,1.0,1711.66015625,11
306.5782775878906,R_A6,17,12,STANDARD,0.0,42,0,2018-01-01,306.5782775878906,1.0,1713.8765869140625,12
306.80029296875,R_A6,17,13,STANDARD,0.0,42,0,2018-01-01,306.80029296875,1.0,1716.093017578125,13
307.0103454589844,R_A6,17,14,STANDARD,0.0,42,0,2018-01-01,307.0103454589844,1.0,1718.3094482421875,14
307.2204284667969,R_A6,17,15,STANDARD,0.0,42,0,2018-01-01,307.2204284667969,1.0,1720.52587890625,15
307.57550048828125,R_A6,17,16,STANDARD,0.0,42,0,2018-01-01,307.57550048828125,1.0,1722.7421875,16
307.7855529785156,R_A6,17,17,STANDARD,0.0,42,0,2018-01-01,307.7855529785156,1.0,1724.958740234375,17
307.9643249511719,R_A6,17,18,STANDARD,0.0,42,0,2018-01-01,307.9643249511719,1.0,1726.8447265625,18
307.9632568359375,R_A6,17,29,STANDARD,0.0,42,0,2018-01-01,307.9632568359375,1.0,1728.4910888671875,19
308.1278991699219,R_A6,17,30,STANDARD,0.0,42,0,2018-01-01,308.1278991699219,1.0,1730.2281494140625,20
308.59832763671875,R_A6,17,31,STANDARD,0.0,42,0,2018-01-01,308.59832763671875,1.0,1731.96533203125,21
308.7629699707031,R_A6,17,32,STANDARD,0.0,42,0,2018-01-01,308.7629699707031,1.0,1733.702392578125,22
308.621826171875,R_A6,17,33,STANDARD,0.0,42,0,2018-01-01,308.621826171875,1.0,1735.439453125,23
298.5353698730469,R_A2,22,1,STANDARD,0.0,30,0,2018-03-01,298.5353698730469,0.17718222737312317,1641.52490234375,1
298.65289306640625,R_A2,22,2,STANDARD,0.0,30,0,2018-03-01,298.65289306640625,0.09391859918832779,1643.2781982421875,2
298.7704772949219,R_A2,22,3,STANDARD,0.0,30,0,2018-03-01,298.7704772949219,0.05938955396413803,1645.031494140625,3
298.8880310058594,R_A2,22,4,STANDARD,0.0,30,0,2018-03-01,298.8880310058594,0.0635901540517807,1646.78466796875,4
299.00555419921875,R_A2,22,5,STANDARD,0.0,30,0,2018-03-01,299.00555419921875,0.06568267196416855,1648.537841796875,5
299.1293029785156,R_A2,22,6,STANDARD,0.0,30,0,2018-03-01,299.1293029785156,0.29847556352615356,1650.2911376953125,6
299.3795471191406,R_A2,22,7,STANDARD,0.0,30,0,2018-03-01,299.3795471191406,0.8795461654663086,1652.04443359375,7
299.72021484375,R_A2,22,8,STANDARD,0.0,30,0,2018-03-01,299.72021484375,0.8524219393730164,1653.797607421875,8
299.8882141113281,R_A2,22,9,STANDARD,0.0,30,0,2018-03-01,299.8882141113281,0.11142326891422272,1655.55078125,9
300.0060119628906,R_A2,22,10,STANDARD,0.0,30,0,2018-03-01,300.0060119628906,0.20010903477668762,1657.3040771484375,10
300.13330078125,R_A2,22,11,STANDARD,0.0,30,0,2018-03-01,300.13330078125,0.06887778639793396,1659.1558837890625,11
300.3075256347656,R_A2,22,12,STANDARD,0.0,30,0,2018-03-01,300.3075256347656,0.28435656428337097,1661.106201171875,12
