WELLMODEL,SWAT,PRESSURE,DEPTH,CONBPRES,DRAWDOWN,SGAS,CONIDX,CONIPOS,CONKPOS,CONJPOS,DATE,WELL
STANDARD,0.14815324544906616,300.6723937988281,1641.0977783203125,300.6723937988281,0,0.0,1,22,1,30,2018-01-01,R_A2
STANDARD,0.05815168842673302,300.7912292480469,1642.869873046875,300.7912292480469,0,0.0,2,22,2,30,2018-01-01,R_A2
STANDARD,0.06237568333745003,300.9100341796875,1644.64208984375,300.9100341796875,0,0.0,3,22,3,30,2018-01-01,R_A2
STANDARD,0.06677735596895218,301.0289001464844,1646.414306640625,301.0289001464844,0,0.0,4,22,4,30,2018-01-01,R_A2
STANDARD,0.07112526148557663,301.1477355957031,1648.1864013671875,301.1477355957031,0,0.0,5,22,5,30,2018-01-01,R_A2
STANDARD,0.16659638285636902,301.2665710449219,1649.9586181640625,301.2665710449219,0,0.0,6,22,6,30,2018-01-01,R_A2
STANDARD,0.8951157927513123,301.3854064941406,1651.730712890625,301.3854064941406,0,0.0,7,22,7,30,2018-01-01,R_A2
STANDARD,0.874505877494812,301.5042724609375,1653.5029296875,301.5042724609375,0,0.0,8,22,8,30,2018-01-01,R_A2
STANDARD,0.8925383687019348,301.62310791015625,1655.2750244140625,301.62310791015625,0,0.0,9,22,9,30,2018-01-01,R_A2
STANDARD,0.9103150367736816,301.7419738769531,1657.0472412109375,301.7419738769531,0,0.0,10,22,10,30,2018-01-01,R_A2
STANDARD,0.07596368342638016,301.86505126953125,1658.882080078125,301.86505126953125,0,0.0,11,22,11,30,2018-01-01,R_A2
STANDARD,0.0778202936053276,301.9923095703125,1660.7796630859375,301.9923095703125,0,0.0,12,22,12,30,2018-01-01,R_A2
STANDARD,0.46543821692466736,302.1195983886719,1662.67724609375,302.1195983886719,0,0.0,13,22,13,30,2018-01-01,R_A2
STANDARD,0.5037174224853516,302.24688720703125,1664.5748291015625,302.24688720703125,0,0.0,14,22,14,30,2018-01-01,R_A2
STANDARD,0.5354490280151367,302.3741760253906,1666.472412109375,302.3741760253906,0,0.0,15,22,15,30,2018-01-01,R_A2
STANDARD,0.6775999069213867,302.28460693359375,1665.13720703125,302.28460693359375,0,0.0,16,22,15,29,2018-01-01,R_A2
STANDARD,0.9624307155609131,302.4205627441406,1667.1639404296875,302.4205627441406,0,0.0,17,22,16,29,2018-01-01,R_A2
STANDARD,0.9584898948669434,302.5565185546875,1669.1907958984375,302.5565185546875,0,0.0,18,22,17,29,2018-01-01,R_A2
STANDARD,0.9532076120376587,302.6925048828125,1671.2176513671875,302.6925048828125,0,0.0,19,22,18,29,2018-01-01,R_A2
STANDARD,0.9909812808036804,302.7967224121094,1672.7711181640625,302.7967224121094,0,0.0,20,22,19,29,2018-01-01,R_A2
STANDARD,1.0,302.8941650390625,1674.2237548828125,302.8941650390625,0,0.0,21,22,25,29,2018-01-01,R_A2
STANDARD,0.6481541991233826,303.01666259765625,1676.04931640625,303.01666259765625,0,0.0,22,22,26,29,2018-01-01,R_A2
STANDARD,1.0,303.47216796875,1677.874755859375,303.47216796875,0,0.0,23,22,27,29,2018-01-01,R_A2
STANDARD,1.0,303.6451416015625,1679.7003173828125,303.6451416015625,0,0.0,24,22,28,29,2018-01-01,R_A2
STANDARD,1.0,303.818115234375,1681.5257568359375,303.818115234375,0,0.0,25,22,29,29,2018-01-01,R_A2
STANDARD,0.6481541991233826,298.6468505859375,1610.8818359375,298.6468505859375,0,0.0,1,28,1,41,2018-01-01,R_A3
STANDARD,0.20005355775356293,298.7857666015625,1612.9544677734375,298.7857666015625,0,0.0,2,28,2,41,2018-01-01,R_A3
STANDARD,0.19999422132968903,298.9246826171875,1615.027099609375,298.9246826171875,0,0.0,3,28,3,41,2018-01-01,R_A3
STANDARD,0.19062872231006622,298.04779052734375,1601.9423828125,298.04779052734375,0,0.0,4,29,3,41,2018-01-01,R_A3
STANDARD,0.6481541991233826,298.1870422363281,1604.0206298828125,298.1870422363281,0,0.0,5,29,4,41,2018-01-01,R_A3
STANDARD,0.8136279582977295,298.3263244628906,1606.0989990234375,298.3263244628906,0,0.0,6,29,5,41,2018-01-01,R_A3
STANDARD,0.18326793611049652,298.4656066894531,1608.17724609375,298.4656066894531,0,0.0,7,29,6,41,2018-01-01,R_A3
STANDARD,0.19654640555381775,298.6048889160156,1610.255615234375,298.6048889160156,0,0.0,8,29,7,41,2018-01-01,R_A3
STANDARD,0.19886605441570282,298.7441711425781,1612.3338623046875,298.7441711425781,0,0.0,9,29,8,41,2018-01-01,R_A3
STANDARD,0.8001570701599121,298.8834533691406,1614.4122314453125,298.8834533691406,0,0.0,10,29,9,41,2018-01-01,R_A3
STANDARD,0.8057949542999268,299.0227355957031,1616.490478515625,299.0227355957031,0,0.0,11,29,10,41,2018-01-01,R_A3
STANDARD,0.04757735878229141,299.16455078125,1618.606201171875,299.16455078125,0,0.0,12,29,11,41,2018-01-01,R_A3
STANDARD,0.051268819719552994,299.3088684082031,1620.75927734375,299.3088684082031,0,0.0,13,29,12,41,2018-01-01,R_A3
STANDARD,0.2432871311903,299.45318603515625,1622.9122314453125,299.45318603515625,0,0.0,14,29,13,41,2018-01-01,R_A3
STANDARD,0.37736979126930237,299.5975036621094,1625.0653076171875,299.5975036621094,0,0.0,15,29,14,41,2018-01-01,R_A3
STANDARD,0.3562055826187134,299.7418518066406,1627.2183837890625,299.7418518066406,0,0.0,16,29,15,41,2018-01-01,R_A3
STANDARD,0.7941848635673523,299.87841796875,1629.2554931640625,299.87841796875,0,0.0,17,29,16,41,2018-01-01,R_A3
STANDARD,0.8031830787658691,299.97344970703125,1630.6728515625,299.97344970703125,0,0.0,18,29,17,41,2018-01-01,R_A3
STANDARD,0.25222882628440857,300.1336669921875,1633.0631103515625,300.1336669921875,0,0.0,19,29,25,41,2018-01-01,R_A3
STANDARD,0.04504779353737831,300.3929138183594,1636.9296875,300.3929138183594,0,0.0,20,29,26,41,2018-01-01,R_A3
STANDARD,0.04965001717209816,300.6521911621094,1640.79638671875,300.6521911621094,0,0.0,21,29,27,41,2018-01-01,R_A3
STANDARD,0.6481541991233826,300.9114685058594,1644.6630859375,300.9114685058594,0,0.0,22,29,28,41,2018-01-01,R_A3
STANDARD,0.06504419445991516,301.1707458496094,1648.5296630859375,301.1707458496094,0,0.0,23,29,29,41,2018-01-01,R_A3
