CONIDX,WELLMODEL,DEPTH,CONKPOS,PRESSURE,CONBPRES,CONIPOS,DATE,SGAS,DRAWDOWN,WELL,SWAT,CONJPOS
1,STANDARD,1641.094970703125,1,300.6517333984375,300.6517333984375,22,2018-01-01,0.0,0,R_A2,0.0581846758723259,30
2,STANDARD,1642.8890380859375,2,300.77203369140625,300.77203369140625,22,2018-01-01,0.0,0,R_A2,0.059154536575078964,30
3,STANDARD,1644.68310546875,3,300.892333984375,300.892333984375,22,2018-01-01,0.0,0,R_A2,0.06185805797576904,30
4,STANDARD,1646.4771728515625,4,301.01263427734375,301.01263427734375,22,2018-01-01,0.0,0,R_A2,0.06713756918907166,30
5,STANDARD,1648.2713623046875,5,301.1329650878906,301.1329650878906,22,2018-01-01,0.0,0,R_A2,0.06960871070623398,30
6,STANDARD,1650.0654296875,6,301.2532653808594,301.2532653808594,22,2018-01-01,0.0,0,R_A2,0.31387194991111755,30
7,STANDARD,1651.859619140625,7,301.37359619140625,301.37359619140625,22,2018-01-01,0.0,0,R_A2,0.9015752673149109,30
8,STANDARD,1653.6536865234375,8,301.493896484375,301.493896484375,22,2018-01-01,0.0,0,R_A2,0.8656898140907288,30
9,STANDARD,1655.44775390625,9,301.6142272949219,301.6142272949219,22,2018-01-01,0.0,0,R_A2,0.9150731563568115,30
10,STANDARD,1657.2418212890625,10,301.73455810546875,301.73455810546875,22,2018-01-01,0.0,0,R_A2,0.9131496548652649,30
11,STANDARD,1659.1368408203125,11,301.8616638183594,301.8616638183594,22,2018-01-01,0.0,0,R_A2,0.07765180617570877,30
12,STANDARD,1661.132568359375,12,301.9955139160156,301.9955139160156,22,2018-01-01,0.0,0,R_A2,0.08078394085168839,30
13,STANDARD,1663.12841796875,13,302.12939453125,302.12939453125,22,2018-01-01,0.0,0,R_A2,0.4549173414707184,30
14,STANDARD,1665.1241455078125,14,302.2632751464844,302.2632751464844,22,2018-01-01,0.0,0,R_A2,0.515950083732605,30
15,STANDARD,1667.1199951171875,15,302.39715576171875,302.39715576171875,22,2018-01-01,0.0,0,R_A2,0.6960189938545227,30
16,STANDARD,1669.11572265625,16,302.5310363769531,302.5310363769531,22,2018-01-01,0.0,0,R_A2,0.9768792390823364,30
17,STANDARD,1671.111572265625,17,302.6649169921875,302.6649169921875,22,2018-01-01,0.0,0,R_A2,0.9576356410980225,30
18,STANDARD,1672.9881591796875,18,302.7908020019531,302.7908020019531,22,2018-01-01,0.0,0,R_A2,0.9860662221908569,30
19,STANDARD,1674.229736328125,18,302.8741149902344,302.8741149902344,22,2018-01-01,0.0,0,R_A2,0.9989492297172546,29
20,STANDARD,1676.1676025390625,27,303.0041198730469,303.0041198730469,22,2018-01-01,0.0,0,R_A2,0.6481541991233826,29
21,STANDARD,1677.9368896484375,28,303.47802734375,303.47802734375,22,2018-01-01,0.0,0,R_A2,1.0,29
22,STANDARD,1679.7061767578125,29,303.64569091796875,303.64569091796875,22,2018-01-01,0.0,0,R_A2,1.0,29
23,STANDARD,1681.4754638671875,30,303.8133544921875,303.8133544921875,22,2018-01-01,0.0,0,R_A2,1.0,29
24,STANDARD,1683.2447509765625,31,303.98101806640625,303.98101806640625,22,2018-01-01,0.0,0,R_A2,1.0,29
1,STANDARD,1609.243408203125,1,298.5166015625,298.5166015625,28,2018-01-01,0.0,0,R_A3,0.6481541991233826,41
2,STANDARD,1611.3077392578125,2,298.6549377441406,298.6549377441406,28,2018-01-01,0.0,0,R_A3,0.19875429570674896,41
3,STANDARD,1613.3720703125,3,298.7933044433594,298.7933044433594,28,2018-01-01,0.0,0,R_A3,0.19443026185035706,41
4,STANDARD,1615.4365234375,4,298.931640625,298.931640625,28,2018-01-01,0.0,0,R_A3,0.25620919466018677,41
5,STANDARD,1617.5008544921875,5,299.07000732421875,299.07000732421875,28,2018-01-01,0.0,0,R_A3,0.8297170400619507,41
6,STANDARD,1619.565185546875,6,299.2083740234375,299.2083740234375,28,2018-01-01,0.0,0,R_A3,0.6481541991233826,41
7,STANDARD,1609.3663330078125,6,298.52484130859375,298.52484130859375,29,2018-01-01,0.0,0,R_A3,0.6481541991233826,41
8,STANDARD,1611.4163818359375,7,298.6622314453125,298.6622314453125,29,2018-01-01,0.0,0,R_A3,0.19912010431289673,41
