SWAT,DEPTH,CONIPOS,WELL,WELLMODEL,CONBPRES,CONKPOS,PRESSURE,CONJPOS,SGAS,DRAWDOWN,CONIDX,DATE
0.05420719087123871,1641.55029296875,22,R_A2,STANDARD,300.8185729980469,1,300.8185729980469,30,0.0,0,1,2018-01-01
0.05604463443160057,1643.3123779296875,22,R_A2,STANDARD,300.9367370605469,2,300.9367370605469,30,0.0,0,2,2018-01-01
0.059876494109630585,1645.0743408203125,22,R_A2,STANDARD,301.05487060546875,3,301.05487060546875,30,0.0,0,3,2018-01-01
0.0650252029299736,1646.83642578125,22,R_A2,STANDARD,301.17303466796875,4,301.17303466796875,30,0.0,0,4,2018-01-01
0.06812433153390884,1648.5985107421875,22,R_A2,STANDARD,301.29119873046875,5,301.29119873046875,30,0.0,0,5,2018-01-01
0.32492029666900635,1650.360595703125,22,R_A2,STANDARD,301.4093933105469,6,301.4093933105469,30,0.0,0,6,2018-01-01
0.8822818994522095,1652.12255859375,22,R_A2,STANDARD,301.5275573730469,7,301.5275573730469,30,0.0,0,7,2018-01-01
0.8688676357269287,1653.8846435546875,22,R_A2,STANDARD,301.6457214355469,8,301.6457214355469,30,0.0,0,8,2018-01-01
0.8761212229728699,1655.6466064453125,22,R_A2,STANDARD,301.763916015625,9,301.763916015625,30,0.0,0,9,2018-01-01
0.8874840140342712,1657.40869140625,22,R_A2,STANDARD,301.882080078125,10,301.882080078125,30,0.0,0,10,2018-01-01
0.07056429982185364,1659.29541015625,22,R_A2,STANDARD,302.0086364746094,11,302.0086364746094,30,0.0,0,11,2018-01-01
0.43264535069465637,1663.3179931640625,22,R_A2,STANDARD,302.2784729003906,13,302.2784729003906,30,0.0,0,12,2018-01-01
0.47257646918296814,1665.329345703125,22,R_A2,STANDARD,302.41339111328125,14,302.41339111328125,30,0.0,0,13,2018-01-01
0.6408872604370117,1667.3406982421875,22,R_A2,STANDARD,302.5483093261719,15,302.5483093261719,30,0.0,0,14,2018-01-01
0.927483856678009,1669.35205078125,22,R_A2,STANDARD,302.6832580566406,16,302.6832580566406,30,0.0,0,15,2018-01-01
0.8943238258361816,1671.3634033203125,22,R_A2,STANDARD,302.81817626953125,17,302.81817626953125,30,0.0,0,16,2018-01-01
0.9372824430465698,1673.2408447265625,22,R_A2,STANDARD,302.9441223144531,18,302.9441223144531,30,0.0,0,17,2018-01-01
0.9179368615150452,1674.2813720703125,22,R_A2,STANDARD,303.0139465332031,19,303.0139465332031,30,0.0,0,18,2018-01-01
