CONKPOS,PRESSURE,CONJPOS,DRAWDOWN,CONIPOS,DATE,WELLMODEL,CONIDX,SGAS,DEPTH,WELL,SWAT,CONBPRES
1,300.8044128417969,30,0,22,2018-01-01,STANDARD,1,0.0,1641.10009765625,R_A2,0.0521729476749897,300.8044128417969
2,300.9220275878906,30,0,22,2018-01-01,STANDARD,2,0.0,1642.85400390625,R_A2,0.05486913397908211,300.9220275878906
3,301.0396423339844,30,0,22,2018-01-01,STANDARD,3,0.0,1644.6080322265625,R_A2,0.05716559663414955,301.0396423339844
4,301.1572570800781,30,0,22,2018-01-01,STANDARD,4,0.0,1646.3619384765625,R_A2,0.06318977475166321,301.1572570800781
5,301.2748718261719,30,0,22,2018-01-01,STANDARD,5,0.0,1648.1158447265625,R_A2,0.06507612019777298,301.2748718261719
6,301.3924865722656,30,0,22,2018-01-01,STANDARD,6,0.0,1649.86962890625,R_A2,0.29853036999702454,301.3924865722656
7,301.5101318359375,30,0,22,2018-01-01,STANDARD,7,0.0,1651.62353515625,R_A2,0.8754196166992188,301.5101318359375
8,301.62774658203125,30,0,22,2018-01-01,STANDARD,8,0.0,1653.37744140625,R_A2,0.6481541991233826,301.62774658203125
9,301.7453918457031,30,0,22,2018-01-01,STANDARD,9,0.0,1655.1314697265625,R_A2,0.2547060549259186,301.7453918457031
10,301.863037109375,30,0,22,2018-01-01,STANDARD,10,0.0,1656.8853759765625,R_A2,0.8811907172203064,301.863037109375
11,301.9896240234375,30,0,22,2018-01-01,STANDARD,11,0.0,1658.77294921875,R_A2,0.06801262497901917,301.9896240234375
12,302.125244140625,30,0,22,2018-01-01,STANDARD,12,0.0,1660.79443359375,R_A2,0.06723222881555557,302.125244140625
13,302.2608337402344,30,0,22,2018-01-01,STANDARD,13,0.0,1662.81591796875,R_A2,0.4287970960140228,302.2608337402344
14,302.39642333984375,30,0,22,2018-01-01,STANDARD,14,0.0,1664.83740234375,R_A2,0.4641921818256378,302.39642333984375
15,302.53204345703125,30,0,22,2018-01-01,STANDARD,15,0.0,1666.85888671875,R_A2,0.9013524055480957,302.53204345703125
16,302.6676330566406,30,0,22,2018-01-01,STANDARD,16,0.0,1668.88037109375,R_A2,0.9159811735153198,302.6676330566406
17,302.8032531738281,30,0,22,2018-01-01,STANDARD,17,0.0,1670.90185546875,R_A2,0.8642741441726685,302.8032531738281
17,302.98095703125,29,0,22,2018-01-01,STANDARD,18,0.0,1673.55078125,R_A2,0.901401162147522,302.98095703125
18,303.10906982421875,29,0,22,2018-01-01,STANDARD,19,0.0,1675.4600830078125,R_A2,0.9678506851196289,303.10906982421875
24,303.24176025390625,29,0,22,2018-01-01,STANDARD,20,0.0,1677.4378662109375,R_A2,0.7871397137641907,303.24176025390625
25,303.3609313964844,29,0,22,2018-01-01,STANDARD,21,0.0,1679.2137451171875,R_A2,1.0,303.3609313964844
26,303.4800720214844,29,0,22,2018-01-01,STANDARD,22,0.0,1680.9896240234375,R_A2,1.0,303.4800720214844
27,303.93560791015625,29,0,22,2018-01-01,STANDARD,23,0.0,1682.765380859375,R_A2,1.0,303.93560791015625
28,304.1038818359375,29,0,22,2018-01-01,STANDARD,24,0.0,1684.541259765625,R_A2,1.0,304.1038818359375
1,298.62744140625,41,0,28,2018-01-01,STANDARD,1,0.0,1608.625732421875,R_A3,0.6481541991233826,298.62744140625
2,298.763427734375,41,0,28,2018-01-01,STANDARD,2,0.0,1610.6544189453125,R_A3,0.1468668282032013,298.763427734375
2,298.1297912597656,41,0,29,2018-01-01,STANDARD,3,0.0,1601.1995849609375,R_A3,0.182939812541008,298.1297912597656
3,298.2755432128906,41,0,29,2018-01-01,STANDARD,4,0.0,1603.3743896484375,R_A3,0.16360680758953094,298.2755432128906
4,298.4212646484375,41,0,29,2018-01-01,STANDARD,5,0.0,1605.5491943359375,R_A3,0.17259781062602997,298.4212646484375
5,298.5670166015625,41,0,29,2018-01-01,STANDARD,6,0.0,1607.7239990234375,R_A3,0.8064658045768738,298.5670166015625
6,298.7127685546875,41,0,29,2018-01-01,STANDARD,7,0.0,1609.8988037109375,R_A3,0.6481541991233826,298.7127685546875
7,298.8585205078125,41,0,29,2018-01-01,STANDARD,8,0.0,1612.0736083984375,R_A3,0.19151493906974792,298.8585205078125
8,299.0043029785156,41,0,29,2018-01-01,STANDARD,9,0.0,1614.2484130859375,R_A3,0.19583073258399963,299.0043029785156
9,299.1500549316406,41,0,29,2018-01-01,STANDARD,10,0.0,1616.4232177734375,R_A3,0.789418637752533,299.1500549316406
10,299.29583740234375,41,0,29,2018-01-01,STANDARD,11,0.0,1618.597900390625,R_A3,0.7948209643363953,299.29583740234375
11,299.4420166015625,41,0,29,2018-01-01,STANDARD,12,0.0,1620.779052734375,R_A3,0.04622752591967583,299.4420166015625
12,299.5886535644531,41,0,29,2018-01-01,STANDARD,13,0.0,1622.96630859375,R_A3,0.053085364401340485,299.5886535644531
13,299.7352600097656,41,0,29,2018-01-01,STANDARD,14,0.0,1625.153564453125,R_A3,0.3643224835395813,299.7352600097656
14,299.88189697265625,41,0,29,2018-01-01,STANDARD,15,0.0,1627.3408203125,R_A3,0.18130289018154144,299.88189697265625
15,300.0285339355469,41,0,29,2018-01-01,STANDARD,16,0.0,1629.528076171875,R_A3,0.34669172763824463,300.0285339355469
16,300.1692810058594,41,0,29,2018-01-01,STANDARD,17,0.0,1631.627197265625,R_A3,0.7986813187599182,300.1692810058594
17,300.248291015625,41,0,29,2018-01-01,STANDARD,18,0.0,1632.8057861328125,R_A3,0.7768639326095581,300.248291015625
24,300.38140869140625,41,0,29,2018-01-01,STANDARD,19,0.0,1634.791259765625,R_A3,0.17060084640979767,300.38140869140625
25,300.62445068359375,41,0,29,2018-01-01,STANDARD,20,0.0,1638.4161376953125,R_A3,0.044552385807037354,300.62445068359375
26,300.86749267578125,41,0,29,2018-01-01,STANDARD,21,0.0,1642.0408935546875,R_A3,0.047113895416259766,300.86749267578125
27,301.1105651855469,41,0,29,2018-01-01,STANDARD,22,0.0,1645.6656494140625,R_A3,0.17483532428741455,301.1105651855469
28,301.3536682128906,41,0,29,2018-01-01,STANDARD,23,0.0,1649.2904052734375,R_A3,0.060715049505233765,301.3536682128906
1,300.2568054199219,52,0,30,2018-01-01,STANDARD,1,0.0,1632.9327392578125,R_A4,0.04820999875664711,300.2568054199219
1,299.8760986328125,52,0,31,2018-01-01,STANDARD,2,0.0,1627.2542724609375,R_A4,0.10935851186513901,299.8760986328125
2,300.0156555175781,52,0,31,2018-01-01,STANDARD,3,0.0,1629.3359375,R_A4,0.04976343363523483,300.0156555175781
3,300.15521240234375,52,0,31,2018-01-01,STANDARD,4,0.0,1631.41748046875,R_A4,0.05176291987299919,300.15521240234375
4,300.2947692871094,52,0,31,2018-01-01,STANDARD,5,0.0,1633.4991455078125,R_A4,0.05225900188088417,300.2947692871094
4,300.1733703613281,52,0,32,2018-01-01,STANDARD,6,0.0,1631.688232421875,R_A4,0.05124254152178764,300.1733703613281
4,300.4383850097656,51,0,32,2018-01-01,STANDARD,7,0.0,1635.64111328125,R_A4,0.055078618228435516,300.4383850097656
4,300.47772216796875,51,0,33,2018-01-01,STANDARD,8,0.0,1636.227783203125,R_A4,0.05664244666695595,300.47772216796875
4,300.8204040527344,50,0,33,2018-01-01,STANDARD,9,0.0,1641.338623046875,R_A4,0.059669334441423416,300.8204040527344
4,300.6990966796875,50,0,34,2018-01-01,STANDARD,10,0.0,1639.529541015625,R_A4,0.07851584255695343,300.6990966796875
4,300.66241455078125,50,0,35,2018-01-01,STANDARD,11,0.0,1638.9822998046875,R_A4,0.07476665824651718,300.66241455078125
4,300.9981384277344,49,0,35,2018-01-01,STANDARD,12,0.0,1643.9888916015625,R_A4,0.07810881733894348,300.9981384277344
