CONJPOS,CONKPOS,SWAT,SGAS,WELL,CONIPOS,PRESSURE,CONBPRES,CONIDX,WELLMODEL,DEPTH,DRAWDOWN,DATE
30,1,0.05659883841872215,0.0,R_A2,22,300.6733093261719,300.6733093261719,1,STANDARD,1641.094970703125,0,2018-01-01
30,2,0.057897210121154785,0.0,R_A2,22,300.7936096191406,300.7936096191406,2,STANDARD,1642.8890380859375,0,2018-01-01
30,3,0.06060889735817909,0.0,R_A2,22,300.9139099121094,300.9139099121094,3,STANDARD,1644.68310546875,0,2018-01-01
30,4,0.06530755013227463,0.0,R_A2,22,301.0342102050781,301.0342102050781,4,STANDARD,1646.4771728515625,0,2018-01-01
30,5,0.06916967034339905,0.0,R_A2,22,301.1545104980469,301.1545104980469,5,STANDARD,1648.2713623046875,0,2018-01-01
30,6,0.3080350458621979,0.0,R_A2,22,301.27484130859375,301.27484130859375,6,STANDARD,1650.0654296875,0,2018-01-01
30,7,0.8966805338859558,0.0,R_A2,22,301.3951721191406,301.3951721191406,7,STANDARD,1651.859619140625,0,2018-01-01
30,8,0.8801488876342773,0.0,R_A2,22,301.5154724121094,301.5154724121094,8,STANDARD,1653.6536865234375,0,2018-01-01
30,9,0.9076734781265259,0.0,R_A2,22,301.63580322265625,301.63580322265625,9,STANDARD,1655.44775390625,0,2018-01-01
30,10,0.9077416062355042,0.0,R_A2,22,301.7561340332031,301.7561340332031,10,STANDARD,1657.2418212890625,0,2018-01-01
30,11,0.07622610777616501,0.0,R_A2,22,301.88323974609375,301.88323974609375,11,STANDARD,1659.1368408203125,0,2018-01-01
30,12,0.08180969953536987,0.0,R_A2,22,302.01708984375,302.01708984375,12,STANDARD,1661.132568359375,0,2018-01-01
30,13,0.4750072658061981,0.0,R_A2,22,302.1509704589844,302.1509704589844,13,STANDARD,1663.12841796875,0,2018-01-01
30,14,0.512985348701477,0.0,R_A2,22,302.28485107421875,302.28485107421875,14,STANDARD,1665.1241455078125,0,2018-01-01
30,15,0.679781973361969,0.0,R_A2,22,302.4187316894531,302.4187316894531,15,STANDARD,1667.1199951171875,0,2018-01-01
30,16,0.9705216884613037,0.0,R_A2,22,302.5526123046875,302.5526123046875,16,STANDARD,1669.11572265625,0,2018-01-01
30,17,0.9569120407104492,0.0,R_A2,22,302.6864929199219,302.6864929199219,17,STANDARD,1671.111572265625,0,2018-01-01
30,18,0.9819161295890808,0.0,R_A2,22,302.8123779296875,302.8123779296875,18,STANDARD,1672.9881591796875,0,2018-01-01
29,18,0.9946486949920654,0.0,R_A2,22,302.89569091796875,302.89569091796875,19,STANDARD,1674.229736328125,0,2018-01-01
29,27,1.0,0.0,R_A2,22,303.02569580078125,303.02569580078125,20,STANDARD,1676.1676025390625,0,2018-01-01
29,28,1.0,0.0,R_A2,22,303.47802734375,303.47802734375,21,STANDARD,1677.9368896484375,0,2018-01-01
29,29,1.0,0.0,R_A2,22,303.64569091796875,303.64569091796875,22,STANDARD,1679.7061767578125,0,2018-01-01
29,30,1.0,0.0,R_A2,22,303.8133544921875,303.8133544921875,23,STANDARD,1681.4754638671875,0,2018-01-01
29,31,1.0,0.0,R_A2,22,303.98101806640625,303.98101806640625,24,STANDARD,1683.2447509765625,0,2018-01-01
41,1,0.6481541991233826,0.0,R_A3,28,298.53814697265625,298.53814697265625,1,STANDARD,1609.243408203125,0,2018-01-01
41,2,0.1989089697599411,0.0,R_A3,28,298.676513671875,298.676513671875,2,STANDARD,1611.3077392578125,0,2018-01-01
41,3,0.19339895248413086,0.0,R_A3,28,298.8148498535156,298.8148498535156,3,STANDARD,1613.3720703125,0,2018-01-01
41,4,0.3768196403980255,0.0,R_A3,28,298.9532165527344,298.9532165527344,4,STANDARD,1615.4365234375,0,2018-01-01
