WELLMODEL,DEPTH,CONJPOS,DATE,CONIPOS,WELL,DRAWDOWN,PRESSURE,SWAT,SGAS,CONBPRES,CONIDX,CONKPOS
STANDARD,1641.094970703125,30,2018-01-01,22,R_A2,0,300.6733093261719,0.05760246515274048,0.0,300.6733093261719,1,1
STANDARD,1642.8890380859375,30,2018-01-01,22,R_A2,0,300.7936096191406,0.05853121727705002,0.0,300.7936096191406,2,2
STANDARD,1644.68310546875,30,2018-01-01,22,R_A2,0,300.9139099121094,0.06116862595081329,0.0,300.9139099121094,3,3
STANDARD,1646.4771728515625,30,2018-01-01,22,R_A2,0,301.0342102050781,0.0663427859544754,0.0,301.0342102050781,4,4
STANDARD,1648.2713623046875,30,2018-01-01,22,R_A2,0,301.1545104980469,0.0687314122915268,0.0,301.1545104980469,5,5
STANDARD,1650.0654296875,30,2018-01-01,22,R_A2,0,301.27484130859375,0.3121729791164398,0.0,301.27484130859375,6,6
STANDARD,1651.859619140625,30,2018-01-01,22,R_A2,0,301.3951721191406,0.8978545665740967,0.0,301.3951721191406,7,7
STANDARD,1653.6536865234375,30,2018-01-01,22,R_A2,0,301.5154724121094,0.8618757724761963,0.0,301.5154724121094,8,8
STANDARD,1655.44775390625,30,2018-01-01,22,R_A2,0,301.63580322265625,0.9105261564254761,0.0,301.63580322265625,9,9
STANDARD,1657.2418212890625,30,2018-01-01,22,R_A2,0,301.7561340332031,0.9083951115608215,0.0,301.7561340332031,10,10
STANDARD,1659.1368408203125,30,2018-01-01,22,R_A2,0,301.88323974609375,0.07604346424341202,0.0,301.88323974609375,11,11
STANDARD,1661.132568359375,30,2018-01-01,22,R_A2,0,302.01708984375,0.0789390504360199,0.0,302.01708984375,12,12
STANDARD,1663.12841796875,30,2018-01-01,22,R_A2,0,302.1509704589844,0.44872841238975525,0.0,302.1509704589844,13,13
STANDARD,1665.1241455078125,30,2018-01-01,22,R_A2,0,302.28485107421875,0.5068296194076538,0.0,302.28485107421875,14,14
STANDARD,1667.1199951171875,30,2018-01-01,22,R_A2,0,302.4187316894531,0.6861860752105713,0.0,302.4187316894531,15,15
STANDARD,1669.11572265625,30,2018-01-01,22,R_A2,0,302.5526123046875,0.9714688062667847,0.0,302.5526123046875,16,16
STANDARD,1671.111572265625,30,2018-01-01,22,R_A2,0,302.6864929199219,0.948536217212677,0.0,302.6864929199219,17,17
STANDARD,1672.9881591796875,30,2018-01-01,22,R_A2,0,302.8123779296875,0.9796320199966431,0.0,302.8123779296875,18,18
STANDARD,1674.229736328125,29,2018-01-01,22,R_A2,0,302.89569091796875,0.9940532445907593,0.0,302.89569091796875,19,18
