CONIPOS,CONIDX,PRESSURE,WELLMODEL,SGAS,DRAWDOWN,WELL,DATE,CONKPOS,CONBPRES,SWAT,CONJPOS,DEPTH
22,1,300.7392578125,STANDARD,0.0,0,R_A2,2018-01-01,1,300.7392578125,0.08840829133987427,30,1640.181884765625
22,2,300.8578186035156,STANDARD,0.0,0,R_A2,2018-01-01,2,300.8578186035156,0.054475270211696625,30,1641.9501953125
22,3,300.9764099121094,STANDARD,0.0,0,R_A2,2018-01-01,3,300.9764099121094,0.0578240305185318,30,1643.718505859375
22,4,301.094970703125,STANDARD,0.0,0,R_A2,2018-01-01,4,301.094970703125,0.15163151919841766,30,1645.4866943359375
22,5,301.21356201171875,STANDARD,0.0,0,R_A2,2018-01-01,5,301.21356201171875,0.15963193774223328,30,1647.2550048828125
22,6,301.3321533203125,STANDARD,0.0,0,R_A2,2018-01-01,6,301.3321533203125,0.6481541991233826,30,1649.0233154296875
22,7,301.45074462890625,STANDARD,0.0,0,R_A2,2018-01-01,7,301.45074462890625,0.8687332272529602,30,1650.79150390625
22,8,301.5693054199219,STANDARD,0.0,0,R_A2,2018-01-01,8,301.5693054199219,0.8515995144844055,30,1652.559814453125
22,9,301.6878967285156,STANDARD,0.0,0,R_A2,2018-01-01,9,301.6878967285156,0.8833325505256653,30,1654.3280029296875
22,10,301.8065185546875,STANDARD,0.0,0,R_A2,2018-01-01,10,301.8065185546875,0.8947330117225647,30,1656.09619140625
22,11,301.93341064453125,STANDARD,0.0,0,R_A2,2018-01-01,11,301.93341064453125,0.0662120133638382,30,1657.9884033203125
22,12,302.2038879394531,STANDARD,0.0,0,R_A2,2018-01-01,13,302.2038879394531,0.42518770694732666,30,1662.0206298828125
22,13,302.339111328125,STANDARD,0.0,0,R_A2,2018-01-01,14,302.339111328125,0.46882864832878113,30,1664.0367431640625
22,14,302.474365234375,STANDARD,0.0,0,R_A2,2018-01-01,15,302.474365234375,0.9036887884140015,30,1666.052734375
22,15,302.609619140625,STANDARD,0.0,0,R_A2,2018-01-01,16,302.609619140625,0.9105032682418823,30,1668.06884765625
22,16,302.744873046875,STANDARD,0.0,0,R_A2,2018-01-01,17,302.744873046875,0.8697096705436707,30,1670.0849609375
22,17,303.0848388671875,STANDARD,0.0,0,R_A2,2018-01-01,17,303.0848388671875,0.923356831073761,29,1675.1524658203125
22,18,303.2076721191406,STANDARD,0.0,0,R_A2,2018-01-01,18,303.2076721191406,0.9784623384475708,29,1676.9833984375
22,19,303.31854248046875,STANDARD,0.0,0,R_A2,2018-01-01,25,303.31854248046875,0.831728458404541,29,1678.6356201171875
22,20,303.4331359863281,STANDARD,0.0,0,R_A2,2018-01-01,26,303.4331359863281,1.0,29,1680.3433837890625
22,21,303.867919921875,STANDARD,0.0,0,R_A2,2018-01-01,27,303.867919921875,1.0,29,1682.0511474609375
22,22,304.0297546386719,STANDARD,0.0,0,R_A2,2018-01-01,28,304.0297546386719,1.0,29,1683.7587890625
22,23,304.1915588378906,STANDARD,0.0,0,R_A2,2018-01-01,29,304.1915588378906,1.0,29,1685.466552734375
28,1,298.7272033691406,STANDARD,0.0,0,R_A3,2018-01-01,1,298.7272033691406,0.7569701671600342,41,1610.1678466796875
29,2,297.8573913574219,STANDARD,0.0,0,R_A3,2018-01-01,1,297.8573913574219,0.18321366608142853,41,1597.18798828125
29,3,298.0077819824219,STANDARD,0.0,0,R_A3,2018-01-01,2,298.0077819824219,0.1821892112493515,41,1599.4322509765625
29,4,298.1581726074219,STANDARD,0.0,0,R_A3,2018-01-01,3,298.1581726074219,0.1429474651813507,41,1601.676513671875
29,5,298.3085632324219,STANDARD,0.0,0,R_A3,2018-01-01,4,298.3085632324219,0.20007607340812683,41,1603.9208984375
29,6,298.4589538574219,STANDARD,0.0,0,R_A3,2018-01-01,5,298.4589538574219,0.6481541991233826,41,1606.165283203125
29,7,298.609375,STANDARD,0.0,0,R_A3,2018-01-01,6,298.609375,0.6481541991233826,41,1608.4095458984375
29,8,298.7597961425781,STANDARD,0.0,0,R_A3,2018-01-01,7,298.7597961425781,0.19303910434246063,41,1610.65380859375
29,9,298.91021728515625,STANDARD,0.0,0,R_A3,2018-01-01,8,298.91021728515625,0.19370655715465546,41,1612.898193359375
29,10,299.0606384277344,STANDARD,0.0,0,R_A3,2018-01-01,9,299.0606384277344,0.7887730002403259,41,1615.1424560546875
29,11,299.2110595703125,STANDARD,0.0,0,R_A3,2018-01-01,10,299.2110595703125,0.7918308973312378,41,1617.3868408203125
29,12,299.3627624511719,STANDARD,0.0,0,R_A3,2018-01-01,11,299.3627624511719,0.04734830930829048,41,1619.6500244140625
29,13,299.5157165527344,STANDARD,0.0,0,R_A3,2018-01-01,12,299.5157165527344,0.05159947648644447,41,1621.93212890625
