DEPTH,WELL,SWAT,PRESSURE,SGAS,CONKPOS,CONIDX,CONIPOS,WELLMODEL,CONBPRES,DRAWDOWN,DATE,CONJPOS
1640.0487060546875,R_A2,0.05779123306274414,300.5049743652344,0.0,1,1,22,STANDARD,300.5049743652344,0,2018-01-01,30
1641.7174072265625,R_A2,0.05971574783325195,300.61688232421875,0.0,2,2,22,STANDARD,300.61688232421875,0,2018-01-01,30
1643.38623046875,R_A2,0.08159761130809784,300.728759765625,0.0,3,3,22,STANDARD,300.728759765625,0,2018-01-01,30
1645.054931640625,R_A2,0.06979838013648987,300.8406677246094,0.0,4,4,22,STANDARD,300.8406677246094,0,2018-01-01,30
1646.7236328125,R_A2,0.07406999915838242,300.9525451660156,0.0,5,5,22,STANDARD,300.9525451660156,0,2018-01-01,30
1648.392333984375,R_A2,0.3136153519153595,301.064453125,0.0,6,6,22,STANDARD,301.064453125,0,2018-01-01,30
1650.06103515625,R_A2,0.9043954610824585,301.1763610839844,0.0,7,7,22,STANDARD,301.1763610839844,0,2018-01-01,30
1651.7298583984375,R_A2,0.8916096091270447,301.28826904296875,0.0,8,8,22,STANDARD,301.28826904296875,0,2018-01-01,30
1653.3985595703125,R_A2,0.9010936617851257,301.4001770019531,0.0,9,9,22,STANDARD,301.4001770019531,0,2018-01-01,30
1655.0673828125,R_A2,0.921491265296936,301.5120849609375,0.0,10,10,22,STANDARD,301.5120849609375,0,2018-01-01,30
1656.89208984375,R_A2,0.08101199567317963,301.6344909667969,0.0,11,11,22,STANDARD,301.6344909667969,0,2018-01-01,30
1658.8729248046875,R_A2,0.07283053547143936,301.767333984375,0.0,12,12,22,STANDARD,301.767333984375,0,2018-01-01,30
1660.8536376953125,R_A2,0.476039856672287,301.9001770019531,0.0,13,13,22,STANDARD,301.9001770019531,0,2018-01-01,30
1662.83447265625,R_A2,0.5344611406326294,302.0330505371094,0.0,14,14,22,STANDARD,302.0330505371094,0,2018-01-01,30
1664.815185546875,R_A2,0.9562881588935852,302.1659240722656,0.0,15,15,22,STANDARD,302.1659240722656,0,2018-01-01,30
1666.7960205078125,R_A2,0.976491391658783,302.29876708984375,0.0,16,16,22,STANDARD,302.29876708984375,0,2018-01-01,30
1672.8291015625,R_A2,1.0,302.7034912109375,0.0,16,17,22,STANDARD,302.7034912109375,0,2018-01-01,29
1674.9342041015625,R_A2,1.0,303.0448303222656,0.0,17,18,22,STANDARD,303.0448303222656,0,2018-01-01,29
1676.593994140625,R_A2,1.0,303.2021179199219,0.0,18,19,22,STANDARD,303.2021179199219,0,2018-01-01,29
1678.0673828125,R_A2,1.0,303.49041748046875,0.0,26,20,22,STANDARD,303.49041748046875,0,2018-01-01,29
1679.799560546875,R_A2,1.0,303.654541015625,0.0,27,21,22,STANDARD,303.654541015625,0,2018-01-01,29
1681.5316162109375,R_A2,1.0,303.8186950683594,0.0,28,22,22,STANDARD,303.8186950683594,0,2018-01-01,29
1683.263671875,R_A2,1.0,303.9828186035156,0.0,29,23,22,STANDARD,303.9828186035156,0,2018-01-01,29
1684.995849609375,R_A2,1.0,304.14697265625,0.0,30,24,22,STANDARD,304.14697265625,0,2018-01-01,29
1611.112060546875,R_A3,0.24973823130130768,298.5652770996094,0.0,1,1,28,STANDARD,298.5652770996094,0,2018-01-01,41
