CONBPRES,CONKPOS,PRESSURE,DATE,SWAT,CONIDX,DRAWDOWN,CONJPOS,SGAS,DEPTH,CONIPOS,WELLMODEL,WELL
301.4029541015625,8,301.4029541015625,2018-01-01,0.8724367618560791,8,0,30,0.0,1652.1490478515625,22,STANDARD,R_A2
301.5175476074219,9,301.5175476074219,2018-01-01,0.6481541991233826,9,0,30,0.0,1653.85791015625,22,STANDARD,R_A2
301.6321716308594,10,301.6321716308594,2018-01-01,0.6481541991233826,10,0,30,0.0,1655.5667724609375,22,STANDARD,R_A2
301.7567138671875,11,301.7567138671875,2018-01-01,0.0755368322134018,11,0,30,0.0,1657.4237060546875,22,STANDARD,R_A2
301.89117431640625,12,301.89117431640625,2018-01-01,0.06551302969455719,12,0,30,0.0,1659.4285888671875,22,STANDARD,R_A2
302.0256652832031,13,302.0256652832031,2018-01-01,0.45328444242477417,13,0,30,0.0,1661.4334716796875,22,STANDARD,R_A2
302.16015625,14,302.16015625,2018-01-01,0.5026323199272156,14,0,30,0.0,1663.4383544921875,22,STANDARD,R_A2
302.29461669921875,15,302.29461669921875,2018-01-01,0.9352609515190125,15,0,30,0.0,1665.4432373046875,22,STANDARD,R_A2
302.4291076660156,16,302.4291076660156,2018-01-01,0.9534652829170227,16,0,30,0.0,1667.4481201171875,22,STANDARD,R_A2
302.71014404296875,16,302.71014404296875,2018-01-01,0.9867346286773682,17,0,29,0.0,1671.6373291015625,22,STANDARD,R_A2
302.8509521484375,17,302.8509521484375,2018-01-01,0.9837453961372375,18,0,29,0.0,1673.736328125,22,STANDARD,R_A2
302.96484375,18,302.96484375,2018-01-01,1.0,19,0,29,0.0,1675.4337158203125,22,STANDARD,R_A2
303.38580322265625,27,303.38580322265625,2018-01-01,1.0,20,0,29,0.0,1676.96337890625,22,STANDARD,R_A2
303.55169677734375,28,303.55169677734375,2018-01-01,1.0,21,0,29,0.0,1678.714111328125,22,STANDARD,R_A2
303.71759033203125,29,303.71759033203125,2018-01-01,1.0,22,0,29,0.0,1680.46484375,22,STANDARD,R_A2
303.88348388671875,30,303.88348388671875,2018-01-01,1.0,23,0,29,0.0,1682.215576171875,22,STANDARD,R_A2
304.0494079589844,31,304.0494079589844,2018-01-01,1.0,24,0,29,0.0,1683.96630859375,22,STANDARD,R_A2
298.6199645996094,1,298.6199645996094,2018-01-01,0.17394669353961945,1,0,41,0.0,1610.6373291015625,28,STANDARD,R_A3
298.75531005859375,2,298.75531005859375,2018-01-01,0.11823459714651108,2,0,41,0.0,1612.656982421875,28,STANDARD,R_A3
297.91015625,2,297.91015625,2018-01-01,0.11823459714651108,3,0,41,0.0,1600.045166015625,29,STANDARD,R_A3
298.05389404296875,3,298.05389404296875,2018-01-01,0.11823459714651108,4,0,41,0.0,1602.1900634765625,29,STANDARD,R_A3
298.1976013183594,4,298.1976013183594,2018-01-01,0.26651352643966675,5,0,41,0.0,1604.3349609375,29,STANDARD,R_A3
298.3413391113281,5,298.3413391113281,2018-01-01,0.6826916933059692,6,0,41,0.0,1606.479736328125,29,STANDARD,R_A3
298.4850769042969,6,298.4850769042969,2018-01-01,0.20827056467533112,7,0,41,0.0,1608.6246337890625,29,STANDARD,R_A3
298.6288146972656,7,298.6288146972656,2018-01-01,0.19756700098514557,8,0,41,0.0,1610.76953125,29,STANDARD,R_A3
298.7725524902344,8,298.7725524902344,2018-01-01,0.19765137135982513,9,0,41,0.0,1612.914306640625,29,STANDARD,R_A3
298.91632080078125,9,298.91632080078125,2018-01-01,0.7963966131210327,10,0,41,0.0,1615.05908203125,29,STANDARD,R_A3
299.06005859375,10,299.06005859375,2018-01-01,0.8032390475273132,11,0,41,0.0,1617.2039794921875,29,STANDARD,R_A3
299.2066955566406,11,299.2066955566406,2018-01-01,0.04894716292619705,12,0,41,0.0,1619.391357421875,29,STANDARD,R_A3
299.35614013671875,12,299.35614013671875,2018-01-01,0.05399451032280922,13,0,41,0.0,1621.6212158203125,29,STANDARD,R_A3
299.505615234375,13,299.505615234375,2018-01-01,0.37194469571113586,14,0,41,0.0,1623.85107421875,29,STANDARD,R_A3
299.65509033203125,14,299.65509033203125,2018-01-01,0.39449429512023926,15,0,41,0.0,1626.0809326171875,29,STANDARD,R_A3
299.8045654296875,15,299.8045654296875,2018-01-01,0.3484888970851898,16,0,41,0.0,1628.3106689453125,29,STANDARD,R_A3
299.9444580078125,16,299.9444580078125,2018-01-01,0.8030621409416199,17,0,41,0.0,1630.3975830078125,29,STANDARD,R_A3
300.0203857421875,17,300.0203857421875,2018-01-01,0.7969434857368469,18,0,41,0.0,1631.530029296875,29,STANDARD,R_A3
300.1564636230469,27,300.1564636230469,2018-01-01,1.0,19,0,41,0.0,1633.559814453125,29,STANDARD,R_A3
300.4071350097656,28,300.4071350097656,2018-01-01,0.25403767824172974,20,0,41,0.0,1637.298583984375,29,STANDARD,R_A3
300.6578063964844,29,300.6578063964844,2018-01-01,0.053811077028512955,21,0,41,0.0,1641.0372314453125,29,STANDARD,R_A3
300.90850830078125,30,300.90850830078125,2018-01-01,1.0,22,0,41,0.0,1644.77587890625,29,STANDARD,R_A3
301.1592102050781,31,301.1592102050781,2018-01-01,0.06527674198150635,23,0,41,0.0,1648.5145263671875,29,STANDARD,R_A3
299.9317932128906,1,299.9317932128906,2018-01-01,0.05177101492881775,1,0,52,0.0,1630.20849609375,30,STANDARD,R_A4
299.66375732421875,1,299.66375732421875,2018-01-01,0.05016164481639862,2,0,52,0.0,1626.210205078125,31,STANDARD,R_A4
299.80224609375,2,299.80224609375,2018-01-01,0.05130094289779663,3,0,52,0.0,1628.2762451171875,31,STANDARD,R_A4
299.9407653808594,3,299.9407653808594,2018-01-01,0.05283915251493454,4,0,52,0.0,1630.34228515625,31,STANDARD,R_A4
300.07928466796875,4,300.07928466796875,2018-01-01,0.05419621616601944,5,0,52,0.0,1632.408447265625,31,STANDARD,R_A4
300.2178039550781,5,300.2178039550781,2018-01-01,0.08335766196250916,6,0,52,0.0,1634.4744873046875,31,STANDARD,R_A4
300.07476806640625,5,300.07476806640625,2018-01-01,0.20668290555477142,7,0,52,0.0,1632.3411865234375,32,STANDARD,R_A4
300.47900390625,5,300.47900390625,2018-01-01,0.18462036550045013,8,0,51,0.0,1638.3702392578125,32,STANDARD,R_A4
300.3605651855469,4,300.3605651855469,2018-01-01,0.059342462569475174,9,0,51,0.0,1636.603759765625,32,STANDARD,R_A4
300.365478515625,4,300.365478515625,2018-01-01,0.05945013836026192,10,0,51,0.0,1636.67724609375,33,STANDARD,R_A4
300.243408203125,3,300.243408203125,2018-01-01,0.05743095278739929,11,0,51,0.0,1634.856689453125,33,STANDARD,R_A4
301.05767822265625,4,301.05767822265625,2018-01-01,0.07094253599643707,12,0,50,0.0,1647.00048828125,33,STANDARD,R_A4
300.71844482421875,4,300.71844482421875,2018-01-01,0.06646275520324707,13,0,50,0.0,1641.9412841796875,34,STANDARD,R_A4
300.5935363769531,3,300.5935363769531,2018-01-01,0.14096464216709137,14,0,50,0.0,1640.0784912109375,34,STANDARD,R_A4
300.5041198730469,3,300.5041198730469,2018-01-01,0.09987590461969376,15,0,50,0.0,1638.7449951171875,35,STANDARD,R_A4
300.38763427734375,2,300.38763427734375,2018-01-01,0.2300875186920166,16,0,50,0.0,1637.0074462890625,35,STANDARD,R_A4
300.5315246582031,30,300.5315246582031,2018-01-01,0.09499182552099228,17,0,49,0.0,1639.15380859375,35,STANDARD,R_A4
300.7981872558594,30,300.7981872558594,2018-01-01,0.14653122425079346,18,0,49,0.0,1643.13037109375,36,STANDARD,R_A4
300.8065490722656,30,300.8065490722656,2018-01-01,0.13724401593208313,19,0,48,0.0,1643.25537109375,36,STANDARD,R_A4
301.2057189941406,30,301.2057189941406,2018-01-01,0.6481541991233826,20,0,48,0.0,1649.2080078125,37,STANDARD,R_A4
300.8354187011719,29,300.8354187011719,2018-01-01,0.22783856093883514,21,0,48,0.0,1643.6859130859375,37,STANDARD,R_A4
301.20281982421875,29,301.20281982421875,2018-01-01,0.1985854059457779,22,0,48,0.0,1649.1646728515625,38,STANDARD,R_A4
301.5887451171875,29,301.5887451171875,2018-01-01,0.2743825912475586,23,0,47,0.0,1654.919189453125,38,STANDARD,R_A4
303.8822021484375,1,303.8822021484375,2018-01-01,1.0,1,0,20,0.0,1685.4287109375,31,STANDARD,R_A5
304.0802917480469,2,304.0802917480469,2018-01-01,1.0,2,0,20,0.0,1687.51904296875,31,STANDARD,R_A5
304.27838134765625,3,304.27838134765625,2018-01-01,1.0,3,0,20,0.0,1689.609619140625,31,STANDARD,R_A5
