CONJPOS,SWAT,CONIDX,DATE,CONIPOS,CONKPOS,WELL,DEPTH,WELLMODEL,PRESSURE,DRAWDOWN,SGAS,CONBPRES
30,0.053545769304037094,1,2018-01-01,22,1,R_A2,1640.06005859375,STANDARD,300.7040100097656,0,0.0,300.7040100097656
30,0.054616499692201614,2,2018-01-01,22,2,R_A2,1641.797607421875,STANDARD,300.82049560546875,0,0.0,300.82049560546875
30,0.05731242150068283,3,2018-01-01,22,3,R_A2,1643.53515625,STANDARD,300.93701171875,0,0.0,300.93701171875
30,0.06142614409327507,4,2018-01-01,22,4,R_A2,1645.272705078125,STANDARD,301.05352783203125,0,0.0,301.05352783203125
30,0.06429404765367508,5,2018-01-01,22,5,R_A2,1647.01025390625,STANDARD,301.1700439453125,0,0.0,301.1700439453125
30,0.3046894371509552,6,2018-01-01,22,6,R_A2,1648.747802734375,STANDARD,301.28656005859375,0,0.0,301.28656005859375
30,0.8731308579444885,7,2018-01-01,22,7,R_A2,1650.4853515625,STANDARD,301.4031066894531,0,0.0,301.4031066894531
30,0.8721035122871399,8,2018-01-01,22,8,R_A2,1652.222900390625,STANDARD,301.5196228027344,0,0.0,301.5196228027344
30,0.8867303133010864,9,2018-01-01,22,9,R_A2,1653.96044921875,STANDARD,301.63616943359375,0,0.0,301.63616943359375
30,0.8884050250053406,10,2018-01-01,22,10,R_A2,1655.6978759765625,STANDARD,301.752685546875,0,0.0,301.752685546875
30,0.06738632172346115,11,2018-01-01,22,11,R_A2,1657.558837890625,STANDARD,301.87750244140625,0,0.0,301.87750244140625
30,0.1396363526582718,12,2018-01-01,22,12,R_A2,1659.543212890625,STANDARD,302.0105895996094,0,0.0,302.0105895996094
30,0.4229608178138733,13,2018-01-01,22,13,R_A2,1661.5274658203125,STANDARD,302.1437072753906,0,0.0,302.1437072753906
30,0.4667724072933197,14,2018-01-01,22,14,R_A2,1663.5118408203125,STANDARD,302.27679443359375,0,0.0,302.27679443359375
29,0.48570629954338074,15,2018-01-01,22,14,R_A2,1666.1783447265625,STANDARD,302.4556884765625,0,0.0,302.4556884765625
29,0.9166460633277893,16,2018-01-01,22,15,R_A2,1668.312744140625,STANDARD,302.5988464355469,0,0.0,302.5988464355469
29,0.9493916034698486,17,2018-01-01,22,16,R_A2,1670.447021484375,STANDARD,302.7420349121094,0,0.0,302.7420349121094
29,0.9051550030708313,18,2018-01-01,22,17,R_A2,1672.581298828125,STANDARD,302.8852233886719,0,0.0,302.8852233886719
29,0.968506932258606,19,2018-01-01,22,18,R_A2,1674.5369873046875,STANDARD,303.0164489746094,0,0.0,303.0164489746094
29,1.0,20,2018-01-01,22,26,R_A2,1676.4315185546875,STANDARD,303.1435546875,0,0.0,303.1435546875
29,0.8129358291625977,21,2018-01-01,22,27,R_A2,1678.203369140625,STANDARD,303.2624206542969,0,0.0,303.2624206542969
29,1.0,22,2018-01-01,22,28,R_A2,1679.9752197265625,STANDARD,303.3813171386719,0,0.0,303.3813171386719
29,1.0,23,2018-01-01,22,29,R_A2,1681.7470703125,STANDARD,303.8390808105469,0,0.0,303.8390808105469
29,1.0,24,2018-01-01,22,30,R_A2,1683.518798828125,STANDARD,304.0069885253906,0,0.0,304.0069885253906
41,0.7773041725158691,1,2018-01-01,28,1,R_A3,1607.171142578125,STANDARD,298.4992980957031,0,0.0,298.4992980957031
41,0.6481541991233826,2,2018-01-01,29,1,R_A3,1601.636474609375,STANDARD,298.12841796875,0,0.0,298.12841796875
41,0.18835574388504028,3,2018-01-01,29,2,R_A3,1603.7198486328125,STANDARD,298.26800537109375,0,0.0,298.26800537109375
41,0.18544144928455353,4,2018-01-01,29,3,R_A3,1605.80322265625,STANDARD,298.4076232910156,0,0.0,298.4076232910156
41,0.310783714056015,5,2018-01-01,29,4,R_A3,1607.8865966796875,STANDARD,298.5472412109375,0,0.0,298.5472412109375
41,0.809559166431427,6,2018-01-01,29,5,R_A3,1609.969970703125,STANDARD,298.6868591308594,0,0.0,298.6868591308594
41,0.3130180835723877,7,2018-01-01,29,6,R_A3,1612.0533447265625,STANDARD,298.8265075683594,0,0.0,298.8265075683594
41,0.1955871731042862,8,2018-01-01,29,7,R_A3,1614.13671875,STANDARD,298.96612548828125,0,0.0,298.96612548828125
41,0.19994106888771057,9,2018-01-01,29,8,R_A3,1616.22021484375,STANDARD,299.10577392578125,0,0.0,299.10577392578125
41,0.7996921539306641,10,2018-01-01,29,9,R_A3,1618.303466796875,STANDARD,299.24542236328125,0,0.0,299.24542236328125
41,0.7983217239379883,11,2018-01-01,29,10,R_A3,1620.386962890625,STANDARD,299.38507080078125,0,0.0,299.38507080078125
41,0.04899930581450462,12,2018-01-01,29,11,R_A3,1622.59619140625,STANDARD,299.5331726074219,0,0.0,299.5331726074219
41,0.05519852042198181,13,2018-01-01,29,12,R_A3,1624.931396484375,STANDARD,299.689697265625,0,0.0,299.689697265625
41,0.37298819422721863,14,2018-01-01,29,13,R_A3,1627.2667236328125,STANDARD,299.84625244140625,0,0.0,299.84625244140625
41,0.2230851948261261,15,2018-01-01,29,14,R_A3,1629.6019287109375,STANDARD,300.0028076171875,0,0.0,300.0028076171875
41,0.4912567734718323,16,2018-01-01,29,15,R_A3,1631.9371337890625,STANDARD,300.15936279296875,0,0.0,300.15936279296875
41,0.8078877329826355,17,2018-01-01,29,16,R_A3,1633.7442626953125,STANDARD,300.280517578125,0,0.0,300.280517578125
41,0.760460376739502,18,2018-01-01,29,26,R_A3,1636.1165771484375,STANDARD,300.4395751953125,0,0.0,300.4395751953125
41,0.0478622131049633,19,2018-01-01,29,27,R_A3,1639.582275390625,STANDARD,300.6719665527344,0,0.0,300.6719665527344
41,0.05234507471323013,20,2018-01-01,29,28,R_A3,1643.0478515625,STANDARD,300.9043273925781,0,0.0,300.9043273925781
41,1.0,21,2018-01-01,29,29,R_A3,1646.5135498046875,STANDARD,301.1367492675781,0,0.0,301.1367492675781
41,0.06400176137685776,22,2018-01-01,29,30,R_A3,1649.9791259765625,STANDARD,301.369140625,0,0.0,301.369140625
52,0.049514275044202805,1,2018-01-01,30,1,R_A4,1629.853515625,STANDARD,300.0196838378906,0,0.0,300.0196838378906
52,0.048351239413022995,2,2018-01-01,31,1,R_A4,1627.4949951171875,STANDARD,299.861572265625,0,0.0,299.861572265625
52,0.05110843479633331,3,2018-01-01,31,2,R_A4,1629.5567626953125,STANDARD,299.9997863769531,0,0.0,299.9997863769531
52,0.052625346928834915,4,2018-01-01,31,3,R_A4,1631.6185302734375,STANDARD,300.13800048828125,0,0.0,300.13800048828125
52,0.056051041930913925,5,2018-01-01,31,4,R_A4,1633.6802978515625,STANDARD,300.2762451171875,0,0.0,300.2762451171875
52,0.05586010962724686,6,2018-01-01,32,4,R_A4,1636.03369140625,STANDARD,300.43402099609375,0,0.0,300.43402099609375
51,0.056634318083524704,7,2018-01-01,32,4,R_A4,1635.142578125,STANDARD,300.374267578125,0,0.0,300.374267578125
51,0.06012847274541855,8,2018-01-01,33,4,R_A4,1639.965087890625,STANDARD,300.6976318359375,0,0.0,300.6976318359375
51,0.05787545442581177,9,2018-01-01,33,3,R_A4,1638.1312255859375,STANDARD,300.57464599609375,0,0.0,300.57464599609375
50,0.058662835508584976,10,2018-01-01,33,3,R_A4,1639.0843505859375,STANDARD,300.6385803222656,0,0.0,300.6385803222656
50,0.05958762392401695,11,2018-01-01,34,3,R_A4,1641.15380859375,STANDARD,300.77734375,0,0.0,300.77734375
50,0.09563174843788147,12,2018-01-01,34,2,R_A4,1639.1749267578125,STANDARD,300.6446533203125,0,0.0,300.6446533203125
50,0.14179083704948425,13,2018-01-01,35,2,R_A4,1642.586669921875,STANDARD,300.8734130859375,0,0.0,300.8734130859375
49,0.16331717371940613,14,2018-01-01,35,2,R_A4,1643.14453125,STANDARD,300.91082763671875,0,0.0,300.91082763671875
49,0.2538341283798218,15,2018-01-01,35,1,R_A4,1641.2364501953125,STANDARD,300.7828674316406,0,0.0,300.7828674316406
49,0.158530592918396,16,2018-01-01,36,29,R_A4,1643.980224609375,STANDARD,300.96685791015625,0,0.0,300.96685791015625
48,0.33185505867004395,17,2018-01-01,36,29,R_A4,1640.817626953125,STANDARD,300.7547912597656,0,0.0,300.7547912597656
48,0.6767904758453369,18,2018-01-01,37,29,R_A4,1650.19140625,STANDARD,301.3833923339844,0,0.0,301.3833923339844
48,0.18011628091335297,19,2018-01-01,37,28,R_A4,1644.503662109375,STANDARD,301.001953125,0,0.0,301.001953125
