Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:03
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281037151.51         49252308.97         38415633.45         24160775.35
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281037151.51         49252308.97         38415633.45         24160775.35
MidReek    1                       217141855.78         41965667.88         33726439.68         21211596.93
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141855.78         41965667.88         33726439.68         21211596.93
LowerReek  1                       127877366.67         26770077.57         21651609.62         13617364.31
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127877366.67         26770077.57         21651609.62         13617364.31
Totals     1                       626056373.96        117988054.43         93793682.75         58989736.59
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626056373.96        117988054.43         93793682.75         58989736.59
