FIPNUM,STOIIP_OIL,ASSOCIATEDOIL_GAS,STOIIP_TOTAL,WIIP_TOTAL,GIIP_GAS,ASSOCIATEDGAS_OIL,GIIP_TOTAL,PORV_TOTAL,HCPV_OIL,WATPV_TOTAL,HCPV_GAS,HCPV_TOTAL,REGION,ZONE
1,513685.0,0.0,513685.0,78149500.0,0.0,72337092.0,72337092.0,81544963.0,736833.0,80808130.0,0.0,736833.0,WestLowland,Valysar
2,6348836.0,0.0,6348836.0,13318869.0,0.0,894043015.0,894043015.0,22876578.0,9103417.0,13773161.0,0.0,9103417.0,CentralSouth,Valysar
3,3300262.0,0.0,3300262.0,11656039.0,-0.0,464742914.0,464742914.0,16785178.0,4732255.0,12052923.0,0.0,4732255.0,CentralNorth,Valysar
4,170952.0,84632.0,255585.0,2852088.0,552804223.0,33491901.0,586296124.0,5609234.0,278384.0,2949875.0,2380976.0,2659360.0,NorthHorst,Valysar
5,967430.0,0.0,967430.0,745593.0,0.0,136233426.0,136233426.0,2158993.0,1387736.0,771257.0,0.0,1387736.0,CentralRamp,Valysar
6,8625045.0,0.0,8625045.0,6107626.0,-0.0,1214578842.0,1214578842.0,18690709.0,12373466.0,6317243.0,0.0,12373466.0,CentralHorst,Valysar
7,920961.0,0.0,920961.0,39129065.0,0.0,129689738.0,129689738.0,41766984.0,1320692.0,40446291.0,0.0,1320692.0,EastLowland,Valysar
8,150621.0,0.0,150621.0,112344253.0,0.0,21210424.0,21210424.0,116380114.0,216023.0,116164091.0,0.0,216023.0,WestLowland,Therys
9,1769628.0,0.0,1769628.0,4778146.0,0.0,249199085.0,249199085.0,7478887.0,2537224.0,4941663.0,0.0,2537224.0,CentralSouth,Therys
10,1661517.0,0.0,1661517.0,11934654.0,0.0,233974824.0,233974824.0,14722754.0,2382183.0,12340571.0,0.0,2382183.0,CentralNorth,Therys
11,186063.0,64065.0,250128.0,4037992.0,416817805.0,36453602.0,453271407.0,6273246.0,302989.0,4176288.0,1793970.0,2096958.0,NorthHorst,Therys
12,793229.0,0.0,793229.0,384020.0,0.0,111702559.0,111702559.0,1534781.0,1137562.0,397219.0,0.0,1137562.0,CentralRamp,Therys
13,3937741.0,0.0,3937741.0,4182325.0,0.0,554512702.0,554512702.0,9973509.0,5648151.0,4325358.0,0.0,5648151.0,CentralHorst,Therys
14,10374.0,0.0,10374.0,19058345.0,0.0,1460825.0,1460825.0,19710654.0,14874.0,19695780.0,0.0,14874.0,EastLowland,Therys
15,29320.0,0.0,29320.0,79684215.0,0.0,4128797.0,4128797.0,82424290.0,42043.0,82382246.0,0.0,42043.0,WestLowland,Volon
16,3953283.0,0.0,3953283.0,31204034.0,0.0,556701292.0,556701292.0,37932201.0,5666922.0,32265279.0,0.0,5666922.0,CentralSouth,Volon
17,535160.0,0.0,535160.0,5580662.0,0.0,75361268.0,75361268.0,6537446.0,767155.0,5770291.0,0.0,767155.0,CentralNorth,Volon
18,282672.0,22186.0,304858.0,1565116.0,143788343.0,55378054.0,199166397.0,2697336.0,460314.0,1618622.0,618400.0,1078714.0,NorthHorst,Volon
19,1082158.0,0.0,1082158.0,854706.0,0.0,152389518.0,152389518.0,2435535.0,1551517.0,884017.0,0.0,1551517.0,CentralRamp,Volon
20,7853609.0,0.0,7853609.0,8509302.0,0.0,1105945220.0,1105945220.0,20062526.0,11261910.0,8800616.0,0.0,11261910.0,CentralHorst,Volon
21,0.0,0.0,0.0,32923361.0,0.0,0.0,0.0,34034453.0,0.0,34034453.0,0.0,0.0,EastLowland,Volon
