PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
SW,LowerReek,Stormlands,Crevasse,0.1342499,,0.36168244,0.052817877,0.08517111,0.19384047,0.044585947,geogrid,geogrid
PERM,LowerReek,Vale,Background,11.421566,,100.0,0.09542892,1.5668728,27.427567,14.402127,geogrid,geogrid
PORO,LowerReek,Vale,Background,0.10631671,,0.24324876,0.0,0.04845134,0.16361968,0.044700872,geogrid,geogrid
SW,LowerReek,Vale,Background,0.6203857,,1.0,0.0,0.2482148,1.0,0.3291419,geogrid,geogrid
PERM,LowerReek,Vale,Channel,3007.7485,,10000.0,42.17605,415.21344,8442.781,2906.857,geogrid,geogrid
PORO,LowerReek,Vale,Channel,0.2508171,,0.42243278,0.08541946,0.18660402,0.31727645,0.050904356,geogrid,geogrid
SW,LowerReek,Vale,Channel,0.7833971,,1.0,0.022855388,0.03870778,1.0,0.39527836,geogrid,geogrid
PERM,LowerReek,Vale,Crevasse,238.22508,,1000.0,4.074672,36.816093,611.8679,247.95981,geogrid,geogrid
PORO,LowerReek,Vale,Crevasse,0.21919261,,0.3957363,0.07924428,0.15873195,0.27716526,0.04643773,geogrid,geogrid
SW,LowerReek,Vale,Crevasse,0.80089587,,1.0,0.056419563,0.12479001,1.0,0.35436532,geogrid,geogrid
PERM,LowerReek,Westerlands,Background,9.424142,,100.0,0.028865764,1.2855768,21.287106,12.722295,geogrid,geogrid
PORO,LowerReek,Westerlands,Background,0.09705437,,0.26772806,0.0,0.034160223,0.15880278,0.047209214,geogrid,geogrid
SW,LowerReek,Westerlands,Background,0.9949955,,1.0,0.45972067,1.0,1.0,0.040434435,geogrid,geogrid
PERM,LowerReek,Westerlands,Channel,3331.008,,10000.0,17.348757,497.92654,9449.866,3026.842,geogrid,geogrid
PORO,LowerReek,Westerlands,Channel,0.2571305,,0.45049047,0.053965494,0.19234554,0.32071552,0.05001046,geogrid,geogrid
SW,LowerReek,Westerlands,Channel,0.982242,,1.0,0.043623127,1.0,1.0,0.12219895,geogrid,geogrid
PERM,LowerReek,Westerlands,Crevasse,185.43315,,1000.0,1.6508968,22.899235,466.08252,220.3371,geogrid,geogrid
PORO,LowerReek,Westerlands,Crevasse,0.20329215,,0.3896871,0.034979343,0.13762261,0.26815486,0.0504827,geogrid,geogrid
SW,LowerReek,Westerlands,Crevasse,0.9935163,,1.0,0.1517709,1.0,1.0,0.06618678,geogrid,geogrid
PERM,MidReek,Dorne,Background,9.173709,,100.0,0.08125338,1.1880461,20.645964,13.363092,geogrid,geogrid
PORO,MidReek,Dorne,Background,0.09095093,,0.27247804,0.0,0.023452342,0.15627018,0.050451793,geogrid,geogrid
SW,MidReek,Dorne,Background,0.9964232,,1.0,0.0,1.0,1.0,0.034062795,geogrid,geogrid
PERM,MidReek,Dorne,Channel,3275.686,,10000.0,36.53762,476.3798,9430.094,3028.6807,geogrid,geogrid
PORO,MidReek,Dorne,Channel,0.251135,,0.4587856,0.071200535,0.18613473,0.31541437,0.050440103,geogrid,geogrid
SW,MidReek,Dorne,Channel,0.9712553,,1.0,0.068711445,1.0,1.0,0.14955632,geogrid,geogrid
PERM,MidReek,Dorne,Crevasse,168.7786,,1000.0,2.6404507,22.592915,403.4749,197.40446,geogrid,geogrid
PORO,MidReek,Dorne,Crevasse,0.19926475,,0.3652665,0.060677037,0.13770914,0.2600275,0.04789254,geogrid,geogrid
SW,MidReek,Dorne,Crevasse,0.98853314,,1.0,0.24512503,1.0,1.0,0.07924711,geogrid,geogrid
PERM,MidReek,IronIslands,Background,20.564594,,100.0,0.12877454,2.0603678,56.93771,24.933332,geogrid,geogrid
PORO,MidReek,IronIslands,Background,0.12308594,,0.32470107,0.0,0.0541646,0.19653097,0.054935403,geogrid,geogrid
SW,MidReek,IronIslands,Background,0.6217334,,1.0,0.0,0.20111501,1.0,0.34089762,geogrid,geogrid
PERM,MidReek,IronIslands,Channel,2975.2183,,10000.0,2.754819,392.7862,8083.769,2873.3674,geogrid,geogrid
PORO,MidReek,IronIslands,Channel,0.250881,,0.4222734,0.039667785,0.18561032,0.31478202,0.050993845,geogrid,geogrid
SW,MidReek,IronIslands,Channel,0.40943277,,1.0,0.021033628,0.033647478,1.0,0.44770738,geogrid,geogrid
PERM,MidReek,IronIslands,Crevasse,173.37872,,1000.0,1.070401,19.391794,429.07523,206.85376,geogrid,geogrid
PORO,MidReek,IronIslands,Crevasse,0.19905615,,0.3570424,0.010091901,0.12962286,0.26441476,0.052440103,geogrid,geogrid
SW,MidReek,IronIslands,Crevasse,0.5589176,,1.0,0.05521757,0.09917398,1.0,0.41084072,geogrid,geogrid
PERM,MidReek,North,Background,12.494767,,100.0,0.09522905,1.4885092,28.878887,16.203377,geogrid,geogrid
PORO,MidReek,North,Background,0.107470594,,0.29485527,0.0,0.03526726,0.17408313,0.05237883,geogrid,geogrid
SW,MidReek,North,Background,0.99450403,,1.0,0.1886901,1.0,1.0,0.05662553,geogrid,geogrid
PERM,MidReek,North,Channel,3301.3677,,10000.0,15.479994,442.88315,9556.579,3060.3545,geogrid,geogrid
PORO,MidReek,North,Channel,0.2532512,,0.43865222,0.047625482,0.18748903,0.31916893,0.05149352,geogrid,geogrid
SW,MidReek,North,Channel,0.99039996,,1.0,0.024593886,1.0,1.0,0.09417947,geogrid,geogrid
PERM,MidReek,North,Crevasse,150.8691,,1000.0,1.41549,19.593803,370.8101,187.30711,geogrid,geogrid
PORO,MidReek,North,Crevasse,0.19689499,,0.35714304,0.030077174,0.13527817,0.26038364,0.04902811,geogrid,geogrid
SW,MidReek,North,Crevasse,0.98965967,,1.0,0.073242374,1.0,1.0,0.093869515,geogrid,geogrid
PERM,MidReek,Reach,Background,15.024862,,100.0,0.10801163,1.4383249,37.716076,19.227755,geogrid,geogrid
PORO,MidReek,Reach,Background,0.11228565,,0.2894194,0.0,0.042676292,0.18052134,0.05215717,geogrid,geogrid
SW,MidReek,Reach,Background,0.81655926,,1.0,0.0,0.40088996,1.0,0.2594408,geogrid,geogrid
PERM,MidReek,Reach,Channel,2973.615,,10000.0,32.392532,418.90335,8188.4795,2885.9758,geogrid,geogrid
PORO,MidReek,Reach,Channel,0.24768685,,0.45063314,0.055578575,0.18327282,0.312741,0.050334863,geogrid,geogrid
SW,MidReek,Reach,Channel,0.60374796,,1.0,0.019941121,0.052793942,1.0,0.4479735,geogrid,geogrid
PERM,MidReek,Reach,Crevasse,185.42386,,1000.0,2.1127949,21.872864,475.34006,223.00298,geogrid,geogrid
PORO,MidReek,Reach,Crevasse,0.20622699,,0.39757508,0.02745451,0.13882878,0.2716864,0.051186517,geogrid,geogrid
SW,MidReek,Reach,Crevasse,0.6461845,,1.0,0.061100215,0.14710584,1.0,0.38390803,geogrid,geogrid
PERM,MidReek,Stormlands,Background,23.957949,,100.0,0.42053875,3.7668996,60.196495,23.972942,geogrid,geogrid
PORO,MidReek,Stormlands,Background,0.13354976,,0.30035633,0.0036548078,0.07558288,0.19237767,0.045808967,geogrid,geogrid
SW,MidReek,Stormlands,Background,0.2563933,,0.5451406,0.116461106,0.15818667,0.3742113,0.08106396,geogrid,geogrid
PERM,MidReek,Stormlands,Channel,2078.8662,,10000.0,5.396373,175.92303,5390.895,2449.717,geogrid,geogrid
PORO,MidReek,Stormlands,Channel,0.22534893,,0.37709677,0.048742145,0.15182692,0.29833585,0.055150103,geogrid,geogrid
SW,MidReek,Stormlands,Channel,0.046197623,,0.14047582,0.020230653,0.027523085,0.06719888,0.017097156,geogrid,geogrid
PERM,MidReek,Stormlands,Crevasse,181.13367,,1000.0,7.3122983,32.615955,415.065,187.87697,geogrid,geogrid
