SGAS,CONIDX,SWAT,PRESSURE,DRAWDOWN,CONBPRES,DEPTH,CONKPOS,DATE,CONIPOS,CONJPOS,WELL,WELLMODEL
0.0,1,0.05612525716423988,300.6136169433594,0,300.6136169433594,1639.8214111328125,1,2018-01-01,22,30,R_A2,STANDARD
0.0,2,0.056850794702768326,300.7286682128906,0,300.7286682128906,1641.537353515625,2,2018-01-01,22,30,R_A2,STANDARD
0.0,3,0.059311430901288986,300.84375,0,300.84375,1643.25341796875,3,2018-01-01,22,30,R_A2,STANDARD
0.0,4,0.06413312256336212,300.9588317871094,0,300.9588317871094,1644.969482421875,4,2018-01-01,22,30,R_A2,STANDARD
0.0,5,0.06619143486022949,301.0738830566406,0,301.0738830566406,1646.6854248046875,5,2018-01-01,22,30,R_A2,STANDARD
0.0,6,0.30646654963493347,301.18896484375,0,301.18896484375,1648.4013671875,6,2018-01-01,22,30,R_A2,STANDARD
0.0,7,0.8858287334442139,301.3040466308594,0,301.3040466308594,1650.117431640625,7,2018-01-01,22,30,R_A2,STANDARD
0.0,8,0.8495000004768372,301.41912841796875,0,301.41912841796875,1651.83349609375,8,2018-01-01,22,30,R_A2,STANDARD
0.0,9,0.8959407210350037,301.5342102050781,0,301.5342102050781,1653.549560546875,9,2018-01-01,22,30,R_A2,STANDARD
0.0,10,0.8931342959403992,301.6492919921875,0,301.6492919921875,1655.2655029296875,10,2018-01-01,22,30,R_A2,STANDARD
0.0,11,0.07073988020420074,301.77691650390625,0,301.77691650390625,1657.1683349609375,11,2018-01-01,22,30,R_A2,STANDARD
0.0,12,0.07885913550853729,301.9170837402344,0,301.9170837402344,1659.2578125,12,2018-01-01,22,30,R_A2,STANDARD
0.0,13,0.449006050825119,302.0572204589844,0,302.0572204589844,1661.3472900390625,13,2018-01-01,22,30,R_A2,STANDARD
0.0,14,0.5018316507339478,302.1973876953125,0,302.1973876953125,1663.436767578125,14,2018-01-01,22,30,R_A2,STANDARD
0.0,15,0.9514317512512207,302.3375549316406,0,302.3375549316406,1665.5263671875,15,2018-01-01,22,30,R_A2,STANDARD
0.0,16,0.9277260303497314,302.47772216796875,0,302.47772216796875,1667.6158447265625,16,2018-01-01,22,30,R_A2,STANDARD
0.0,17,0.9957084059715271,302.9958190917969,0,302.9958190917969,1675.338623046875,16,2018-01-01,22,29,R_A2,STANDARD
0.0,18,0.9959944486618042,303.13507080078125,0,303.13507080078125,1677.414306640625,17,2018-01-01,22,29,R_A2,STANDARD
0.0,19,1.0,303.40863037109375,0,303.40863037109375,1678.773681640625,18,2018-01-01,22,29,R_A2,STANDARD
0.0,20,1.0,303.3599853515625,0,303.3599853515625,1679.91796875,27,2018-01-01,22,29,R_A2,STANDARD
0.0,21,1.0,303.82171630859375,0,303.82171630859375,1681.5635986328125,28,2018-01-01,22,29,R_A2,STANDARD
0.0,22,1.0,303.9776306152344,0,303.9776306152344,1683.2091064453125,29,2018-01-01,22,29,R_A2,STANDARD
0.0,23,1.0,304.1335754394531,0,304.1335754394531,1684.8546142578125,30,2018-01-01,22,29,R_A2,STANDARD
0.0,24,1.0,304.2895202636719,0,304.2895202636719,1686.500244140625,31,2018-01-01,22,29,R_A2,STANDARD
0.0,1,0.36301785707473755,298.55621337890625,0,298.55621337890625,1609.12939453125,1,2018-01-01,28,41,R_A3,STANDARD
0.0,2,0.19776551425457,298.6993713378906,0,298.6993713378906,1611.265625,2,2018-01-01,28,41,R_A3,STANDARD
0.0,3,0.1869540959596634,298.06292724609375,0,298.06292724609375,1601.768310546875,2,2018-01-01,29,41,R_A3,STANDARD
0.0,4,0.18703147768974304,298.20135498046875,0,298.20135498046875,1603.8341064453125,3,2018-01-01,29,41,R_A3,STANDARD
0.0,5,0.2771121859550476,298.33978271484375,0,298.33978271484375,1605.89990234375,4,2018-01-01,29,41,R_A3,STANDARD
0.0,6,0.8188245892524719,298.47821044921875,0,298.47821044921875,1607.965576171875,5,2018-01-01,29,41,R_A3,STANDARD
0.0,7,0.6481541991233826,298.6166687011719,0,298.6166687011719,1610.031494140625,6,2018-01-01,29,41,R_A3,STANDARD
0.0,8,0.1983424872159958,298.7550964355469,0,298.7550964355469,1612.09716796875,7,2018-01-01,29,41,R_A3,STANDARD
0.0,9,0.19961872696876526,298.8935546875,0,298.8935546875,1614.1629638671875,8,2018-01-01,29,41,R_A3,STANDARD
0.0,10,0.8026187419891357,299.0320129394531,0,299.0320129394531,1616.228759765625,9,2018-01-01,29,41,R_A3,STANDARD
0.0,11,0.8014441728591919,299.17047119140625,0,299.17047119140625,1618.2945556640625,10,2018-01-01,29,41,R_A3,STANDARD
0.0,12,0.04746716096997261,299.317138671875,0,299.317138671875,1620.482421875,11,2018-01-01,29,41,R_A3,STANDARD
0.0,13,0.05488244444131851,299.4719543457031,0,299.4719543457031,1622.7921142578125,12,2018-01-01,29,41,R_A3,STANDARD
0.0,14,0.37343829870224,299.62677001953125,0,299.62677001953125,1625.101806640625,13,2018-01-01,29,41,R_A3,STANDARD
0.0,15,0.5015884041786194,299.93646240234375,0,299.93646240234375,1629.7213134765625,15,2018-01-01,29,41,R_A3,STANDARD
0.0,16,0.8083521127700806,300.0744934082031,0,300.0744934082031,1631.7802734375,16,2018-01-01,29,41,R_A3,STANDARD
0.0,17,0.6481541991233826,300.2694396972656,0,300.2694396972656,1634.6881103515625,27,2018-01-01,29,41,R_A3,STANDARD
0.0,18,0.09568314999341965,300.5209655761719,0,300.5209655761719,1638.4395751953125,28,2018-01-01,29,41,R_A3,STANDARD
0.0,19,0.05177793651819229,300.77252197265625,0,300.77252197265625,1642.1910400390625,29,2018-01-01,29,41,R_A3,STANDARD
0.0,20,0.6481541991233826,301.0240783691406,0,301.0240783691406,1645.9423828125,30,2018-01-01,29,41,R_A3,STANDARD
0.0,21,0.06594208627939224,301.275634765625,0,301.275634765625,1649.69384765625,31,2018-01-01,29,41,R_A3,STANDARD
0.0,1,0.051091279834508896,300.275390625,0,300.275390625,1634.776611328125,1,2018-01-01,30,52,R_A4,STANDARD
