SGAS,CONKPOS,PRESSURE,DEPTH,CONBPRES,CONIDX,CONIPOS,CONJPOS,DATE,WELL,WELLMODEL,DRAWDOWN,SWAT
0.0,1,300.8351135253906,1641.784423828125,300.8351135253906,1,22,30,2018-01-01,R_A2,STANDARD,0,0.053156740963459015
0.0,2,300.95269775390625,1643.5380859375,300.95269775390625,2,22,30,2018-01-01,R_A2,STANDARD,0,0.055777233093976974
0.0,3,301.0702819824219,1645.291748046875,301.0702819824219,3,22,30,2018-01-01,R_A2,STANDARD,0,0.059033073484897614
0.0,4,301.1878967285156,1647.0455322265625,301.1878967285156,4,22,30,2018-01-01,R_A2,STANDARD,0,0.06483883410692215
0.0,5,301.3055114746094,1648.7991943359375,301.3055114746094,5,22,30,2018-01-01,R_A2,STANDARD,0,0.08639280498027802
0.0,6,301.4231262207031,1650.552978515625,301.4231262207031,6,22,30,2018-01-01,R_A2,STANDARD,0,0.30163538455963135
0.0,7,301.5407409667969,1652.306640625,301.5407409667969,7,22,30,2018-01-01,R_A2,STANDARD,0,0.6481541991233826
0.0,8,301.6583557128906,1654.0604248046875,301.6583557128906,8,22,30,2018-01-01,R_A2,STANDARD,0,0.6481541991233826
0.0,9,301.7759704589844,1655.8140869140625,301.7759704589844,9,22,30,2018-01-01,R_A2,STANDARD,0,0.6481541991233826
0.0,10,301.8935852050781,1657.56787109375,301.8935852050781,10,22,30,2018-01-01,R_A2,STANDARD,0,0.6481541991233826
0.0,11,302.0202941894531,1659.4566650390625,302.0202941894531,11,22,30,2018-01-01,R_A2,STANDARD,0,0.07128633558750153
0.0,12,302.1560363769531,1661.4805908203125,302.1560363769531,12,22,30,2018-01-01,R_A2,STANDARD,0,0.07228391617536545
0.0,13,302.29180908203125,1663.504638671875,302.29180908203125,13,22,30,2018-01-01,R_A2,STANDARD,0,0.42789581418037415
0.0,14,302.4275817871094,1665.528564453125,302.4275817871094,14,22,30,2018-01-01,R_A2,STANDARD,0,0.473710834980011
0.0,15,302.5633544921875,1667.5526123046875,302.5633544921875,15,22,30,2018-01-01,R_A2,STANDARD,0,0.5526037216186523
0.0,16,302.6991271972656,1669.5765380859375,302.6991271972656,16,22,30,2018-01-01,R_A2,STANDARD,0,0.92973792552948
0.0,17,302.8349304199219,1671.6005859375,302.8349304199219,17,22,30,2018-01-01,R_A2,STANDARD,0,0.8993899822235107
0.0,18,302.95831298828125,1673.439697265625,302.95831298828125,18,22,30,2018-01-01,R_A2,STANDARD,0,0.9445486664772034
0.0,18,302.96185302734375,1673.4927978515625,302.96185302734375,19,22,29,2018-01-01,R_A2,STANDARD,0,0.9367862343788147
0.0,19,303.04010009765625,1674.65869140625,303.04010009765625,20,22,29,2018-01-01,R_A2,STANDARD,0,0.9391094446182251
0.0,26,303.1150207519531,1675.7757568359375,303.1150207519531,21,22,29,2018-01-01,R_A2,STANDARD,0,0.13852474093437195
0.0,27,303.23468017578125,1677.5589599609375,303.23468017578125,22,22,29,2018-01-01,R_A2,STANDARD,0,1.0
0.0,28,303.3543395996094,1679.3421630859375,303.3543395996094,23,22,29,2018-01-01,R_A2,STANDARD,0,1.0
0.0,29,303.4739685058594,1681.1253662109375,303.4739685058594,24,22,29,2018-01-01,R_A2,STANDARD,0,1.0
0.0,30,303.9491882324219,1682.90869140625,303.9491882324219,25,22,29,2018-01-01,R_A2,STANDARD,0,1.0
0.0,1,298.6873779296875,1609.7467041015625,298.6873779296875,1,28,41,2018-01-01,R_A3,STANDARD,0,0.19961023330688477
0.0,2,298.82012939453125,1611.7271728515625,298.82012939453125,2,28,41,2018-01-01,R_A3,STANDARD,0,0.19498392939567566
0.0,3,298.9528503417969,1613.707763671875,298.9528503417969,3,28,41,2018-01-01,R_A3,STANDARD,0,0.19495387375354767
