PRESSURE,DEPTH,DRAWDOWN,SWAT,WELL,WELLMODEL,DATE,CONJPOS,CONKPOS,SGAS,CONIDX,CONIPOS,CONBPRES
300.8038635253906,1641.23193359375,0,0.053215835243463516,R_A2,STANDARD,2018-01-01,30,1,0.0,1,22,300.8038635253906
300.92816162109375,1643.0855712890625,0,0.05564261972904205,R_A2,STANDARD,2018-01-01,30,2,0.0,2,22,300.92816162109375
301.0524597167969,1644.9393310546875,0,0.05838942155241966,R_A2,STANDARD,2018-01-01,30,3,0.0,3,22,301.0524597167969
301.1767883300781,1646.7930908203125,0,0.13794009387493134,R_A2,STANDARD,2018-01-01,30,4,0.0,4,22,301.1767883300781
301.30108642578125,1648.6468505859375,0,0.6481541991233826,R_A2,STANDARD,2018-01-01,30,5,0.0,5,22,301.30108642578125
301.4254150390625,1650.5006103515625,0,0.30976250767707825,R_A2,STANDARD,2018-01-01,30,6,0.0,6,22,301.4254150390625
301.54974365234375,1652.3544921875,0,0.8791894316673279,R_A2,STANDARD,2018-01-01,30,7,0.0,7,22,301.54974365234375
301.674072265625,1654.2081298828125,0,0.8606222867965698,R_A2,STANDARD,2018-01-01,30,8,0.0,8,22,301.674072265625
301.79840087890625,1656.0618896484375,0,0.8723413348197937,R_A2,STANDARD,2018-01-01,30,9,0.0,9,22,301.79840087890625
301.9227294921875,1657.9156494140625,0,0.8927464485168457,R_A2,STANDARD,2018-01-01,30,10,0.0,10,22,301.9227294921875
302.05657958984375,1659.9111328125,0,0.0705208033323288,R_A2,STANDARD,2018-01-01,30,11,0.0,11,22,302.05657958984375
302.199951171875,1662.048583984375,0,0.07020808011293411,R_A2,STANDARD,2018-01-01,30,12,0.0,12,22,302.199951171875
302.34332275390625,1664.185791015625,0,0.4398976266384125,R_A2,STANDARD,2018-01-01,30,13,0.0,13,22,302.34332275390625
302.4866943359375,1666.3231201171875,0,0.47517237067222595,R_A2,STANDARD,2018-01-01,30,14,0.0,14,22,302.4866943359375
302.63006591796875,1668.46044921875,0,0.9151402115821838,R_A2,STANDARD,2018-01-01,30,15,0.0,15,22,302.63006591796875
302.7734680175781,1670.597900390625,0,0.9491283893585205,R_A2,STANDARD,2018-01-01,30,16,0.0,16,22,302.7734680175781
302.9168395996094,1672.7352294921875,0,0.9079113602638245,R_A2,STANDARD,2018-01-01,30,17,0.0,17,22,302.9168395996094
