Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:59
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       241382049.26         40343170.64         29320705.62         18440695.05
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  241382049.26         40343170.64         29320705.62         18440695.05
MidReek    1                       175847540.38         29544056.60         20323659.36         12782175.49
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  175847540.38         29544056.60         20323659.36         12782175.49
LowerReek  1                        97800116.59         18038005.83         13882552.04          8731164.66
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                   97800116.59         18038005.83         13882552.04          8731164.66
Totals     1                       515029706.22         87925233.07         63526917.02         39954035.20
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  515029706.22         87925233.07         63526917.02         39954035.20
