ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,Region_1,241382049.26,40343170.64,29320705.62,18440695.05
UpperReek,Region_2,0.0,0.0,0.0,0.0
MidReek,Region_1,175847540.38,29544056.6,20323659.36,12782175.49
MidReek,Region_2,0.0,0.0,0.0,0.0
LowerReek,Region_1,97800116.59,18038005.83,13882552.04,8731164.66
LowerReek,Region_2,0.0,0.0,0.0,0.0
