CONKPOS,SWAT,SGAS,CONBPRES,CONIDX,CONJPOS,DATE,PRESSURE,CONIPOS,WELLMODEL,DEPTH,WELL,DRAWDOWN
1,0.11639835685491562,0.0,300.6733093261719,1,30,2018-01-01,300.6733093261719,22,STANDARD,1641.094970703125,R_A2,0
2,0.05913596972823143,0.0,300.7936096191406,2,30,2018-01-01,300.7936096191406,22,STANDARD,1642.8890380859375,R_A2,0
3,0.1264522522687912,0.0,300.9139099121094,3,30,2018-01-01,300.9139099121094,22,STANDARD,1644.68310546875,R_A2,0
4,0.10851117223501205,0.0,301.0342102050781,4,30,2018-01-01,301.0342102050781,22,STANDARD,1646.4771728515625,R_A2,0
5,0.11078716069459915,0.0,301.1545104980469,5,30,2018-01-01,301.1545104980469,22,STANDARD,1648.2713623046875,R_A2,0
6,0.31581538915634155,0.0,301.27484130859375,6,30,2018-01-01,301.27484130859375,22,STANDARD,1650.0654296875,R_A2,0
7,0.8967062830924988,0.0,301.3951721191406,7,30,2018-01-01,301.3951721191406,22,STANDARD,1651.859619140625,R_A2,0
8,0.8729602694511414,0.0,301.5154724121094,8,30,2018-01-01,301.5154724121094,22,STANDARD,1653.6536865234375,R_A2,0
9,0.9158713817596436,0.0,301.63580322265625,9,30,2018-01-01,301.63580322265625,22,STANDARD,1655.44775390625,R_A2,0
10,0.9034853577613831,0.0,301.7561340332031,10,30,2018-01-01,301.7561340332031,22,STANDARD,1657.2418212890625,R_A2,0
11,0.07596161216497421,0.0,301.88323974609375,11,30,2018-01-01,301.88323974609375,22,STANDARD,1659.1368408203125,R_A2,0
12,0.08016353845596313,0.0,302.01708984375,12,30,2018-01-01,302.01708984375,22,STANDARD,1661.132568359375,R_A2,0
13,0.45490843057632446,0.0,302.1509704589844,13,30,2018-01-01,302.1509704589844,22,STANDARD,1663.12841796875,R_A2,0
14,0.5153446793556213,0.0,302.28485107421875,14,30,2018-01-01,302.28485107421875,22,STANDARD,1665.1241455078125,R_A2,0
15,0.712632954120636,0.0,302.4187316894531,15,30,2018-01-01,302.4187316894531,22,STANDARD,1667.1199951171875,R_A2,0
16,0.9810691475868225,0.0,302.5526123046875,16,30,2018-01-01,302.5526123046875,22,STANDARD,1669.11572265625,R_A2,0
17,0.945175051689148,0.0,302.6864929199219,17,30,2018-01-01,302.6864929199219,22,STANDARD,1671.111572265625,R_A2,0
18,0.9814856648445129,0.0,302.8123779296875,18,30,2018-01-01,302.8123779296875,22,STANDARD,1672.9881591796875,R_A2,0
18,0.9939976930618286,0.0,302.89569091796875,19,29,2018-01-01,302.89569091796875,22,STANDARD,1674.229736328125,R_A2,0
27,1.0,0.0,303.02569580078125,20,29,2018-01-01,303.02569580078125,22,STANDARD,1676.1676025390625,R_A2,0
28,1.0,0.0,303.47802734375,21,29,2018-01-01,303.47802734375,22,STANDARD,1677.9368896484375,R_A2,0
29,1.0,0.0,303.64569091796875,22,29,2018-01-01,303.64569091796875,22,STANDARD,1679.7061767578125,R_A2,0
30,1.0,0.0,303.8133544921875,23,29,2018-01-01,303.8133544921875,22,STANDARD,1681.4754638671875,R_A2,0
31,1.0,0.0,303.98101806640625,24,29,2018-01-01,303.98101806640625,22,STANDARD,1683.2447509765625,R_A2,0
1,0.6481541991233826,0.0,298.53814697265625,1,41,2018-01-01,298.53814697265625,28,STANDARD,1609.243408203125,R_A3,0
2,0.11823459714651108,0.0,298.676513671875,2,41,2018-01-01,298.676513671875,28,STANDARD,1611.3077392578125,R_A3,0
3,0.17559900879859924,0.0,298.8148498535156,3,41,2018-01-01,298.8148498535156,28,STANDARD,1613.3720703125,R_A3,0
4,0.18915219604969025,0.0,298.9532165527344,4,41,2018-01-01,298.9532165527344,28,STANDARD,1615.4365234375,R_A3,0
5,0.6481541991233826,0.0,299.0915832519531,5,41,2018-01-01,299.0915832519531,28,STANDARD,1617.5008544921875,R_A3,0
6,0.2591858208179474,0.0,299.2299499511719,6,41,2018-01-01,299.2299499511719,28,STANDARD,1619.565185546875,R_A3,0
6,0.23034392297267914,0.0,298.54638671875,7,41,2018-01-01,298.54638671875,29,STANDARD,1609.3663330078125,R_A3,0
7,0.19715377688407898,0.0,298.68377685546875,8,41,2018-01-01,298.68377685546875,29,STANDARD,1611.4163818359375,R_A3,0
8,0.24272115528583527,0.0,298.8211669921875,9,41,2018-01-01,298.8211669921875,29,STANDARD,1613.46630859375,R_A3,0
9,0.7983514070510864,0.0,298.95855712890625,10,41,2018-01-01,298.95855712890625,29,STANDARD,1615.516357421875,R_A3,0
10,0.7988103032112122,0.0,299.095947265625,11,41,2018-01-01,299.095947265625,29,STANDARD,1617.5662841796875,R_A3,0
11,0.048717088997364044,0.0,299.24237060546875,12,41,2018-01-01,299.24237060546875,29,STANDARD,1619.750732421875,R_A3,0
12,0.05399089306592941,0.0,299.3978271484375,13,41,2018-01-01,299.3978271484375,29,STANDARD,1622.0697021484375,R_A3,0
13,0.3697081506252289,0.0,299.5532531738281,14,41,2018-01-01,299.5532531738281,29,STANDARD,1624.388671875,R_A3,0
14,0.38560113310813904,0.0,299.7087097167969,15,41,2018-01-01,299.7087097167969,29,STANDARD,1626.707763671875,R_A3,0
15,0.5033208727836609,0.0,299.8641662597656,16,41,2018-01-01,299.8641662597656,29,STANDARD,1629.026611328125,R_A3,0
16,0.8153588175773621,0.0,299.992919921875,17,41,2018-01-01,299.992919921875,29,STANDARD,1630.9468994140625,R_A3,0
27,1.0,0.0,300.16583251953125,18,41,2018-01-01,300.16583251953125,29,STANDARD,1633.5262451171875,R_A3,0
28,0.05029548332095146,0.0,300.40966796875,19,41,2018-01-01,300.40966796875,29,STANDARD,1637.1630859375,R_A3,0
29,0.08577360957860947,0.0,300.6535339355469,20,41,2018-01-01,300.6535339355469,29,STANDARD,1640.8001708984375,R_A3,0
30,0.6888055205345154,0.0,300.89739990234375,21,41,2018-01-01,300.89739990234375,29,STANDARD,1644.4371337890625,R_A3,0
31,0.09458150714635849,0.0,301.14129638671875,22,41,2018-01-01,301.14129638671875,29,STANDARD,1648.0740966796875,R_A3,0
1,0.04987418279051781,0.0,300.009033203125,1,52,2018-01-01,300.009033203125,30,STANDARD,1631.1873779296875,R_A4,0
1,0.062354348599910736,0.0,299.7571105957031,2,52,2018-01-01,299.7571105957031,31,STANDARD,1627.4293212890625,R_A4,0
2,0.06649763137102127,0.0,299.89520263671875,3,52,2018-01-01,299.89520263671875,31,STANDARD,1629.4896240234375,R_A4,0
3,0.05385250598192215,0.0,300.0333251953125,4,52,2018-01-01,300.0333251953125,31,STANDARD,1631.5498046875,R_A4,0
4,0.057518646121025085,0.0,300.17144775390625,5,52,2018-01-01,300.17144775390625,31,STANDARD,1633.610107421875,R_A4,0
4,0.05650549381971359,0.0,300.0901184082031,6,52,2018-01-01,300.0901184082031,32,STANDARD,1632.3968505859375,R_A4,0
4,0.05973724648356438,0.0,300.3236999511719,7,51,2018-01-01,300.3236999511719,32,STANDARD,1635.880615234375,R_A4,0
4,0.060658808797597885,0.0,300.4202575683594,8,51,2018-01-01,300.4202575683594,33,STANDARD,1637.321044921875,R_A4,0
3,0.058803532272577286,0.0,300.29644775390625,9,51,2018-01-01,300.29644775390625,33,STANDARD,1635.474609375,R_A4,0
4,0.06411956250667572,0.0,300.74395751953125,10,50,2018-01-01,300.74395751953125,33,STANDARD,1642.1485595703125,R_A4,0
4,0.06115506589412689,0.0,300.67578125,11,50,2018-01-01,300.67578125,34,STANDARD,1641.132080078125,R_A4,0
3,0.10109613835811615,0.0,300.5467224121094,12,50,2018-01-01,300.5467224121094,34,STANDARD,1639.20703125,R_A4,0
3,0.09800664335489273,0.0,300.66064453125,13,50,2018-01-01,300.66064453125,35,STANDARD,1640.9061279296875,R_A4,0
2,0.20057255029678345,0.0,300.53570556640625,14,50,2018-01-01,300.53570556640625,35,STANDARD,1639.0426025390625,R_A4,0
2,0.23823222517967224,0.0,300.72943115234375,15,49,2018-01-01,300.72943115234375,35,STANDARD,1641.93212890625,R_A4,0
30,0.05358772352337837,0.0,300.7579650878906,16,49,2018-01-01,300.7579650878906,36,STANDARD,1642.357421875,R_A4,0
30,0.08878301084041595,0.0,300.5735168457031,17,48,2018-01-01,300.5735168457031,36,STANDARD,1639.6068115234375,R_A4,0
30,0.18201863765716553,0.0,301.0526123046875,18,48,2018-01-01,301.0526123046875,37,STANDARD,1646.7513427734375,R_A4,0
