WELL,PRESSURE,SGAS,CONIDX,CONIPOS,CONJPOS,DRAWDOWN,DATE,CONKPOS,SWAT,DEPTH,WELLMODEL,CONBPRES
R_A2,300.70849609375,0.0,1,22,30,0,2018-01-01,1,0.05369201675057411,1640.461181640625,STANDARD,300.70849609375
R_A2,300.82916259765625,0.0,2,22,30,0,2018-01-01,2,0.056521933525800705,1642.2606201171875,STANDARD,300.82916259765625
R_A2,300.9497985839844,0.0,3,22,30,0,2018-01-01,3,0.05895094573497772,1644.059814453125,STANDARD,300.9497985839844
R_A2,301.0704650878906,0.0,4,22,30,0,2018-01-01,4,0.06508184224367142,1645.859130859375,STANDARD,301.0704650878906
R_A2,301.1911315917969,0.0,5,22,30,0,2018-01-01,5,0.0683063343167305,1647.658447265625,STANDARD,301.1911315917969
R_A2,301.3117980957031,0.0,6,22,30,0,2018-01-01,6,0.3074934780597687,1649.457763671875,STANDARD,301.3117980957031
R_A2,301.4324645996094,0.0,7,22,30,0,2018-01-01,7,0.8796862363815308,1651.257080078125,STANDARD,301.4324645996094
R_A2,301.5531311035156,0.0,8,22,30,0,2018-01-01,8,0.8702583312988281,1653.056396484375,STANDARD,301.5531311035156
R_A2,301.6737976074219,0.0,9,22,30,0,2018-01-01,9,0.8869584202766418,1654.8555908203125,STANDARD,301.6737976074219
R_A2,301.79449462890625,0.0,10,22,30,0,2018-01-01,10,0.8991891145706177,1656.655029296875,STANDARD,301.79449462890625
R_A2,301.92095947265625,0.0,11,22,30,0,2018-01-01,11,0.07074125856161118,1658.540771484375,STANDARD,301.92095947265625
R_A2,302.0532531738281,0.0,12,22,30,0,2018-01-01,12,0.0724443569779396,1660.5130615234375,STANDARD,302.0532531738281
R_A2,302.185546875,0.0,13,22,30,0,2018-01-01,13,0.4340485632419586,1662.4852294921875,STANDARD,302.185546875
R_A2,302.3178405761719,0.0,14,22,30,0,2018-01-01,14,0.4778776466846466,1664.45751953125,STANDARD,302.3178405761719
R_A2,302.45013427734375,0.0,15,22,30,0,2018-01-01,15,0.656809389591217,1666.4296875,STANDARD,302.45013427734375
R_A2,302.58245849609375,0.0,16,22,30,0,2018-01-01,16,0.9296478033065796,1668.4019775390625,STANDARD,302.58245849609375
R_A2,302.7147521972656,0.0,17,22,30,0,2018-01-01,17,0.9024631977081299,1670.374267578125,STANDARD,302.7147521972656
R_A2,302.887451171875,0.0,18,22,29,0,2018-01-01,17,0.952856183052063,1672.9483642578125,STANDARD,302.887451171875
R_A2,303.0215148925781,0.0,19,22,29,0,2018-01-01,18,0.9709317684173584,1674.9466552734375,STANDARD,303.0215148925781
R_A2,303.1001892089844,0.0,20,22,29,0,2018-01-01,19,0.9874005913734436,1676.1195068359375,STANDARD,303.1001892089844
R_A2,303.1708679199219,0.0,21,22,29,0,2018-01-01,27,1.0,1677.1727294921875,STANDARD,303.1708679199219
R_A2,303.28668212890625,0.0,22,22,29,0,2018-01-01,28,1.0,1678.8988037109375,STANDARD,303.28668212890625
R_A2,303.7327575683594,0.0,23,22,29,0,2018-01-01,29,1.0,1680.6248779296875,STANDARD,303.7327575683594
R_A2,303.8963317871094,0.0,24,22,29,0,2018-01-01,30,1.0,1682.350830078125,STANDARD,303.8963317871094
R_A2,304.05987548828125,0.0,25,22,29,0,2018-01-01,31,1.0,1684.076904296875,STANDARD,304.05987548828125
R_A3,298.6622314453125,0.0,1,28,41,0,2018-01-01,1,0.2327338457107544,1609.9364013671875,STANDARD,298.6622314453125
R_A3,298.7965393066406,0.0,2,28,41,0,2018-01-01,2,0.19250944256782532,1611.9400634765625,STANDARD,298.7965393066406
R_A3,298.9308166503906,0.0,3,28,41,0,2018-01-01,3,0.1870582103729248,1613.9437255859375,STANDARD,298.9308166503906
R_A3,299.0650939941406,0.0,4,28,41,0,2018-01-01,4,0.19902347028255463,1615.947265625,STANDARD,299.0650939941406
R_A3,299.19940185546875,0.0,5,28,41,0,2018-01-01,5,0.682005763053894,1617.950927734375,STANDARD,299.19940185546875
R_A3,298.5945129394531,0.0,6,29,41,0,2018-01-01,5,0.8123686909675598,1608.9256591796875,STANDARD,298.5945129394531
R_A3,298.7300109863281,0.0,7,29,41,0,2018-01-01,6,0.6481541991233826,1610.947265625,STANDARD,298.7300109863281
R_A3,298.865478515625,0.0,8,29,41,0,2018-01-01,7,0.19635266065597534,1612.968994140625,STANDARD,298.865478515625
R_A3,299.0009765625,0.0,9,29,41,0,2018-01-01,8,0.19715560972690582,1614.990478515625,STANDARD,299.0009765625
R_A3,299.136474609375,0.0,10,29,41,0,2018-01-01,9,0.7940043210983276,1617.01220703125,STANDARD,299.136474609375
R_A3,299.27197265625,0.0,11,29,41,0,2018-01-01,10,0.7972468137741089,1619.0338134765625,STANDARD,299.27197265625
R_A3,299.4127197265625,0.0,12,29,41,0,2018-01-01,11,0.048007361590862274,1621.13330078125,STANDARD,299.4127197265625
R_A3,299.55865478515625,0.0,13,29,41,0,2018-01-01,12,0.05419531464576721,1623.3106689453125,STANDARD,299.55865478515625
R_A3,299.7046203613281,0.0,14,29,41,0,2018-01-01,13,0.36679065227508545,1625.488037109375,STANDARD,299.7046203613281
R_A3,299.99658203125,0.0,15,29,41,0,2018-01-01,15,0.5041180849075317,1629.8428955078125,STANDARD,299.99658203125
R_A3,300.1216125488281,0.0,16,29,41,0,2018-01-01,16,0.8037617206573486,1631.707763671875,STANDARD,300.1216125488281
R_A3,300.2889709472656,0.0,17,29,41,0,2018-01-01,27,0.13203231990337372,1634.204345703125,STANDARD,300.2889709472656
R_A3,300.5196838378906,0.0,18,29,41,0,2018-01-01,28,0.04218701273202896,1637.64501953125,STANDARD,300.5196838378906
R_A3,300.7503662109375,0.0,19,29,41,0,2018-01-01,29,0.04798618704080582,1641.085693359375,STANDARD,300.7503662109375
R_A3,300.9810791015625,0.0,20,29,41,0,2018-01-01,30,0.26641178131103516,1644.5263671875,STANDARD,300.9810791015625
R_A3,301.2118225097656,0.0,21,29,41,0,2018-01-01,31,0.11820527911186218,1647.967041015625,STANDARD,301.2118225097656
R_A4,300.18841552734375,0.0,1,30,52,0,2018-01-01,1,0.05269017443060875,1632.7042236328125,STANDARD,300.18841552734375
R_A4,299.8751525878906,0.0,2,31,52,0,2018-01-01,1,0.04930208623409271,1628.03173828125,STANDARD,299.8751525878906
R_A4,300.0173034667969,0.0,3,31,52,0,2018-01-01,2,0.05034255236387253,1630.152099609375,STANDARD,300.0173034667969
R_A4,300.1594543457031,0.0,4,31,52,0,2018-01-01,3,0.052666258066892624,1632.2724609375,STANDARD,300.1594543457031
R_A4,300.3016357421875,0.0,5,31,52,0,2018-01-01,4,0.05493699014186859,1634.3929443359375,STANDARD,300.3016357421875
R_A4,300.17333984375,0.0,6,32,52,0,2018-01-01,4,0.055942606180906296,1632.4796142578125,STANDARD,300.17333984375
R_A4,300.45465087890625,0.0,7,32,51,0,2018-01-01,4,0.05706166476011276,1636.6754150390625,STANDARD,300.45465087890625
R_A4,300.33154296875,0.0,8,32,51,0,2018-01-01,3,0.056900810450315475,1634.8389892578125,STANDARD,300.33154296875
R_A4,300.4644775390625,0.0,9,33,51,0,2018-01-01,3,0.05830325186252594,1636.8218994140625,STANDARD,300.4644775390625
R_A4,300.34185791015625,0.0,10,33,51,0,2018-01-01,2,0.056393563747406006,1634.9931640625,STANDARD,300.34185791015625
R_A4,300.9192810058594,0.0,11,33,50,0,2018-01-01,3,0.06334225833415985,1643.604736328125,STANDARD,300.9192810058594
R_A4,300.7377624511719,0.0,12,34,50,0,2018-01-01,3,0.06209011748433113,1640.8974609375,STANDARD,300.7377624511719
R_A4,300.7731018066406,0.0,13,35,50,0,2018-01-01,3,0.06453382968902588,1641.4246826171875,STANDARD,300.7731018066406
R_A4,300.6510009765625,0.0,14,35,50,0,2018-01-01,2,0.17866520583629608,1639.6038818359375,STANDARD,300.6510009765625
R_A4,300.5289306640625,0.0,15,35,50,0,2018-01-01,1,0.37121111154556274,1637.7830810546875,STANDARD,300.5289306640625
R_A4,300.8227233886719,0.0,16,35,49,0,2018-01-01,30,0.6481541991233826,1642.16455078125,STANDARD,300.8227233886719
R_A4,300.42218017578125,0.0,17,35,49,0,2018-01-01,29,0.31241369247436523,1636.191162109375,STANDARD,300.42218017578125
R_A4,300.78582763671875,0.0,18,36,49,0,2018-01-01,29,0.25707748532295227,1641.6142578125,STANDARD,300.78582763671875
R_A4,300.6468505859375,0.0,19,36,48,0,2018-01-01,29,0.08203112334012985,1639.5419921875,STANDARD,300.6468505859375
R_A4,301.0610656738281,0.0,20,37,48,0,2018-01-01,29,0.6481541991233826,1645.718994140625,STANDARD,301.0610656738281
R_A4,301.33880615234375,0.0,21,38,48,0,2018-01-01,29,0.6481541991233826,1649.860595703125,STANDARD,301.33880615234375
R_A4,301.6768493652344,0.0,22,38,47,0,2018-01-01,29,0.6481541991233826,1654.901123046875,STANDARD,301.6768493652344
R_A5,303.96551513671875,0.0,1,31,20,0,2018-01-01,1,1.0,1686.3079833984375,STANDARD,303.96551513671875
R_A5,304.1914367675781,0.0,2,31,20,0,2018-01-01,2,1.0,1688.692138671875,STANDARD,304.1914367675781
R_A5,304.4173889160156,0.0,3,31,20,0,2018-01-01,3,1.0,1691.076171875,STANDARD,304.4173889160156
R_A5,304.643310546875,0.0,4,31,20,0,2018-01-01,4,1.0,1693.4603271484375,STANDARD,304.643310546875
R_A5,304.8692321777344,0.0,5,31,20,0,2018-01-01,5,1.0,1695.844482421875,STANDARD,304.8692321777344
R_A5,305.0951843261719,0.0,6,31,20,0,2018-01-01,6,1.0,1698.2286376953125,STANDARD,305.0951843261719
R_A5,305.6269226074219,0.0,7,31,20,0,2018-01-01,7,1.0,1700.61279296875,STANDARD,305.6269226074219
R_A5,306.20306396484375,0.0,8,31,20,0,2018-01-01,11,1.0,1709.917724609375,STANDARD,306.20306396484375
R_A5,306.3851318359375,0.0,9,31,20,0,2018-01-01,12,1.0,1711.838623046875,STANDARD,306.3851318359375
R_A5,306.5791320800781,0.0,10,31,20,0,2018-01-01,13,1.0,1713.7593994140625,STANDARD,306.5791320800781
