CONIDX,CONJPOS,CONBPRES,SWAT,SGAS,DRAWDOWN,CONKPOS,DEPTH,PRESSURE,DATE,WELL,WELLMODEL,CONIPOS
1,30,300.6733093261719,0.055748213082551956,0.0,0,1,1641.094970703125,300.6733093261719,2018-01-01,R_A2,STANDARD,22
2,30,300.7936096191406,0.05881066620349884,0.0,0,2,1642.8890380859375,300.7936096191406,2018-01-01,R_A2,STANDARD,22
3,30,300.9139099121094,0.06129923462867737,0.0,0,3,1644.68310546875,300.9139099121094,2018-01-01,R_A2,STANDARD,22
4,30,301.0342102050781,0.06717785447835922,0.0,0,4,1646.4771728515625,301.0342102050781,2018-01-01,R_A2,STANDARD,22
5,30,301.1545104980469,0.13372820615768433,0.0,0,5,1648.2713623046875,301.1545104980469,2018-01-01,R_A2,STANDARD,22
6,30,301.27484130859375,0.30576056241989136,0.0,0,6,1650.0654296875,301.27484130859375,2018-01-01,R_A2,STANDARD,22
7,30,301.3951721191406,0.893852174282074,0.0,0,7,1651.859619140625,301.3951721191406,2018-01-01,R_A2,STANDARD,22
8,30,301.5154724121094,0.6481541991233826,0.0,0,8,1653.6536865234375,301.5154724121094,2018-01-01,R_A2,STANDARD,22
9,30,301.63580322265625,0.18723928928375244,0.0,0,9,1655.44775390625,301.63580322265625,2018-01-01,R_A2,STANDARD,22
10,30,301.7561340332031,0.9045571684837341,0.0,0,10,1657.2418212890625,301.7561340332031,2018-01-01,R_A2,STANDARD,22
11,30,301.88323974609375,0.07894028723239899,0.0,0,11,1659.1368408203125,301.88323974609375,2018-01-01,R_A2,STANDARD,22
12,30,302.01708984375,0.079011470079422,0.0,0,12,1661.132568359375,302.01708984375,2018-01-01,R_A2,STANDARD,22
13,30,302.1509704589844,0.45304223895072937,0.0,0,13,1663.12841796875,302.1509704589844,2018-01-01,R_A2,STANDARD,22
14,30,302.28485107421875,0.5042955279350281,0.0,0,14,1665.1241455078125,302.28485107421875,2018-01-01,R_A2,STANDARD,22
15,30,302.4187316894531,0.6907110214233398,0.0,0,15,1667.1199951171875,302.4187316894531,2018-01-01,R_A2,STANDARD,22
16,30,302.5526123046875,0.964935839176178,0.0,0,16,1669.11572265625,302.5526123046875,2018-01-01,R_A2,STANDARD,22
17,30,302.6864929199219,0.9508187174797058,0.0,0,17,1671.111572265625,302.6864929199219,2018-01-01,R_A2,STANDARD,22
18,30,302.8123779296875,0.983161985874176,0.0,0,18,1672.9881591796875,302.8123779296875,2018-01-01,R_A2,STANDARD,22
19,29,302.89569091796875,0.9968782663345337,0.0,0,18,1674.229736328125,302.89569091796875,2018-01-01,R_A2,STANDARD,22
20,29,303.02569580078125,1.0,0.0,0,27,1676.1676025390625,303.02569580078125,2018-01-01,R_A2,STANDARD,22
21,29,303.47802734375,1.0,0.0,0,28,1677.9368896484375,303.47802734375,2018-01-01,R_A2,STANDARD,22
22,29,303.64569091796875,1.0,0.0,0,29,1679.7061767578125,303.64569091796875,2018-01-01,R_A2,STANDARD,22
23,29,303.8133544921875,1.0,0.0,0,30,1681.4754638671875,303.8133544921875,2018-01-01,R_A2,STANDARD,22
24,29,303.98101806640625,1.0,0.0,0,31,1683.2447509765625,303.98101806640625,2018-01-01,R_A2,STANDARD,22
1,41,298.53814697265625,0.6481541991233826,0.0,0,1,1609.243408203125,298.53814697265625,2018-01-01,R_A3,STANDARD,28
2,41,298.676513671875,0.19721345603466034,0.0,0,2,1611.3077392578125,298.676513671875,2018-01-01,R_A3,STANDARD,28
3,41,298.8148498535156,0.15777362883090973,0.0,0,3,1613.3720703125,298.8148498535156,2018-01-01,R_A3,STANDARD,28
