CONJPOS,DATE,CONIDX,DEPTH,SGAS,CONIPOS,CONKPOS,DRAWDOWN,CONBPRES,PRESSURE,SWAT,WELLMODEL,WELL
30,2018-01-01,1,1640.4501953125,0.0,22,1,0,300.7246398925781,300.7246398925781,0.05422968044877052,STANDARD,R_A2
30,2018-01-01,2,1642.1744384765625,0.0,22,2,0,300.8402404785156,300.8402404785156,0.055753014981746674,STANDARD,R_A2
30,2018-01-01,3,1643.898681640625,0.0,22,3,0,300.95587158203125,300.95587158203125,0.06066685914993286,STANDARD,R_A2
30,2018-01-01,4,1645.622802734375,0.0,22,4,0,301.07147216796875,301.07147216796875,0.06323246657848358,STANDARD,R_A2
30,2018-01-01,5,1647.346923828125,0.0,22,5,0,301.1871032714844,301.1871032714844,0.06552860140800476,STANDARD,R_A2
30,2018-01-01,6,1649.0711669921875,0.0,22,6,0,301.302734375,301.302734375,0.30796515941619873,STANDARD,R_A2
30,2018-01-01,7,1650.79541015625,0.0,22,7,0,301.4183654785156,301.4183654785156,0.872462809085846,STANDARD,R_A2
30,2018-01-01,8,1652.51953125,0.0,22,8,0,301.53399658203125,301.53399658203125,0.8680431842803955,STANDARD,R_A2
30,2018-01-01,9,1654.24365234375,0.0,22,9,0,301.6496276855469,301.6496276855469,0.8791084289550781,STANDARD,R_A2
30,2018-01-01,10,1655.9678955078125,0.0,22,10,0,301.7652587890625,301.7652587890625,0.8899636268615723,STANDARD,R_A2
30,2018-01-01,11,1657.916015625,0.0,22,11,0,301.89593505859375,301.89593505859375,0.06942213326692581,STANDARD,R_A2
30,2018-01-01,12,1660.087890625,0.0,22,12,0,302.0416259765625,302.0416259765625,0.0647720918059349,STANDARD,R_A2
30,2018-01-01,13,1662.2598876953125,0.0,22,13,0,302.1872863769531,302.1872863769531,0.437394380569458,STANDARD,R_A2
30,2018-01-01,14,1664.431884765625,0.0,22,14,0,302.3329772949219,302.3329772949219,0.4878118932247162,STANDARD,R_A2
30,2018-01-01,15,1666.603759765625,0.0,22,15,0,302.47869873046875,302.47869873046875,0.9080844521522522,STANDARD,R_A2
30,2018-01-01,16,1668.7757568359375,0.0,22,16,0,302.6243896484375,302.6243896484375,0.903197169303894,STANDARD,R_A2
30,2018-01-01,17,1670.9190673828125,0.0,22,17,0,302.7681884765625,302.7681884765625,0.9119270443916321,STANDARD,R_A2
30,2018-01-01,18,1672.2288818359375,0.0,22,18,0,302.8560485839844,302.8560485839844,0.9214414358139038,STANDARD,R_A2
30,2018-01-01,19,1673.3048095703125,0.0,22,27,0,302.92822265625,302.92822265625,1.0,STANDARD,R_A2
30,2018-01-01,20,1674.95166015625,0.0,22,28,0,303.0387268066406,303.0387268066406,1.0,STANDARD,R_A2
29,2018-01-01,21,1681.6964111328125,0.0,22,28,0,303.83428955078125,303.83428955078125,1.0,STANDARD,R_A2
29,2018-01-01,22,1683.4884033203125,0.0,22,29,0,304.0041198730469,304.0041198730469,1.0,STANDARD,R_A2
29,2018-01-01,23,1685.280517578125,0.0,22,30,0,304.1739501953125,304.1739501953125,1.0,STANDARD,R_A2
