SGAS,PRESSURE,WELLMODEL,SWAT,CONKPOS,DRAWDOWN,CONIDX,DEPTH,CONBPRES,CONIPOS,CONJPOS,DATE,WELL
0.0,300.6733093261719,STANDARD,0.05760246515274048,1,0,1,1641.094970703125,300.6733093261719,22,30,2018-01-01,R_A2
0.0,300.7936096191406,STANDARD,0.05853121727705002,2,0,2,1642.8890380859375,300.7936096191406,22,30,2018-01-01,R_A2
0.0,300.9139099121094,STANDARD,0.06116862595081329,3,0,3,1644.68310546875,300.9139099121094,22,30,2018-01-01,R_A2
0.0,301.0342102050781,STANDARD,0.0663427859544754,4,0,4,1646.4771728515625,301.0342102050781,22,30,2018-01-01,R_A2
0.0,301.1545104980469,STANDARD,0.0687314122915268,5,0,5,1648.2713623046875,301.1545104980469,22,30,2018-01-01,R_A2
0.0,301.27484130859375,STANDARD,0.3121729791164398,6,0,6,1650.0654296875,301.27484130859375,22,30,2018-01-01,R_A2
0.0,301.3951721191406,STANDARD,0.8978545665740967,7,0,7,1651.859619140625,301.3951721191406,22,30,2018-01-01,R_A2
0.0,301.5154724121094,STANDARD,0.8618757724761963,8,0,8,1653.6536865234375,301.5154724121094,22,30,2018-01-01,R_A2
0.0,301.63580322265625,STANDARD,0.9105261564254761,9,0,9,1655.44775390625,301.63580322265625,22,30,2018-01-01,R_A2
0.0,301.7561340332031,STANDARD,0.9083951115608215,10,0,10,1657.2418212890625,301.7561340332031,22,30,2018-01-01,R_A2
0.0,301.88323974609375,STANDARD,0.07604346424341202,11,0,11,1659.1368408203125,301.88323974609375,22,30,2018-01-01,R_A2
0.0,302.01708984375,STANDARD,0.0789390504360199,12,0,12,1661.132568359375,302.01708984375,22,30,2018-01-01,R_A2
0.0,302.1509704589844,STANDARD,0.44872841238975525,13,0,13,1663.12841796875,302.1509704589844,22,30,2018-01-01,R_A2
0.0,302.28485107421875,STANDARD,0.5068296194076538,14,0,14,1665.1241455078125,302.28485107421875,22,30,2018-01-01,R_A2
0.0,302.4187316894531,STANDARD,0.6861860752105713,15,0,15,1667.1199951171875,302.4187316894531,22,30,2018-01-01,R_A2
0.0,302.5526123046875,STANDARD,0.9714688062667847,16,0,16,1669.11572265625,302.5526123046875,22,30,2018-01-01,R_A2
0.0,302.6864929199219,STANDARD,0.948536217212677,17,0,17,1671.111572265625,302.6864929199219,22,30,2018-01-01,R_A2
0.0,302.8123779296875,STANDARD,0.9796320199966431,18,0,18,1672.9881591796875,302.8123779296875,22,30,2018-01-01,R_A2
0.0,302.89569091796875,STANDARD,0.9940532445907593,18,0,19,1674.229736328125,302.89569091796875,22,29,2018-01-01,R_A2
0.0,303.02569580078125,STANDARD,0.6481541991233826,27,0,20,1676.1676025390625,303.02569580078125,22,29,2018-01-01,R_A2
