WELLMODEL,WELL,PRESSURE,CONKPOS,CONJPOS,SWAT,CONBPRES,SGAS,DATE,CONIDX,DEPTH,CONIPOS,DRAWDOWN
STANDARD,R_A2,300.7271728515625,1,30,0.05282699689269066,300.7271728515625,0.0,2018-01-01,1,1640.038818359375,22,0
STANDARD,R_A2,300.8447570800781,2,30,0.05546267330646515,300.8447570800781,0.0,2018-01-01,2,1641.7926025390625,22,0
STANDARD,R_A2,300.9623718261719,3,30,0.05720653384923935,300.9623718261719,0.0,2018-01-01,3,1643.54638671875,22,0
STANDARD,R_A2,301.0799865722656,4,30,0.06346925348043442,301.0799865722656,0.0,2018-01-01,4,1645.3001708984375,22,0
STANDARD,R_A2,301.1976013183594,5,30,0.06481770426034927,301.1976013183594,0.0,2018-01-01,5,1647.0540771484375,22,0
STANDARD,R_A2,301.3152160644531,6,30,0.6743385791778564,301.3152160644531,0.0,2018-01-01,6,1648.807861328125,22,0
STANDARD,R_A2,301.4328308105469,7,30,0.8685290813446045,301.4328308105469,0.0,2018-01-01,7,1650.561767578125,22,0
STANDARD,R_A2,301.5504455566406,8,30,0.8531449437141418,301.5504455566406,0.0,2018-01-01,8,1652.315673828125,22,0
STANDARD,R_A2,301.6680908203125,9,30,0.8660306930541992,301.6680908203125,0.0,2018-01-01,9,1654.0694580078125,22,0
STANDARD,R_A2,301.78570556640625,10,30,0.8900097608566284,301.78570556640625,0.0,2018-01-01,10,1655.8232421875,22,0
STANDARD,R_A2,301.91351318359375,11,30,0.0677899494767189,301.91351318359375,0.0,2018-01-01,11,1657.7286376953125,22,0
STANDARD,R_A2,302.0514831542969,12,30,0.0703665241599083,302.0514831542969,0.0,2018-01-01,12,1659.78564453125,22,0
STANDARD,R_A2,302.189453125,13,30,0.4196184575557709,302.189453125,0.0,2018-01-01,13,1661.842529296875,22,0
STANDARD,R_A2,302.3274230957031,14,30,0.46553632616996765,302.3274230957031,0.0,2018-01-01,14,1663.8995361328125,22,0
STANDARD,R_A2,302.4654235839844,15,30,0.894186794757843,302.4654235839844,0.0,2018-01-01,15,1665.9564208984375,22,0
STANDARD,R_A2,302.6033935546875,16,30,0.9105648994445801,302.6033935546875,0.0,2018-01-01,16,1668.013427734375,22,0
STANDARD,R_A2,302.74139404296875,17,30,0.858454167842865,302.74139404296875,0.0,2018-01-01,17,1670.0703125,22,0
STANDARD,R_A2,302.8610534667969,18,30,0.9342769980430603,302.8610534667969,0.0,2018-01-01,18,1671.85400390625,22,0
STANDARD,R_A2,302.9776306152344,26,30,0.09587827324867249,302.9776306152344,0.0,2018-01-01,19,1673.591552734375,22,0
STANDARD,R_A2,303.3303527832031,26,29,0.7809834480285645,303.3303527832031,0.0,2018-01-01,20,1678.8487548828125,22,0
STANDARD,R_A2,303.4450378417969,27,29,0.8075218796730042,303.4450378417969,0.0,2018-01-01,21,1680.55810546875,22,0
STANDARD,R_A2,303.888427734375,28,29,1.0,303.888427734375,0.0,2018-01-01,22,1682.267578125,22,0
STANDARD,R_A2,304.0504150390625,29,29,1.0,304.0504150390625,0.0,2018-01-01,23,1683.9769287109375,22,0
STANDARD,R_A2,304.21240234375,30,29,1.0,304.21240234375,0.0,2018-01-01,24,1685.6864013671875,22,0
STANDARD,R_A3,298.7451477050781,1,41,0.6481541991233826,298.7451477050781,0.0,2018-01-01,1,1610.4725341796875,28,0
STANDARD,R_A3,298.8835754394531,2,41,0.17135317623615265,298.8835754394531,0.0,2018-01-01,2,1612.537841796875,28,0
STANDARD,R_A3,299.0220031738281,3,41,0.11823459714651108,299.0220031738281,0.0,2018-01-01,3,1614.6031494140625,28,0
STANDARD,R_A3,299.1604309082031,4,41,0.08349496126174927,299.1604309082031,0.0,2018-01-01,4,1616.66845703125,28,0
STANDARD,R_A3,298.2943420410156,4,41,0.2251327782869339,298.2943420410156,0.0,2018-01-01,5,1603.74560546875,29,0
STANDARD,R_A3,298.4379577636719,5,41,0.6590274572372437,298.4379577636719,0.0,2018-01-01,6,1605.888671875,29,0
STANDARD,R_A3,298.5815734863281,6,41,0.6481541991233826,298.5815734863281,0.0,2018-01-01,7,1608.0316162109375,29,0
STANDARD,R_A3,298.7251892089844,7,41,0.19205191731452942,298.7251892089844,0.0,2018-01-01,8,1610.1746826171875,29,0
STANDARD,R_A3,298.8688049316406,8,41,0.19240373373031616,298.8688049316406,0.0,2018-01-01,9,1612.3177490234375,29,0
STANDARD,R_A3,299.012451171875,9,41,0.7928493618965149,299.012451171875,0.0,2018-01-01,10,1614.4608154296875,29,0
