CONIPOS,CONKPOS,SGAS,CONBPRES,WELL,PRESSURE,DEPTH,CONIDX,DRAWDOWN,SWAT,DATE,CONJPOS,WELLMODEL
22,1,0.0,300.6733093261719,R_A2,300.6733093261719,1641.094970703125,1,0,0.056692592799663544,2018-01-01,30,STANDARD
22,2,0.0,300.7936096191406,R_A2,300.7936096191406,1642.8890380859375,2,0,0.05867929756641388,2018-01-01,30,STANDARD
22,3,0.0,300.9139099121094,R_A2,300.9139099121094,1644.68310546875,3,0,0.061895012855529785,2018-01-01,30,STANDARD
22,4,0.0,301.0342102050781,R_A2,301.0342102050781,1646.4771728515625,4,0,0.06773295253515244,2018-01-01,30,STANDARD
22,5,0.0,301.1545104980469,R_A2,301.1545104980469,1648.2713623046875,5,0,0.07102545350790024,2018-01-01,30,STANDARD
22,6,0.0,301.27484130859375,R_A2,301.27484130859375,1650.0654296875,6,0,0.32000941038131714,2018-01-01,30,STANDARD
22,7,0.0,301.3951721191406,R_A2,301.3951721191406,1651.859619140625,7,0,0.8964528441429138,2018-01-01,30,STANDARD
22,8,0.0,301.5154724121094,R_A2,301.5154724121094,1653.6536865234375,8,0,0.721605658531189,2018-01-01,30,STANDARD
22,9,0.0,301.63580322265625,R_A2,301.63580322265625,1655.44775390625,9,0,0.8981422781944275,2018-01-01,30,STANDARD
22,10,0.0,301.7561340332031,R_A2,301.7561340332031,1657.2418212890625,10,0,0.9288972020149231,2018-01-01,30,STANDARD
22,11,0.0,301.88323974609375,R_A2,301.88323974609375,1659.1368408203125,11,0,0.0764261856675148,2018-01-01,30,STANDARD
22,12,0.0,302.01708984375,R_A2,302.01708984375,1661.132568359375,12,0,0.07991793006658554,2018-01-01,30,STANDARD
22,13,0.0,302.1509704589844,R_A2,302.1509704589844,1663.12841796875,13,0,0.44190388917922974,2018-01-01,30,STANDARD
22,14,0.0,302.28485107421875,R_A2,302.28485107421875,1665.1241455078125,14,0,0.5030866861343384,2018-01-01,30,STANDARD
22,15,0.0,302.4187316894531,R_A2,302.4187316894531,1667.1199951171875,15,0,0.6875477433204651,2018-01-01,30,STANDARD
