PROPERTY,ZONE,REGION,FACIES,Avg,Avg_Weighted,Max,Min,P10,P90,Stddev,SOURCE,ID
PERM,LowerReek,Dorne,Background,10.504359,,100.0,0.21655132,1.7444113,23.346474,13.409548,geogrid,geogrid
PORO,LowerReek,Dorne,Background,0.10813793,,0.281297,0.0,0.05127921,0.16613956,0.044853352,geogrid,geogrid
SW,LowerReek,Dorne,Background,0.9999785,,1.0,0.89699405,1.0,1.0,0.0013964669,geogrid,geogrid
PERM,LowerReek,Dorne,Channel,3010.3972,,10000.0,25.826773,437.66666,8468.612,2905.77,geogrid,geogrid
PORO,LowerReek,Dorne,Channel,0.24799576,,0.41990843,0.059960216,0.18298614,0.31240723,0.050555274,geogrid,geogrid
SW,LowerReek,Dorne,Channel,0.99181044,,1.0,0.08828662,1.0,1.0,0.07825635,geogrid,geogrid
PERM,LowerReek,Dorne,Crevasse,196.9666,,1000.0,1.3666117,25.28711,483.25797,228.64291,geogrid,geogrid
PORO,LowerReek,Dorne,Crevasse,0.2078424,,0.39371753,0.018077016,0.14157519,0.2709769,0.051314056,geogrid,geogrid
SW,LowerReek,Dorne,Crevasse,0.9987172,,1.0,0.22966926,1.0,1.0,0.025690017,geogrid,geogrid
PERM,LowerReek,IronIslands,Background,10.142913,,100.0,0.1706382,1.1238574,22.544922,17.022846,geogrid,geogrid
PORO,LowerReek,IronIslands,Background,0.08646815,,0.25022843,0.0,0.022226663,0.15160926,0.04851393,geogrid,geogrid
SW,LowerReek,IronIslands,Background,0.664898,,1.0,0.0,0.28770864,1.0,0.32101348,geogrid,geogrid
PERM,LowerReek,IronIslands,Channel,3107.118,,10000.0,11.777608,436.38437,8891.636,2976.2283,geogrid,geogrid
PORO,LowerReek,IronIslands,Channel,0.24855627,,0.41044548,0.048538968,0.18243542,0.31508517,0.051459022,geogrid,geogrid
SW,LowerReek,IronIslands,Channel,0.46139905,,1.0,0.019686496,0.034829978,1.0,0.4580099,geogrid,geogrid
PERM,LowerReek,IronIslands,Crevasse,170.61934,,1000.0,1.4390521,25.587702,402.82288,195.3366,geogrid,geogrid
PORO,LowerReek,IronIslands,Crevasse,0.2013876,,0.35421965,0.016510502,0.14012054,0.2620636,0.047737062,geogrid,geogrid
SW,LowerReek,IronIslands,Crevasse,0.5570067,,1.0,0.058465455,0.10910538,1.0,0.4121163,geogrid,geogrid
PERM,LowerReek,North,Background,8.882035,,100.0,0.08740441,1.2189498,20.631102,11.775443,geogrid,geogrid
PORO,LowerReek,North,Background,0.089807816,,0.27532333,0.0,0.030902592,0.15091147,0.045842156,geogrid,geogrid
SW,LowerReek,North,Background,0.99541944,,1.0,0.0,1.0,1.0,0.048812892,geogrid,geogrid
PERM,LowerReek,North,Channel,3417.0361,,10000.0,18.423853,494.97314,9951.32,3085.0808,geogrid,geogrid
PORO,LowerReek,North,Channel,0.2555183,,0.4311182,0.06711325,0.19214208,0.31921622,0.04967364,geogrid,geogrid
SW,LowerReek,North,Channel,0.98914605,,1.0,0.025729446,1.0,1.0,0.10075639,geogrid,geogrid
