WELLMODEL,CONJPOS,PRESSURE,DRAWDOWN,CONIDX,SGAS,SWAT,CONBPRES,CONKPOS,WELL,DEPTH,DATE,CONIPOS
STANDARD,30,300.946533203125,0,1,0.0,0.05565141886472702,300.946533203125,1,R_A2,1644.1182861328125,2018-01-01,22
STANDARD,30,301.0648193359375,0,2,0.0,0.05736835300922394,301.0648193359375,2,R_A2,1645.882080078125,2018-01-01,22
STANDARD,30,301.1830749511719,0,3,0.0,0.061683520674705505,301.1830749511719,3,R_A2,1647.645751953125,2018-01-01,22
STANDARD,30,301.3013610839844,0,4,0.0,0.06771250814199448,301.3013610839844,4,R_A2,1649.409423828125,2018-01-01,22
STANDARD,30,301.4196472167969,0,5,0.0,0.0709504634141922,301.4196472167969,5,R_A2,1651.1732177734375,2018-01-01,22
STANDARD,30,301.5379333496094,0,6,0.0,0.3080979585647583,301.5379333496094,6,R_A2,1652.9368896484375,2018-01-01,22
STANDARD,30,301.6562194824219,0,7,0.0,0.8972682356834412,301.6562194824219,7,R_A2,1654.70068359375,2018-01-01,22
STANDARD,30,301.7745056152344,0,8,0.0,0.8737670183181763,301.7745056152344,8,R_A2,1656.46435546875,2018-01-01,22
STANDARD,30,301.892822265625,0,9,0.0,0.20591723918914795,301.892822265625,9,R_A2,1658.2281494140625,2018-01-01,22
STANDARD,30,302.0111083984375,0,10,0.0,0.17064745724201202,302.0111083984375,10,R_A2,1659.9918212890625,2018-01-01,22
STANDARD,30,302.137451171875,0,11,0.0,0.07765313982963562,302.137451171875,11,R_A2,1661.8753662109375,2018-01-01,22
STANDARD,30,302.2718200683594,0,12,0.0,0.08415225148200989,302.2718200683594,12,R_A2,1663.8787841796875,2018-01-01,22
STANDARD,30,302.4062194824219,0,13,0.0,0.45406341552734375,302.4062194824219,13,R_A2,1665.882080078125,2018-01-01,22
STANDARD,30,302.54058837890625,0,14,0.0,0.5085887908935547,302.54058837890625,14,R_A2,1667.8853759765625,2018-01-01,22
