DRAWDOWN,WELLMODEL,CONIPOS,WELL,CONKPOS,SWAT,CONIDX,CONBPRES,CONJPOS,PRESSURE,DEPTH,SGAS,DATE
0,STANDARD,22,R_A2,2,0.11058630049228668,2,300.7936096191406,30,300.7936096191406,1642.8890380859375,0.0,2018-01-01
0,STANDARD,22,R_A2,3,0.07774579524993896,3,300.9139099121094,30,300.9139099121094,1644.68310546875,0.0,2018-01-01
0,STANDARD,22,R_A2,4,0.06678543984889984,4,301.0342102050781,30,301.0342102050781,1646.4771728515625,0.0,2018-01-01
0,STANDARD,22,R_A2,5,0.07244458049535751,5,301.1545104980469,30,301.1545104980469,1648.2713623046875,0.0,2018-01-01
0,STANDARD,22,R_A2,6,0.1185254231095314,6,301.27484130859375,30,301.27484130859375,1650.0654296875,0.0,2018-01-01
0,STANDARD,22,R_A2,7,0.6481541991233826,7,301.3951721191406,30,301.3951721191406,1651.859619140625,0.0,2018-01-01
0,STANDARD,22,R_A2,8,0.6481541991233826,8,301.5154724121094,30,301.5154724121094,1653.6536865234375,0.0,2018-01-01
0,STANDARD,22,R_A2,9,0.1735297441482544,9,301.63580322265625,30,301.63580322265625,1655.44775390625,0.0,2018-01-01
0,STANDARD,22,R_A2,10,0.32667964696884155,10,301.7561340332031,30,301.7561340332031,1657.2418212890625,0.0,2018-01-01
0,STANDARD,22,R_A2,11,0.07769951224327087,11,301.88323974609375,30,301.88323974609375,1659.1368408203125,0.0,2018-01-01
0,STANDARD,22,R_A2,12,0.07633190602064133,12,302.01708984375,30,302.01708984375,1661.132568359375,0.0,2018-01-01
0,STANDARD,22,R_A2,13,0.4555773138999939,13,302.1509704589844,30,302.1509704589844,1663.12841796875,0.0,2018-01-01
0,STANDARD,22,R_A2,14,0.49689048528671265,14,302.28485107421875,30,302.28485107421875,1665.1241455078125,0.0,2018-01-01
0,STANDARD,22,R_A2,15,0.697963297367096,15,302.4187316894531,30,302.4187316894531,1667.1199951171875,0.0,2018-01-01
0,STANDARD,22,R_A2,16,0.9702016711235046,16,302.5526123046875,30,302.5526123046875,1669.11572265625,0.0,2018-01-01
0,STANDARD,22,R_A2,17,0.9523286819458008,17,302.6864929199219,30,302.6864929199219,1671.111572265625,0.0,2018-01-01
0,STANDARD,22,R_A2,18,0.9832528829574585,18,302.8123779296875,30,302.8123779296875,1672.9881591796875,0.0,2018-01-01
0,STANDARD,22,R_A2,18,0.9928692579269409,19,302.89569091796875,29,302.89569091796875,1674.229736328125,0.0,2018-01-01
0,STANDARD,22,R_A2,27,0.6481541991233826,20,303.02569580078125,29,303.02569580078125,1676.1676025390625,0.0,2018-01-01
0,STANDARD,22,R_A2,28,1.0,21,303.47802734375,29,303.47802734375,1677.9368896484375,0.0,2018-01-01
0,STANDARD,22,R_A2,29,1.0,22,303.64569091796875,29,303.64569091796875,1679.7061767578125,0.0,2018-01-01
0,STANDARD,22,R_A2,30,1.0,23,303.8133544921875,29,303.8133544921875,1681.4754638671875,0.0,2018-01-01
0,STANDARD,22,R_A2,31,1.0,24,303.98101806640625,29,303.98101806640625,1683.2447509765625,0.0,2018-01-01
0,STANDARD,28,R_A3,1,0.1351146101951599,1,298.53814697265625,41,298.53814697265625,1609.243408203125,0.0,2018-01-01
0,STANDARD,28,R_A3,2,0.11823459714651108,2,298.676513671875,41,298.676513671875,1611.3077392578125,0.0,2018-01-01
0,STANDARD,28,R_A3,3,0.12243370711803436,3,298.8148498535156,41,298.8148498535156,1613.3720703125,0.0,2018-01-01
0,STANDARD,28,R_A3,4,0.24829745292663574,4,298.9532165527344,41,298.9532165527344,1615.4365234375,0.0,2018-01-01
0,STANDARD,28,R_A3,5,0.6481541991233826,5,299.0915832519531,41,299.0915832519531,1617.5008544921875,0.0,2018-01-01
0,STANDARD,28,R_A3,6,0.3404858112335205,6,299.2299499511719,41,299.2299499511719,1619.565185546875,0.0,2018-01-01
0,STANDARD,29,R_A3,6,0.6481541991233826,7,298.54638671875,41,298.54638671875,1609.3663330078125,0.0,2018-01-01
0,STANDARD,29,R_A3,7,0.1983322650194168,8,298.68377685546875,41,298.68377685546875,1611.4163818359375,0.0,2018-01-01
0,STANDARD,29,R_A3,8,0.20094092190265656,9,298.8211669921875,41,298.8211669921875,1613.46630859375,0.0,2018-01-01
0,STANDARD,29,R_A3,9,0.6481541991233826,10,298.95855712890625,41,298.95855712890625,1615.516357421875,0.0,2018-01-01
0,STANDARD,29,R_A3,10,0.7979751825332642,11,299.095947265625,41,299.095947265625,1617.5662841796875,0.0,2018-01-01
0,STANDARD,29,R_A3,11,0.05079192295670509,12,299.24237060546875,41,299.24237060546875,1619.750732421875,0.0,2018-01-01
0,STANDARD,29,R_A3,12,0.05455172061920166,13,299.3978271484375,41,299.3978271484375,1622.0697021484375,0.0,2018-01-01
0,STANDARD,29,R_A3,13,0.3680056035518646,14,299.5532531738281,41,299.5532531738281,1624.388671875,0.0,2018-01-01
0,STANDARD,29,R_A3,14,0.3714577257633209,15,299.7087097167969,41,299.7087097167969,1626.707763671875,0.0,2018-01-01
0,STANDARD,29,R_A3,15,0.4909714162349701,16,299.8641662597656,41,299.8641662597656,1629.026611328125,0.0,2018-01-01
0,STANDARD,29,R_A3,16,0.8089039921760559,17,299.992919921875,41,299.992919921875,1630.9468994140625,0.0,2018-01-01
0,STANDARD,29,R_A3,27,0.3014692962169647,18,300.16583251953125,41,300.16583251953125,1633.5262451171875,0.0,2018-01-01
