CONIDX,CONIPOS,CONBPRES,PRESSURE,WELL,SGAS,DRAWDOWN,SWAT,DATE,DEPTH,WELLMODEL,CONKPOS,CONJPOS
1,22,300.7389221191406,300.7389221191406,R_A2,0.0,0,0.05235017463564873,2018-01-01,1640.11083984375,STANDARD,1,30
2,22,300.85772705078125,300.85772705078125,R_A2,0.0,0,0.053530968725681305,2018-01-01,1641.8828125,STANDARD,2,30
3,22,300.9765625,300.9765625,R_A2,0.0,0,0.057894010096788406,2018-01-01,1643.655029296875,STANDARD,3,30
4,22,301.09539794921875,301.09539794921875,R_A2,0.0,0,0.06169220432639122,2018-01-01,1645.4271240234375,STANDARD,4,30
5,22,301.2142333984375,301.2142333984375,R_A2,0.0,0,0.06457001715898514,2018-01-01,1647.19921875,STANDARD,5,30
6,22,301.33306884765625,301.33306884765625,R_A2,0.0,0,0.3033126890659332,2018-01-01,1648.97119140625,STANDARD,6,30
7,22,301.451904296875,301.451904296875,R_A2,0.0,0,0.6481541991233826,2018-01-01,1650.7432861328125,STANDARD,7,30
8,22,301.5707702636719,301.5707702636719,R_A2,0.0,0,0.8584467172622681,2018-01-01,1652.515380859375,STANDARD,8,30
9,22,301.6896057128906,301.6896057128906,R_A2,0.0,0,0.8785991072654724,2018-01-01,1654.2874755859375,STANDARD,9,30
10,22,301.8084716796875,301.8084716796875,R_A2,0.0,0,0.8848409056663513,2018-01-01,1656.0595703125,STANDARD,10,30
11,22,301.9354553222656,301.9354553222656,R_A2,0.0,0,0.06592147052288055,2018-01-01,1657.9527587890625,STANDARD,11,30
12,22,302.070556640625,302.070556640625,R_A2,0.0,0,0.06671618670225143,2018-01-01,1659.967041015625,STANDARD,12,30
13,22,302.2056579589844,302.2056579589844,R_A2,0.0,0,0.42395684123039246,2018-01-01,1661.9813232421875,STANDARD,13,30
14,22,302.3407897949219,302.3407897949219,R_A2,0.0,0,0.46181362867355347,2018-01-01,1663.99560546875,STANDARD,14,30
15,22,302.4759216308594,302.4759216308594,R_A2,0.0,0,0.8906687498092651,2018-01-01,1666.0098876953125,STANDARD,15,30
16,22,302.61102294921875,302.61102294921875,R_A2,0.0,0,0.9108731746673584,2018-01-01,1668.024169921875,STANDARD,16,30
17,22,302.74615478515625,302.74615478515625,R_A2,0.0,0,0.8522191643714905,2018-01-01,1670.0384521484375,STANDARD,17,30
18,22,302.9104919433594,302.9104919433594,R_A2,0.0,0,0.8968989849090576,2018-01-01,1672.488037109375,STANDARD,17,29
19,22,303.0322265625,303.0322265625,R_A2,0.0,0,0.9505057334899902,2018-01-01,1674.3023681640625,STANDARD,18,29
20,22,303.1450500488281,303.1450500488281,R_A2,0.0,0,1.0,2018-01-01,1675.98388671875,STANDARD,25,29
21,22,303.2637023925781,303.2637023925781,R_A2,0.0,0,1.0,2018-01-01,1677.752685546875,STANDARD,26,29
22,22,303.38238525390625,303.38238525390625,R_A2,0.0,0,0.7205051183700562,2018-01-01,1679.5213623046875,STANDARD,27,29
23,22,303.5010681152344,303.5010681152344,R_A2,0.0,0,1.0,2018-01-01,1681.2901611328125,STANDARD,28,29
24,22,303.9634094238281,303.9634094238281,R_A2,0.0,0,1.0,2018-01-01,1683.0589599609375,STANDARD,29,29
1,28,298.7937316894531,298.7937316894531,R_A3,0.0,0,0.6481541991233826,2018-01-01,1611.094482421875,STANDARD,1,41
2,28,298.92596435546875,298.92596435546875,R_A3,0.0,0,0.09297787398099899,2018-01-01,1613.0672607421875,STANDARD,2,41
3,29,298.1569519042969,298.1569519042969,R_A3,0.0,0,0.11823459714651108,2018-01-01,1601.5924072265625,STANDARD,2,41
4,29,298.2958984375,298.2958984375,R_A3,0.0,0,0.11823459714651108,2018-01-01,1603.6658935546875,STANDARD,3,41
5,29,298.4348449707031,298.4348449707031,R_A3,0.0,0,0.22029806673526764,2018-01-01,1605.7393798828125,STANDARD,4,41
6,29,298.57379150390625,298.57379150390625,R_A3,0.0,0,0.8150399923324585,2018-01-01,1607.8128662109375,STANDARD,5,41
7,29,298.7127685546875,298.7127685546875,R_A3,0.0,0,0.6481541991233826,2018-01-01,1609.8863525390625,STANDARD,6,41
8,29,298.85174560546875,298.85174560546875,R_A3,0.0,0,0.19327837228775024,2018-01-01,1611.9598388671875,STANDARD,7,41
9,29,298.9906921386719,298.9906921386719,R_A3,0.0,0,0.19396060705184937,2018-01-01,1614.0333251953125,STANDARD,8,41
10,29,299.1296691894531,299.1296691894531,R_A3,0.0,0,0.7883846163749695,2018-01-01,1616.1068115234375,STANDARD,9,41
11,29,299.2686767578125,299.2686767578125,R_A3,0.0,0,0.7990576028823853,2018-01-01,1618.1802978515625,STANDARD,10,41
12,29,299.4145202636719,299.4145202636719,R_A3,0.0,0,0.04617329314351082,2018-01-01,1620.3563232421875,STANDARD,11,41
13,29,299.5672607421875,299.5672607421875,R_A3,0.0,0,0.0529688335955143,2018-01-01,1622.6348876953125,STANDARD,12,41
14,29,299.7200012207031,299.7200012207031,R_A3,0.0,0,0.3661622405052185,2018-01-01,1624.91357421875,STANDARD,13,41
15,29,299.8727722167969,299.8727722167969,R_A3,0.0,0,0.1929970532655716,2018-01-01,1627.192138671875,STANDARD,14,41
16,29,300.0255126953125,300.0255126953125,R_A3,0.0,0,0.4907873272895813,2018-01-01,1629.470703125,STANDARD,15,41
17,29,300.15478515625,300.15478515625,R_A3,0.0,0,0.8008539080619812,2018-01-01,1631.3988037109375,STANDARD,16,41
18,29,300.33380126953125,300.33380126953125,R_A3,0.0,0,1.0,2018-01-01,1634.0687255859375,STANDARD,25,41
19,29,300.5776062011719,300.5776062011719,R_A3,0.0,0,0.045030441135168076,2018-01-01,1637.7052001953125,STANDARD,26,41
20,29,300.8214416503906,300.8214416503906,R_A3,0.0,0,0.049769025295972824,2018-01-01,1641.3416748046875,STANDARD,27,41
21,29,301.0653076171875,301.0653076171875,R_A3,0.0,0,0.6829050779342651,2018-01-01,1644.9781494140625,STANDARD,28,41
22,29,301.3091735839844,301.3091735839844,R_A3,0.0,0,0.09874048829078674,2018-01-01,1648.6146240234375,STANDARD,29,41
1,30,300.079833984375,300.079833984375,R_A4,0.0,0,0.04815007373690605,2018-01-01,1630.28076171875,STANDARD,1,52
2,31,299.8446350097656,299.8446350097656,R_A4,0.0,0,0.048506349325180054,2018-01-01,1626.7725830078125,STANDARD,1,52
3,31,299.9821472167969,299.9821472167969,R_A4,0.0,0,0.04839889332652092,2018-01-01,1628.8236083984375,STANDARD,2,52
4,31,300.1196594238281,300.1196594238281,R_A4,0.0,0,0.049494218081235886,2018-01-01,1630.874755859375,STANDARD,3,52
5,31,300.2571716308594,300.2571716308594,R_A4,0.0,0,0.05197729542851448,2018-01-01,1632.92578125,STANDARD,4,52
6,32,300.2021179199219,300.2021179199219,R_A4,0.0,0,0.05369536206126213,2018-01-01,1632.104736328125,STANDARD,4,52
7,32,300.32708740234375,300.32708740234375,R_A4,0.0,0,0.05402572080492973,2018-01-01,1633.96875,STANDARD,5,52
8,32,300.5343322753906,300.5343322753906,R_A4,0.0,0,0.1770678609609604,2018-01-01,1637.059814453125,STANDARD,5,51
9,32,300.413818359375,300.413818359375,R_A4,0.0,0,0.05382942408323288,2018-01-01,1635.262451171875,STANDARD,4,51
10,33,300.53009033203125,300.53009033203125,R_A4,0.0,0,0.05655314400792122,2018-01-01,1636.9964599609375,STANDARD,4,51
11,33,300.4082946777344,300.4082946777344,R_A4,0.0,0,0.05526700243353844,2018-01-01,1635.18017578125,STANDARD,3,51
12,33,300.9606628417969,300.9606628417969,R_A4,0.0,0,0.060938287526369095,2018-01-01,1643.4176025390625,STANDARD,4,50
13,34,300.8348693847656,300.8348693847656,R_A4,0.0,0,0.07672496140003204,2018-01-01,1641.5419921875,STANDARD,4,50
14,34,300.71075439453125,300.71075439453125,R_A4,0.0,0,0.09541481733322144,2018-01-01,1639.69091796875,STANDARD,3,50
15,35,300.6493835449219,300.6493835449219,R_A4,0.0,0,0.1348675638437271,2018-01-01,1638.775634765625,STANDARD,3,50
16,35,300.5296630859375,300.5296630859375,R_A4,0.0,0,0.13204795122146606,2018-01-01,1636.989990234375,STANDARD,2,50
17,35,300.9346618652344,300.9346618652344,R_A4,0.0,0,0.2272253930568695,2018-01-01,1643.0299072265625,STANDARD,2,49
18,36,300.8886413574219,300.8886413574219,R_A4,0.0,0,0.2257063239812851,2018-01-01,1642.34375,STANDARD,28,49
19,36,300.9080810546875,300.9080810546875,R_A4,0.0,0,0.05513142794370651,2018-01-01,1642.633544921875,STANDARD,28,48
20,37,301.2580261230469,301.2580261230469,R_A4,0.0,0,0.1850930154323578,2018-01-01,1647.852294921875,STANDARD,28,48
21,38,301.39874267578125,301.39874267578125,R_A4,0.0,0,0.6481541991233826,2018-01-01,1649.950439453125,STANDARD,28,48
22,38,301.96875,301.96875,R_A4,0.0,0,0.6481541991233826,2018-01-01,1658.4490966796875,STANDARD,28,47
1,31,303.86187744140625,303.86187744140625,R_A5,0.0,0,1.0,2018-01-01,1685.2142333984375,STANDARD,1,20
2,31,304.0760498046875,304.0760498046875,R_A5,0.0,0,1.0,2018-01-01,1687.4744873046875,STANDARD,2,20
3,31,304.2902526855469,304.2902526855469,R_A5,0.0,0,1.0,2018-01-01,1689.73486328125,STANDARD,3,20
4,31,304.50445556640625,304.50445556640625,R_A5,0.0,0,1.0,2018-01-01,1691.9952392578125,STANDARD,4,20
5,31,304.7186584472656,304.7186584472656,R_A5,0.0,0,1.0,2018-01-01,1694.2554931640625,STANDARD,5,20
6,31,304.932861328125,304.932861328125,R_A5,0.0,0,1.0,2018-01-01,1696.5157470703125,STANDARD,6,20
7,31,305.4528503417969,305.4528503417969,R_A5,0.0,0,1.0,2018-01-01,1698.776123046875,STANDARD,7,20
8,31,304.9498596191406,304.9498596191406,R_A5,0.0,0,1.0,2018-01-01,1693.468505859375,STANDARD,8,21
