DATE,FGIP,FGPR,FGPRH,FGPT,FGPTH,FOIP,FOPR,FOPRH,FOPT,FOPTF,FOPTH,FOPTS,FWIP,FWPT,FWPTH,YEARS
2000-01-01,10071902208.0,0.0,0.0,0.0,0.0,54738596.0,0.0,0.0,0.0,0.0,0.0,0.0,324064032.0,0.0,0.0,0.0
2000-02-01,10071895040.0,0.0,0.0,0.0,0.0,54738552.0,0.0,0.0,0.0,0.0,0.0,0.0,324064096.0,0.0,0.0,0.08487337082624435
2000-03-01,10010315776.0,2123388.0,2123621.5,61579796.0,61585024.0,54403876.0,11540.1513671875,11540.0,334672.8125,334672.8125,334660.0,0.0,324204064.0,3.5277278423309326,0.0,0.1642710417509079
2000-04-01,9951291392.0,1902149.125,1887736.75,120603712.0,120104864.0,54083092.0,10337.7666015625,10257.2578125,655454.9375,655454.9375,652635.0,0.0,324358848.0,235.76174926757812,4548.0009765625,0.24914442002773285
2000-05-01,9898119168.0,1766363.25,1695579.625,173775456.0,170972256.0,53794116.0,9599.7998046875,9213.5673828125,944431.8125,944431.8125,929042.0,0.0,324507072.0,2007.4359130859375,25817.001953125,0.3312799334526062
2000-06-01,9844948992.0,1709098.75,1638625.75,226945456.0,221769648.0,53505148.0,9288.580078125,8903.451171875,1233399.25,1233399.25,1205049.0,0.0,324657088.0,6973.99169921875,50901.0,0.41615331172943115
2000-07-01,9797529600.0,1576745.75,1509394.625,274364800.0,267051488.0,53247432.0,8569.2705078125,8201.7001953125,1491113.125,1491113.125,1451100.0,0.0,324945184.0,13898.173828125,75951.0,0.4982888400554657
2000-08-01,9751845888.0,1470188.0,1398302.75,320049024.0,310398880.0,52999148.0,7990.15185546875,7597.41943359375,1739396.75,1739396.75,1686620.0,0.0,325245824.0,23252.130859375,105138.0,0.5831621885299683
2000-09-01,9708320768.0,1401182.125,1325874.25,363573280.0,351500960.0,52762604.0,7615.1201171875,7203.8388671875,1975941.875,1975941.875,1909939.0,0.0,325544736.0,34334.86328125,136780.015625,0.6680355668067932
2000-10-01,9667779584.0,1349045.0,1270949.375,404114368.0,389629472.0,52542272.0,7331.7666015625,6905.7666015625,2196273.75,2196273.75,2117112.0,0.0,325832768.0,46286.31640625,169202.0,0.7501711249351501
2000-11-01,9627192320.0,1307079.0,1227013.0,444701696.0,427666848.0,52321688.0,7103.6904296875,6666.935546875,2416857.0,2416857.0,2323787.0,0.0,326129376.0,59687.84375,204244.0,0.8350445032119751
2000-12-01,9588924416.0,1273587.25,1191768.75,482970464.0,463419936.0,52113708.0,6921.669921875,6475.7666015625,2624839.5,2624839.5,2518060.0,0.0,326415456.0,73618.2890625,239515.0,0.9171800017356873
2001-01-01,9550230528.0,1246087.625,1163525.625,521663776.0,499489216.0,51903416.0,6772.21533203125,6321.87109375,2835129.25,2835129.25,2714038.0,0.0,326710048.0,89016.0703125,277189.0,1.0020533800125122
2001-02-01,9489640448.0,1951837.0,1873729.0,582254400.0,557574848.0,51574120.0,10607.8095703125,10180.322265625,3164426.0,3164426.0,3029628.0,0.0,327004160.0,104914.7890625,314403.0,1.086926817893982
2001-03-01,9448448000.0,1469471.75,1401034.0,623446656.0,596803776.0,51350248.0,7986.259765625,7610.60693359375,3388297.0,3388297.0,3242725.0,0.0,327270624.0,118428.828125,344655.0,1.1635866165161133
2001-04-01,9404148736.0,1415724.375,1301814.625,667745600.0,637160000.0,51109496.0,7694.15380859375,7072.09716796875,3629052.25,3629052.25,3461960.0,0.0,327693920.0,155117.859375,414866.03125,1.2484599351882935
2001-05-01,9361198080.0,1412775.5,1283700.25,710695744.0,675671040.0,50876068.0,7678.12744140625,6973.00048828125,3862476.75,3862476.75,3671150.0,0.0,328087936.0,211112.5625,508601.0,1.3305954933166504
2001-06-01,9317729280.0,1382615.75,1268368.5,754165056.0,714990464.0,50639824.0,7514.2158203125,6890.2255859375,4098723.0,4098723.0,3884747.0,0.0,328477664.0,286379.375,619142.0,1.4154688119888306
2001-07-01,9276943360.0,1345565.375,1244567.125,794951168.0,752327488.0,50418160.0,7312.85546875,6761.6005859375,4320387.0,4320387.0,4087595.0,0.0,328841824.0,372235.78125,734308.0,1.4976043701171875
2001-08-01,9236081664.0,1307943.75,1216663.5,835811840.0,790044032.0,50196088.0,7108.39013671875,6611.193359375,4542455.5,4542455.5,4292542.0,0.0,329208832.0,470199.375,858961.0,1.5824778079986572
2001-09-01,9195864064.0,1290268.25,1204614.875,876030144.0,827387072.0,49977512.0,7012.3271484375,6543.677734375,4761033.5,4761033.5,4495396.0,0.0,329568832.0,575209.625,988430.0,1.6673511266708374
2001-10-01,9157514240.0,1273183.75,1190271.0,914379840.0,863095232.0,49769088.0,6919.4765625,6465.900390625,4969455.5,4969455.5,4689373.0,0.0,329912000.0,682041.4375,1117730.0,1.7494866847991943
2001-11-01,9118546944.0,1252753.0,1170988.625,953347136.0,899395904.0,49557312.0,6808.4404296875,6361.3232421875,5181234.5,5181234.5,4886574.0,0.0,330261952.0,797088.75,1255454.0,1.8343600034713745
2001-12-01,9081190400.0,1241775.75,1160353.625,990703680.0,934206464.0,49354284.0,6748.78125,6303.49951171875,5384259.0,5384259.0,5075679.0,0.0,330596576.0,912472.5,1392488.0,1.9164955615997314
2002-01-01,9042757632.0,1236548.0,1155516.25,1029136000.0,970027520.0,49145412.0,6720.36962890625,6277.677734375,5593130.5,5593130.5,5270287.0,0.0,330938752.0,1035288.5625,1537496.0,2.001368999481201
2002-02-01,9004495872.0,1231225.75,1151288.125,1067398016.0,1005717440.0,48937468.0,6691.4443359375,6253.58056640625,5801076.0,5801076.0,5464148.0,0.0,331277696.0,1161338.375,1685432.125,2.086242198944092
2002-03-01,8970126336.0,1224792.75,1146238.0,1101767936.0,1037812096.0,48750676.0,6656.482421875,6226.14306640625,5987869.5,5987869.5,5638480.0,0.0,331581216.0,1277841.125,1821296.125,2.1629021167755127
2002-04-01,8932282368.0,1217561.125,1141515.25,1139610880.0,1073199040.0,48545008.0,6617.18017578125,6201.193359375,6193537.5,6193537.5,5830717.0,0.0,331914304.0,1409732.75,1974069.125,2.2477755546569824
2002-05-01,8896021504.0,1205542.375,1132282.75,1175871744.0,1107167488.0,48347936.0,6551.8603515625,6150.76611328125,6390607.0,6390607.0,6015240.0,0.0,332233728.0,1540313.5,2124148.0,2.32991099357605
2002-06-01,8858853376.0,1195626.75,1124983.75,1213040640.0,1142041984.0,48145932.0,6497.9716796875,6111.38720703125,6592612.5,6592612.5,6204693.0,0.0,332560608.0,1678434.125,2281780.0,2.4147844314575195
2002-07-01,8823062528.0,1189606.75,1110101.25,1248830592.0,1175345024.0,47951420.0,6465.25390625,6030.50048828125,6787122.5,6787122.5,6385608.0,0.0,332874016.0,1815038.375,2439522.0,2.496919870376587
2002-08-01,8786338816.0,1181190.75,1084009.5,1285554816.0,1208949376.0,47751832.0,6419.51513671875,5889.28955078125,6986711.0,6986711.0,6568176.0,0.0,333194976.0,1959060.75,2610034.0,2.5817933082580566
2002-09-01,8750059520.0,1167006.875,1054247.5,1321834112.0,1241631104.0,47554660.0,6342.42822265625,5727.16064453125,7183881.0,7183881.0,6745718.0,0.0,333513280.0,2105781.75,2787297.0,2.6666667461395264
2002-10-01,8715567104.0,1146805.0,1020194.9375,1356325760.0,1272236928.0,47367204.0,6232.63623046875,5542.36669921875,7371336.0,7371336.0,6911989.0,0.0,333818752.0,2250290.25,2964779.0,2.7488021850585938
2002-11-01,8680728576.0,1121075.75,985624.5625,1391164288.0,1302791296.0,47177864.0,6092.802734375,5354.00048828125,7560675.5,7560675.5,7077963.0,0.0,334131776.0,2402271.75,3153119.0,2.8336756229400635
2002-12-01,8647340032.0,1110469.875,967026.125,1424553600.0,1331801984.0,46996400.0,6035.16259765625,5253.33349609375,7742139.0,7742139.0,7235563.0,0.0,334432096.0,2551938.0,3339928.0,2.915811061859131
2003-01-01,8613832704.0,1078572.25,929821.5,1458060160.0,1360626560.0,46814296.0,5861.8056640625,5050.837890625,7924240.0,7924240.0,7392139.0,0.0,334730208.0,2703844.0,3531553.0,3.0006844997406006
2003-02-01,8612752384.0,0.0,0.0,1459140224.0,1361556352.0,46808428.0,0.0,0.0,7930110.0,7930110.0,7397190.0,0.0,334725312.0,2708750.25,3537734.5,3.003422260284424
