CONJPOS,DRAWDOWN,DEPTH,CONBPRES,CONKPOS,WELL,SWAT,CONIDX,WELLMODEL,SGAS,CONIPOS,PRESSURE,DATE
30,0,1641.058349609375,300.79498291015625,1,R_A2,0.05356556922197342,1,STANDARD,0.0,22,300.79498291015625,2018-01-01
30,0,1642.8282470703125,300.9136657714844,2,R_A2,0.05479855090379715,2,STANDARD,0.0,22,300.9136657714844,2018-01-01
30,0,1644.59814453125,301.0323486328125,3,R_A2,0.05815698951482773,3,STANDARD,0.0,22,301.0323486328125,2018-01-01
30,0,1646.3680419921875,301.1510314941406,4,R_A2,0.06405357271432877,4,STANDARD,0.0,22,301.1510314941406,2018-01-01
30,0,1648.137939453125,301.2697448730469,5,R_A2,0.0675167515873909,5,STANDARD,0.0,22,301.2697448730469,2018-01-01
30,0,1649.907958984375,301.388427734375,6,R_A2,0.6481541991233826,6,STANDARD,0.0,22,301.388427734375,2018-01-01
30,0,1651.6778564453125,301.50714111328125,7,R_A2,0.8763808012008667,7,STANDARD,0.0,22,301.50714111328125,2018-01-01
30,0,1653.44775390625,301.6258239746094,8,R_A2,0.8598787784576416,8,STANDARD,0.0,22,301.6258239746094,2018-01-01
30,0,1655.2176513671875,301.7445373535156,9,R_A2,0.6481541991233826,9,STANDARD,0.0,22,301.7445373535156,2018-01-01
30,0,1656.987548828125,301.8632507324219,10,R_A2,0.878224790096283,10,STANDARD,0.0,22,301.8632507324219,2018-01-01
30,0,1658.88916015625,301.99078369140625,11,R_A2,0.06785376369953156,11,STANDARD,0.0,22,301.99078369140625,2018-01-01
30,0,1660.9224853515625,302.127197265625,12,R_A2,0.1552252173423767,12,STANDARD,0.0,22,302.127197265625,2018-01-01
30,0,1662.955810546875,302.2635803222656,13,R_A2,0.42978212237358093,13,STANDARD,0.0,22,302.2635803222656,2018-01-01
30,0,1664.9892578125,302.39996337890625,14,R_A2,0.47753041982650757,14,STANDARD,0.0,22,302.39996337890625,2018-01-01
30,0,1667.0225830078125,302.536376953125,15,R_A2,0.9070176482200623,15,STANDARD,0.0,22,302.536376953125,2018-01-01
30,0,1669.055908203125,302.67279052734375,16,R_A2,0.9398775100708008,16,STANDARD,0.0,22,302.67279052734375,2018-01-01
29,0,1670.74169921875,302.785888671875,16,R_A2,0.9427730441093445,17,STANDARD,0.0,22,302.785888671875,2018-01-01
29,0,1672.867919921875,302.92852783203125,17,R_A2,0.8944582939147949,18,STANDARD,0.0,22,302.92852783203125,2018-01-01
29,0,1674.8038330078125,303.05841064453125,18,R_A2,0.9576932191848755,19,STANDARD,0.0,22,303.05841064453125,2018-01-01
29,0,1676.65576171875,303.1826477050781,25,R_A2,0.6481541991233826,20,STANDARD,0.0,22,303.1826477050781,2018-01-01
29,0,1678.4483642578125,303.30291748046875,26,R_A2,1.0,21,STANDARD,0.0,22,303.30291748046875,2018-01-01
29,0,1680.240966796875,303.4232177734375,27,R_A2,1.0,22,STANDARD,0.0,22,303.4232177734375,2018-01-01
