CONIDX,WELLMODEL,DATE,CONBPRES,PRESSURE,WELL,DEPTH,DRAWDOWN,CONIPOS,SWAT,SGAS,CONJPOS,CONKPOS
1,STANDARD,2018-01-01,300.74176025390625,300.74176025390625,R_A2,1642.6766357421875,0,22,0.058035507798194885,0.0,30,1
2,STANDARD,2018-01-01,300.8693542480469,300.8693542480469,R_A2,1644.5797119140625,0,22,0.06109266355633736,0.0,30,2
3,STANDARD,2018-01-01,300.9969787597656,300.9969787597656,R_A2,1646.4827880859375,0,22,0.06467361748218536,0.0,30,3
4,STANDARD,2018-01-01,301.1246032714844,301.1246032714844,R_A2,1648.3858642578125,0,22,0.06989701092243195,0.0,30,4
5,STANDARD,2018-01-01,301.2522277832031,301.2522277832031,R_A2,1650.2889404296875,0,22,0.0755164623260498,0.0,30,5
6,STANDARD,2018-01-01,301.3798522949219,301.3798522949219,R_A2,1652.192138671875,0,22,0.3203580975532532,0.0,30,6
7,STANDARD,2018-01-01,301.5074768066406,301.5074768066406,R_A2,1654.09521484375,0,22,0.9086739420890808,0.0,30,7
8,STANDARD,2018-01-01,301.6351013183594,301.6351013183594,R_A2,1655.998291015625,0,22,0.8976571559906006,0.0,30,8
9,STANDARD,2018-01-01,301.76275634765625,301.76275634765625,R_A2,1657.9013671875,0,22,0.9267285466194153,0.0,30,9
10,STANDARD,2018-01-01,301.8904113769531,301.8904113769531,R_A2,1659.804443359375,0,22,0.934420645236969,0.0,30,10
11,STANDARD,2018-01-01,302.0218505859375,302.0218505859375,R_A2,1661.76416015625,0,22,0.08763651549816132,0.0,30,11
12,STANDARD,2018-01-01,302.1570739746094,302.1570739746094,R_A2,1663.7802734375,0,22,0.09146622568368912,0.0,30,12
13,STANDARD,2018-01-01,302.2923278808594,302.2923278808594,R_A2,1665.7965087890625,0,22,0.4906504154205322,0.0,30,13
14,STANDARD,2018-01-01,302.4275817871094,302.4275817871094,R_A2,1667.812744140625,0,22,0.5581257939338684,0.0,30,14
15,STANDARD,2018-01-01,302.5628356933594,302.5628356933594,R_A2,1669.8289794921875,0,22,0.752379834651947,0.0,30,15
16,STANDARD,2018-01-01,302.6980895996094,302.6980895996094,R_A2,1671.84521484375,0,22,0.996577262878418,0.0,30,16
17,STANDARD,2018-01-01,302.8333435058594,302.8333435058594,R_A2,1673.8614501953125,0,22,0.9969350695610046,0.0,30,17
18,STANDARD,2018-01-01,302.656005859375,302.656005859375,R_A2,1671.2178955078125,0,22,0.9765556454658508,0.0,29,17
19,STANDARD,2018-01-01,302.7922668457031,302.7922668457031,R_A2,1673.2490234375,0,22,1.0,0.0,29,18
20,STANDARD,2018-01-01,302.87554931640625,302.87554931640625,R_A2,1674.490478515625,0,22,1.0,0.0,29,19
21,STANDARD,2018-01-01,302.95184326171875,302.95184326171875,R_A2,1675.6275634765625,0,22,0.8172131776809692,0.0,29,25
22,STANDARD,2018-01-01,303.4267272949219,303.4267272949219,R_A2,1677.3953857421875,0,22,1.0,0.0,29,26
23,STANDARD,2018-01-01,303.59423828125,303.59423828125,R_A2,1679.1632080078125,0,22,1.0,0.0,29,27
24,STANDARD,2018-01-01,303.76177978515625,303.76177978515625,R_A2,1680.9310302734375,0,22,1.0,0.0,29,28
25,STANDARD,2018-01-01,303.9292907714844,303.9292907714844,R_A2,1682.6988525390625,0,22,1.0,0.0,29,29
1,STANDARD,2018-01-01,298.5301208496094,298.5301208496094,R_A3,1609.6844482421875,0,28,0.6481541991233826,0.0,41,1
2,STANDARD,2018-01-01,298.6632080078125,298.6632080078125,R_A3,1611.6702880859375,0,28,0.20040008425712585,0.0,41,2
3,STANDARD,2018-01-01,298.7962951660156,298.7962951660156,R_A3,1613.656005859375,0,28,0.2367432564496994,0.0,41,3
4,STANDARD,2018-01-01,298.92938232421875,298.92938232421875,R_A3,1615.6416015625,0,28,0.6481541991233826,0.0,41,4
