ZONE,REGION,BULK_OIL,PORV_OIL,HCPV_OIL,STOIIP_OIL,ASSOCIATEDGAS_OIL
Valysar,WestLowland,8373711,1411522,733852,511752,72054646
Valysar,CentralSouth,58831938,12632539,10157439,7083291,997327389
Valysar,CentralNorth,34316335,5940500,4015673,2800330,394286489
Valysar,NorthHorst,2968793,307697,122455,75218,14735202
Valysar,CentralRamp,13942654,2681169,2129406,1484941,209079756
Valysar,CentralHorst,83226881,15144059,11699174,8158420,1148705525
Valysar,EastLowland,435171,71161,15942,11117,1565267
Therys,WestLowland,2317324,465477,210000,146444,20619263
Therys,CentralSouth,11736630,2829044,1830007,1276155,179682688
Therys,CentralNorth,20206622,3997994,2446424,1706014,240206816
Therys,NorthHorst,3747870,595111,202999,124692,24427244
Therys,CentralRamp,6818552,1635249,1262251,880231,123936505
Therys,CentralHorst,28400648,7392191,5674441,3957072,557155701
Therys,EastLowland,0,0,0,0,0
Volon,WestLowland,421424,72818,46536,32452,4569219
Volon,CentralSouth,29870221,5257275,3352233,2337680,329145345
Volon,CentralNorth,7836708,1113531,617315,430485,60612246
Volon,NorthHorst,2482847,450670,293778,180454,35350840
Volon,CentralRamp,13424157,2514843,1968382,1372651,193269281
Volon,CentralHorst,74021631,13133647,9886928,6894650,970766787
Volon,EastLowland,0,0,0,0,0
