SGAS,CONJPOS,DRAWDOWN,WELL,CONIPOS,WELLMODEL,CONBPRES,DATE,CONKPOS,SWAT,CONIDX,DEPTH,PRESSURE
0.0,30,0,R_A2,22,STANDARD,300.50103759765625,2018-01-01,1,0.05870526656508446,1,1640.237548828125,300.50103759765625
0.0,30,0,R_A2,22,STANDARD,300.6214904785156,2018-01-01,2,0.059762440621852875,2,1642.033935546875,300.6214904785156
0.0,30,0,R_A2,22,STANDARD,300.741943359375,2018-01-01,3,0.06577641516923904,3,1643.8304443359375,300.741943359375
0.0,30,0,R_A2,22,STANDARD,300.8624267578125,2018-01-01,4,0.07147707045078278,4,1645.6268310546875,300.8624267578125
0.0,30,0,R_A2,22,STANDARD,300.9828796386719,2018-01-01,5,0.07579225301742554,5,1647.42333984375,300.9828796386719
0.0,30,0,R_A2,22,STANDARD,301.1033630371094,2018-01-01,6,0.17905916273593903,6,1649.2197265625,301.1033630371094
0.0,30,0,R_A2,22,STANDARD,301.22381591796875,2018-01-01,7,0.6750438809394836,7,1651.0162353515625,301.22381591796875
0.0,30,0,R_A2,22,STANDARD,301.34429931640625,2018-01-01,8,0.8902255296707153,8,1652.8126220703125,301.34429931640625
0.0,30,0,R_A2,22,STANDARD,301.46478271484375,2018-01-01,9,0.9191591143608093,9,1654.609130859375,301.46478271484375
0.0,30,0,R_A2,22,STANDARD,301.58526611328125,2018-01-01,10,0.9227979183197021,10,1656.4056396484375,301.58526611328125
0.0,30,0,R_A2,22,STANDARD,301.71026611328125,2018-01-01,11,0.08614751696586609,11,1658.269287109375,301.71026611328125
0.0,30,0,R_A2,22,STANDARD,301.83978271484375,2018-01-01,12,0.08347295969724655,12,1660.200439453125,301.83978271484375
0.0,30,0,R_A2,22,STANDARD,301.96929931640625,2018-01-01,13,0.4798772633075714,13,1662.13134765625,301.96929931640625
0.0,30,0,R_A2,22,STANDARD,302.09881591796875,2018-01-01,14,0.5366964936256409,14,1664.0625,302.09881591796875
0.0,30,0,R_A2,22,STANDARD,302.22833251953125,2018-01-01,15,0.7421941161155701,15,1665.9935302734375,302.22833251953125
0.0,30,0,R_A2,22,STANDARD,302.3578796386719,2018-01-01,16,0.9865904450416565,16,1667.924560546875,302.3578796386719
