CONIPOS,CONIDX,DATE,CONJPOS,SWAT,PRESSURE,DRAWDOWN,CONKPOS,WELLMODEL,DEPTH,WELL,CONBPRES,SGAS
22,1,2018-01-01,30,0.05479270592331886,300.7430419921875,0,1,STANDARD,1641.2607421875,R_A2,300.7430419921875,0.0
22,2,2018-01-01,30,0.05645989626646042,300.8627014160156,0,2,STANDARD,1643.04541015625,R_A2,300.8627014160156,0.0
22,3,2018-01-01,30,0.06001145392656326,300.9823913574219,0,3,STANDARD,1644.830078125,R_A2,300.9823913574219,0.0
22,4,2018-01-01,30,0.06596948206424713,301.10205078125,0,4,STANDARD,1646.6148681640625,R_A2,301.10205078125,0.0
22,5,2018-01-01,30,0.07053790986537933,301.22174072265625,0,5,STANDARD,1648.3995361328125,R_A2,301.22174072265625,0.0
22,6,2018-01-01,30,0.3073168992996216,301.3414306640625,0,6,STANDARD,1650.184326171875,R_A2,301.3414306640625,0.0
22,7,2018-01-01,30,0.8901172876358032,301.46112060546875,0,7,STANDARD,1651.968994140625,R_A2,301.46112060546875,0.0
22,8,2018-01-01,30,0.8554775714874268,301.580810546875,0,8,STANDARD,1653.753662109375,R_A2,301.580810546875,0.0
22,9,2018-01-01,30,0.6481541991233826,301.7005310058594,0,9,STANDARD,1655.5384521484375,R_A2,301.7005310058594,0.0
22,10,2018-01-01,30,0.22959432005882263,301.8202209472656,0,10,STANDARD,1657.3231201171875,R_A2,301.8202209472656,0.0
22,11,2018-01-01,30,0.07331965863704681,301.9460144042969,0,11,STANDARD,1659.19873046875,R_A2,301.9460144042969,0.0
22,12,2018-01-01,30,0.07797335088253021,302.07794189453125,0,12,STANDARD,1661.1654052734375,R_A2,302.07794189453125,0.0
22,13,2018-01-01,30,0.443584680557251,302.2098388671875,0,13,STANDARD,1663.1319580078125,R_A2,302.2098388671875,0.0
22,14,2018-01-01,30,0.48883238434791565,302.3417663574219,0,14,STANDARD,1665.0985107421875,R_A2,302.3417663574219,0.0
22,15,2018-01-01,30,0.6953815221786499,302.47369384765625,0,15,STANDARD,1667.065185546875,R_A2,302.47369384765625,0.0
22,16,2018-01-01,29,0.6644686460494995,302.5301818847656,0,15,STANDARD,1667.9073486328125,R_A2,302.5301818847656,0.0
22,17,2018-01-01,29,0.9543633460998535,302.6711120605469,0,16,STANDARD,1670.00830078125,R_A2,302.6711120605469,0.0
22,18,2018-01-01,29,0.934066891670227,302.81207275390625,0,17,STANDARD,1672.1092529296875,R_A2,302.81207275390625,0.0
22,19,2018-01-01,29,0.9763088226318359,302.94903564453125,0,18,STANDARD,1674.1510009765625,R_A2,302.94903564453125,0.0
22,20,2018-01-01,29,0.6481541991233826,303.0879211425781,0,28,STANDARD,1676.2208251953125,R_A2,303.0879211425781,0.0
22,21,2018-01-01,29,0.48445072770118713,303.20660400390625,0,29,STANDARD,1677.9898681640625,R_A2,303.20660400390625,0.0
22,22,2018-01-01,29,1.0,303.65069580078125,0,30,STANDARD,1679.7587890625,R_A2,303.65069580078125,0.0
22,23,2018-01-01,29,1.0,303.8183288574219,0,31,STANDARD,1681.52783203125,R_A2,303.8183288574219,0.0
22,24,2018-01-01,29,1.0,303.9859619140625,0,32,STANDARD,1683.2967529296875,R_A2,303.9859619140625,0.0
28,1,2018-01-01,41,0.6481541991233826,298.7891845703125,0,1,STANDARD,1612.1151123046875,R_A3,298.7891845703125,0.0
28,2,2018-01-01,41,0.2005598545074463,298.93096923828125,0,2,STANDARD,1614.23046875,R_A3,298.93096923828125,0.0
28,3,2018-01-01,41,0.20071493089199066,299.07275390625,0,3,STANDARD,1616.3458251953125,R_A3,299.07275390625,0.0
29,4,2018-01-01,41,0.18644772469997406,298.10675048828125,0,3,STANDARD,1601.9315185546875,R_A3,298.10675048828125,0.0
29,5,2018-01-01,41,0.34888607263565063,298.2482604980469,0,4,STANDARD,1604.0433349609375,R_A3,298.2482604980469,0.0
29,6,2018-01-01,41,0.804707407951355,298.3897705078125,0,5,STANDARD,1606.1552734375,R_A3,298.3897705078125,0.0
29,7,2018-01-01,41,0.6481541991233826,298.53131103515625,0,6,STANDARD,1608.26708984375,R_A3,298.53131103515625,0.0
29,8,2018-01-01,41,0.26974427700042725,298.6728515625,0,7,STANDARD,1610.3790283203125,R_A3,298.6728515625,0.0
29,9,2018-01-01,41,0.19413481652736664,298.8143615722656,0,8,STANDARD,1612.4908447265625,R_A3,298.8143615722656,0.0
29,10,2018-01-01,41,0.7978157997131348,298.9559020996094,0,9,STANDARD,1614.6026611328125,R_A3,298.9559020996094,0.0
29,11,2018-01-01,41,0.7986099720001221,299.09747314453125,0,10,STANDARD,1616.7144775390625,R_A3,299.09747314453125,0.0
29,12,2018-01-01,41,0.047555942088365555,299.24285888671875,0,11,STANDARD,1618.8836669921875,R_A3,299.24285888671875,0.0
29,13,2018-01-01,41,0.05272370204329491,299.39208984375,0,12,STANDARD,1621.1102294921875,R_A3,299.39208984375,0.0
29,14,2018-01-01,41,0.19829793274402618,299.5413513183594,0,13,STANDARD,1623.3367919921875,R_A3,299.5413513183594,0.0
29,15,2018-01-01,41,0.3167881667613983,299.69061279296875,0,14,STANDARD,1625.5633544921875,R_A3,299.69061279296875,0.0
29,16,2018-01-01,41,0.2992156445980072,299.8398742675781,0,15,STANDARD,1627.789794921875,R_A3,299.8398742675781,0.0
29,17,2018-01-01,41,0.7996153235435486,299.9839172363281,0,16,STANDARD,1629.938720703125,R_A3,299.9839172363281,0.0
29,18,2018-01-01,41,0.7828406691551208,300.0700378417969,0,17,STANDARD,1631.2230224609375,R_A3,300.0700378417969,0.0
29,19,2018-01-01,41,1.0,300.2149963378906,0,28,STANDARD,1633.3853759765625,R_A3,300.2149963378906,0.0
29,20,2018-01-01,41,0.11193861812353134,300.47161865234375,0,29,STANDARD,1637.212646484375,R_A3,300.47161865234375,0.0
29,21,2018-01-01,41,0.04856915771961212,300.7282409667969,0,30,STANDARD,1641.0399169921875,R_A3,300.7282409667969,0.0
29,22,2018-01-01,41,1.0,300.98486328125,0,31,STANDARD,1644.8671875,R_A3,300.98486328125,0.0
29,23,2018-01-01,41,0.06317277252674103,301.24151611328125,0,32,STANDARD,1648.6944580078125,R_A3,301.24151611328125,0.0
30,1,2018-01-01,52,0.04968671500682831,300.0370788574219,0,1,STANDARD,1630.731689453125,R_A4,300.0370788574219,0.0
31,2,2018-01-01,52,0.04891669377684593,299.7982482910156,0,1,STANDARD,1627.169189453125,R_A4,299.7982482910156,0.0
31,3,2018-01-01,52,0.04959787800908089,299.9370422363281,0,2,STANDARD,1629.2392578125,R_A4,299.9370422363281,0.0
31,4,2018-01-01,52,0.05245322734117508,300.0758056640625,0,3,STANDARD,1631.309326171875,R_A4,300.0758056640625,0.0
31,5,2018-01-01,52,0.05461746081709862,300.214599609375,0,4,STANDARD,1633.3795166015625,R_A4,300.214599609375,0.0
32,6,2018-01-01,52,0.05419376865029335,300.0468444824219,0,4,STANDARD,1630.8770751953125,R_A4,300.0468444824219,0.0
32,7,2018-01-01,52,0.05530139058828354,300.17449951171875,0,5,STANDARD,1632.7813720703125,R_A4,300.17449951171875,0.0
32,8,2018-01-01,51,0.05630100890994072,300.3295593261719,0,5,STANDARD,1635.093994140625,R_A4,300.3295593261719,0.0
33,9,2018-01-01,51,0.057970426976680756,300.4142150878906,0,5,STANDARD,1636.356689453125,R_A4,300.4142150878906,0.0
33,10,2018-01-01,50,0.05997462198138237,300.68841552734375,0,5,STANDARD,1640.446044921875,R_A4,300.68841552734375,0.0
34,11,2018-01-01,50,0.05973077937960625,300.7218322753906,0,5,STANDARD,1640.944580078125,R_A4,300.7218322753906,0.0
34,12,2018-01-01,50,0.06086597591638565,300.5910339355469,0,4,STANDARD,1638.99365234375,R_A4,300.5910339355469,0.0
