Project name			: /private/asny/Desktop/reek/resmod/ff/2019a/r001/rms/model/reek.rms11.0.1
Date				: 2020.02.19 17:17:12
Grid model name			: Geogrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       286091780.81         49829758.35         39598749.16         24904873.27
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  286091780.81         49829758.35         39598749.16         24904873.27
MidReek    1                       200782628.06         39000682.45         31545954.85         19840222.84
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  200782628.06         39000682.45         31545954.85         19840222.84
LowerReek  1                       122494683.92         25434448.35         21075584.94         13255084.65
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  122494683.92         25434448.35         21075584.94         13255084.65
Totals     1                       609369092.80        114264889.16         92220288.95         58000180.76
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  609369092.80        114264889.16         92220288.95         58000180.76
