DEPTH,CONBPRES,SWAT,CONJPOS,CONIPOS,CONKPOS,WELLMODEL,DRAWDOWN,CONIDX,SGAS,DATE,PRESSURE,WELL
1639.26806640625,300.6735534667969,0.05265050381422043,30,22,1,STANDARD,0,1,0.0,2018-01-01,300.6735534667969,R_A2
1641.011474609375,300.79046630859375,0.05419815704226494,30,22,2,STANDARD,0,2,0.0,2018-01-01,300.79046630859375,R_A2
1642.7550048828125,300.9073791503906,0.057764966040849686,30,22,3,STANDARD,0,3,0.0,2018-01-01,300.9073791503906,R_A2
1644.49853515625,301.0242919921875,0.0631183534860611,30,22,4,STANDARD,0,4,0.0,2018-01-01,301.0242919921875,R_A2
1646.241943359375,301.1412048339844,0.06521732360124588,30,22,5,STANDARD,0,5,0.0,2018-01-01,301.1412048339844,R_A2
1647.9853515625,301.25811767578125,0.6481541991233826,30,22,6,STANDARD,0,6,0.0,2018-01-01,301.25811767578125,R_A2
1649.728759765625,301.3750305175781,0.8625708818435669,30,22,7,STANDARD,0,7,0.0,2018-01-01,301.3750305175781,R_A2
1651.4722900390625,301.4919738769531,0.850671112537384,30,22,8,STANDARD,0,8,0.0,2018-01-01,301.4919738769531,R_A2
1653.2158203125,301.60888671875,0.6481541991233826,30,22,9,STANDARD,0,9,0.0,2018-01-01,301.60888671875,R_A2
1654.959228515625,301.725830078125,0.6481541991233826,30,22,10,STANDARD,0,10,0.0,2018-01-01,301.725830078125,R_A2
1656.824462890625,301.8509216308594,0.06565539538860321,30,22,11,STANDARD,0,11,0.0,2018-01-01,301.8509216308594,R_A2
1658.811767578125,301.9842224121094,0.06296008825302124,30,22,12,STANDARD,0,12,0.0,2018-01-01,301.9842224121094,R_A2
1660.798828125,302.1175231933594,0.423490047454834,30,22,13,STANDARD,0,13,0.0,2018-01-01,302.1175231933594,R_A2
1662.7861328125,302.25079345703125,0.45481523871421814,30,22,14,STANDARD,0,14,0.0,2018-01-01,302.25079345703125,R_A2
1664.773193359375,302.38409423828125,0.893205463886261,30,22,15,STANDARD,0,15,0.0,2018-01-01,302.38409423828125,R_A2
1666.7603759765625,302.51739501953125,0.9008266925811768,30,22,16,STANDARD,0,16,0.0,2018-01-01,302.51739501953125,R_A2
1671.21875,302.8164978027344,0.9427164196968079,29,22,16,STANDARD,0,17,0.0,2018-01-01,302.8164978027344,R_A2
1673.346435546875,302.959228515625,0.9144123792648315,29,22,17,STANDARD,0,18,0.0,2018-01-01,302.959228515625,R_A2
1675.285888671875,303.08935546875,0.9762141704559326,29,22,18,STANDARD,0,19,0.0,2018-01-01,303.08935546875,R_A2
1677.125244140625,303.2127685546875,0.7775503396987915,29,22,25,STANDARD,0,20,0.0,2018-01-01,303.2127685546875,R_A2
1678.8988037109375,303.3317565917969,0.7958734631538391,29,22,26,STANDARD,0,21,0.0,2018-01-01,303.3317565917969,R_A2
1680.6722412109375,303.4507751464844,1.0,29,22,27,STANDARD,0,22,0.0,2018-01-01,303.4507751464844,R_A2
