CONJPOS,CONKPOS,PRESSURE,WELLMODEL,SGAS,DEPTH,DATE,CONIDX,WELL,CONBPRES,DRAWDOWN,CONIPOS,SWAT
30,1,300.7209777832031,STANDARD,0.0,1641.6656494140625,2018-01-01,1,R_A2,300.7209777832031,0,22,0.056752946227788925
30,2,300.8377685546875,STANDARD,0.0,1643.407470703125,2018-01-01,2,R_A2,300.8377685546875,0,22,0.06041669100522995
30,3,300.9545593261719,STANDARD,0.0,1645.149169921875,2018-01-01,3,R_A2,300.9545593261719,0,22,0.0634278729557991
30,4,301.07135009765625,STANDARD,0.0,1646.8909912109375,2018-01-01,4,R_A2,301.07135009765625,0,22,0.06793226301670074
30,5,301.18817138671875,STANDARD,0.0,1648.6326904296875,2018-01-01,5,R_A2,301.18817138671875,0,22,0.0698365867137909
30,6,301.3049621582031,STANDARD,0.0,1650.37451171875,2018-01-01,6,R_A2,301.3049621582031,0,22,0.6481541991233826
30,7,301.4217834472656,STANDARD,0.0,1652.1162109375,2018-01-01,7,R_A2,301.4217834472656,0,22,0.8904920816421509
30,8,301.53857421875,STANDARD,0.0,1653.8580322265625,2018-01-01,8,R_A2,301.53857421875,0,22,0.8770120739936829
30,9,301.6553955078125,STANDARD,0.0,1655.5997314453125,2018-01-01,9,R_A2,301.6553955078125,0,22,0.8995845317840576
30,10,301.772216796875,STANDARD,0.0,1657.3414306640625,2018-01-01,10,R_A2,301.772216796875,0,22,0.8996534943580627
30,11,301.8990173339844,STANDARD,0.0,1659.2320556640625,2018-01-01,11,R_A2,301.8990173339844,0,22,0.07573370635509491
30,13,302.172607421875,STANDARD,0.0,1663.3106689453125,2018-01-01,12,R_A2,302.172607421875,0,22,0.45991262793540955
30,14,302.30938720703125,STANDARD,0.0,1665.3499755859375,2018-01-01,13,R_A2,302.30938720703125,0,22,0.5005854964256287
30,15,302.4461975097656,STANDARD,0.0,1667.389404296875,2018-01-01,14,R_A2,302.4461975097656,0,22,0.9503230452537537
29,15,302.6764831542969,STANDARD,0.0,1670.822021484375,2018-01-01,15,R_A2,302.6764831542969,0,22,0.9878773093223572
29,16,302.81414794921875,STANDARD,0.0,1672.8740234375,2018-01-01,16,R_A2,302.81414794921875,0,22,1.0
29,17,302.9517822265625,STANDARD,0.0,1674.9259033203125,2018-01-01,17,R_A2,302.9517822265625,0,22,0.9972497820854187
29,18,303.0771789550781,STANDARD,0.0,1676.7947998046875,2018-01-01,18,R_A2,303.0771789550781,0,22,1.0
29,29,303.5370788574219,STANDARD,0.0,1678.559814453125,2018-01-01,19,R_A2,303.5370788574219,0,22,1.0
29,30,303.70159912109375,STANDARD,0.0,1680.2960205078125,2018-01-01,20,R_A2,303.70159912109375,0,22,1.0
29,31,303.8661193847656,STANDARD,0.0,1682.0322265625,2018-01-01,21,R_A2,303.8661193847656,0,22,1.0
29,32,304.0306396484375,STANDARD,0.0,1683.7684326171875,2018-01-01,22,R_A2,304.0306396484375,0,22,1.0
29,33,304.1951599121094,STANDARD,0.0,1685.504638671875,2018-01-01,23,R_A2,304.1951599121094,0,22,1.0
41,1,298.71002197265625,STANDARD,0.0,1611.6676025390625,2018-01-01,1,R_A3,298.71002197265625,0,28,0.6481541991233826
41,2,298.8463439941406,STANDARD,0.0,1613.7017822265625,2018-01-01,2,R_A3,298.8463439941406,0,28,0.20087872445583344
41,3,298.9826965332031,STANDARD,0.0,1615.736083984375,2018-01-01,3,R_A3,298.9826965332031,0,28,0.19830068945884705
41,4,299.1190185546875,STANDARD,0.0,1617.770263671875,2018-01-01,4,R_A3,299.1190185546875,0,28,0.20862078666687012
41,5,299.25537109375,STANDARD,0.0,1619.804443359375,2018-01-01,5,R_A3,299.25537109375,0,28,0.6481541991233826
41,6,298.3689880371094,STANDARD,0.0,1606.5789794921875,2018-01-01,6,R_A3,298.3689880371094,0,29,0.6481541991233826
41,7,298.51031494140625,STANDARD,0.0,1608.6878662109375,2018-01-01,7,R_A3,298.51031494140625,0,29,0.19577451050281525
