Project name			: /project/fmu/tutorial/reek/resmod/ff/2019a/users/hakal/r001/rms/model/reek.rms11.0.1
Date				: 2019.11.13 14:23:05
Grid model name			: Simgrid

   Zone      Region index          Bulk                Pore                Hcpv               Stoiip       
UpperReek  1                       281010673.49         44959125.89         33344123.22         20971146.33
UpperReek  2                               0.00                0.00                0.00                0.00
UpperReek  Totals                  281010673.49         44959125.89         33344123.22         20971146.33
MidReek    1                       217141274.51         41208358.33         32166203.88         20230316.57
MidReek    2                               0.00                0.00                0.00                0.00
MidReek    Totals                  217141274.51         41208358.33         32166203.88         20230316.57
LowerReek  1                       127906626.86         26686687.17         21562168.75         13561112.20
LowerReek  2                               0.00                0.00                0.00                0.00
LowerReek  Totals                  127906626.86         26686687.17         21562168.75         13561112.20
Totals     1                       626058574.87        112854171.39         87072495.86         54762575.10
Totals     2                               0.00                0.00                0.00                0.00
Totals     Totals                  626058574.87        112854171.39         87072495.86         54762575.10
