ZONE,REGION,BULK_OIL,PORE_OIL,HCPV_OIL,STOIIP_OIL
UpperReek,1,281037151.51,44961694.37,33491160.72,21063622.74
UpperReek,2,0.0,0.0,0.0,0.0
MidReek,1,217141855.78,41212256.52,32363641.43,20354491.13
MidReek,2,0.0,0.0,0.0,0.0
LowerReek,1,127877366.67,26691808.51,21724513.02,13663215.51
LowerReek,2,0.0,0.0,0.0,0.0
