CONJPOS,DEPTH,WELLMODEL,SWAT,CONKPOS,PRESSURE,CONBPRES,DATE,WELL,CONIPOS,CONIDX,SGAS,DRAWDOWN
30,1641.094970703125,STANDARD,0.05673010274767876,1,300.6733093261719,300.6733093261719,2018-01-01,R_A2,22,1,0.0,0
30,1642.8890380859375,STANDARD,0.05777252838015556,2,300.7936096191406,300.7936096191406,2018-01-01,R_A2,22,2,0.0,0
30,1644.68310546875,STANDARD,0.060030754655599594,3,300.9139099121094,300.9139099121094,2018-01-01,R_A2,22,3,0.0,0
30,1646.4771728515625,STANDARD,0.06766234338283539,4,301.0342102050781,301.0342102050781,2018-01-01,R_A2,22,4,0.0,0
30,1648.2713623046875,STANDARD,0.06880508363246918,5,301.1545104980469,301.1545104980469,2018-01-01,R_A2,22,5,0.0,0
30,1650.0654296875,STANDARD,0.31025803089141846,6,301.27484130859375,301.27484130859375,2018-01-01,R_A2,22,6,0.0,0
30,1651.859619140625,STANDARD,0.891412079334259,7,301.3951721191406,301.3951721191406,2018-01-01,R_A2,22,7,0.0,0
30,1653.6536865234375,STANDARD,0.8774909377098083,8,301.5154724121094,301.5154724121094,2018-01-01,R_A2,22,8,0.0,0
30,1655.44775390625,STANDARD,0.9038383364677429,9,301.63580322265625,301.63580322265625,2018-01-01,R_A2,22,9,0.0,0
30,1657.2418212890625,STANDARD,0.9149646162986755,10,301.7561340332031,301.7561340332031,2018-01-01,R_A2,22,10,0.0,0
30,1659.1368408203125,STANDARD,0.07614300400018692,11,301.88323974609375,301.88323974609375,2018-01-01,R_A2,22,11,0.0,0
30,1661.132568359375,STANDARD,0.07716154307126999,12,302.01708984375,302.01708984375,2018-01-01,R_A2,22,12,0.0,0
30,1663.12841796875,STANDARD,0.4616602957248688,13,302.1509704589844,302.1509704589844,2018-01-01,R_A2,22,13,0.0,0
30,1665.1241455078125,STANDARD,0.5056487321853638,14,302.28485107421875,302.28485107421875,2018-01-01,R_A2,22,14,0.0,0
30,1667.1199951171875,STANDARD,0.6890329718589783,15,302.4187316894531,302.4187316894531,2018-01-01,R_A2,22,15,0.0,0
30,1669.11572265625,STANDARD,0.9704177379608154,16,302.5526123046875,302.5526123046875,2018-01-01,R_A2,22,16,0.0,0
30,1671.111572265625,STANDARD,0.949622392654419,17,302.6864929199219,302.6864929199219,2018-01-01,R_A2,22,17,0.0,0
30,1672.9881591796875,STANDARD,0.9828952550888062,18,302.8123779296875,302.8123779296875,2018-01-01,R_A2,22,18,0.0,0
29,1674.229736328125,STANDARD,0.9966256022453308,18,302.89569091796875,302.89569091796875,2018-01-01,R_A2,22,19,0.0,0
29,1676.1676025390625,STANDARD,1.0,27,303.02569580078125,303.02569580078125,2018-01-01,R_A2,22,20,0.0,0
29,1677.9368896484375,STANDARD,1.0,28,303.47802734375,303.47802734375,2018-01-01,R_A2,22,21,0.0,0
29,1679.7061767578125,STANDARD,1.0,29,303.64569091796875,303.64569091796875,2018-01-01,R_A2,22,22,0.0,0
29,1681.4754638671875,STANDARD,1.0,30,303.8133544921875,303.8133544921875,2018-01-01,R_A2,22,23,0.0,0
29,1683.2447509765625,STANDARD,1.0,31,303.98101806640625,303.98101806640625,2018-01-01,R_A2,22,24,0.0,0
41,1609.243408203125,STANDARD,0.6481541991233826,1,298.53814697265625,298.53814697265625,2018-01-01,R_A3,28,1,0.0,0
41,1611.3077392578125,STANDARD,0.19717952609062195,2,298.676513671875,298.676513671875,2018-01-01,R_A3,28,2,0.0,0
41,1613.3720703125,STANDARD,0.15042813122272491,3,298.8148498535156,298.8148498535156,2018-01-01,R_A3,28,3,0.0,0
41,1615.4365234375,STANDARD,0.6481541991233826,4,298.9532165527344,298.9532165527344,2018-01-01,R_A3,28,4,0.0,0
41,1617.5008544921875,STANDARD,0.8328844904899597,5,299.0915832519531,299.0915832519531,2018-01-01,R_A3,28,5,0.0,0
41,1619.565185546875,STANDARD,0.6481541991233826,6,299.2299499511719,299.2299499511719,2018-01-01,R_A3,28,6,0.0,0
41,1609.3663330078125,STANDARD,0.6481541991233826,6,298.54638671875,298.54638671875,2018-01-01,R_A3,29,7,0.0,0
41,1611.4163818359375,STANDARD,0.19782783091068268,7,298.68377685546875,298.68377685546875,2018-01-01,R_A3,29,8,0.0,0
