DRAWDOWN,CONIPOS,DEPTH,DATE,CONJPOS,WELLMODEL,CONKPOS,SGAS,PRESSURE,CONIDX,SWAT,CONBPRES,WELL
0,22,1646.22216796875,2018-01-01,30,STANDARD,3,0.0,301.0057678222656,3,0.06163804233074188,301.0057678222656,R_A2
0,22,1647.97314453125,2018-01-01,30,STANDARD,4,0.0,301.1231994628906,4,0.06798949837684631,301.1231994628906,R_A2
0,22,1649.7242431640625,2018-01-01,30,STANDARD,5,0.0,301.2406311035156,5,0.07166321575641632,301.2406311035156,R_A2
0,22,1651.475341796875,2018-01-01,30,STANDARD,6,0.0,301.3580627441406,6,0.3132101595401764,301.3580627441406,R_A2
0,22,1653.226318359375,2018-01-01,30,STANDARD,7,0.0,301.4754943847656,7,0.8985422849655151,301.4754943847656,R_A2
0,22,1654.9774169921875,2018-01-01,30,STANDARD,8,0.0,301.5929260253906,8,0.8839312791824341,301.5929260253906,R_A2
0,22,1656.728515625,2018-01-01,30,STANDARD,9,0.0,301.7103576660156,9,0.9046849012374878,301.7103576660156,R_A2
0,22,1658.4794921875,2018-01-01,30,STANDARD,10,0.0,301.82781982421875,10,0.9287601113319397,301.82781982421875,R_A2
0,22,1660.324951171875,2018-01-01,30,STANDARD,11,0.0,301.9515686035156,11,0.08248584717512131,301.9515686035156,R_A2
0,22,1662.2646484375,2018-01-01,30,STANDARD,12,0.0,302.0816955566406,12,0.08105757087469101,302.0816955566406,R_A2
0,22,1664.2042236328125,2018-01-01,30,STANDARD,13,0.0,302.2117919921875,13,0.4587004780769348,302.2117919921875,R_A2
0,22,1666.1439208984375,2018-01-01,30,STANDARD,14,0.0,302.3418884277344,14,0.523767352104187,302.3418884277344,R_A2
0,22,1668.08349609375,2018-01-01,30,STANDARD,15,0.0,302.4720153808594,15,0.6279200315475464,302.4720153808594,R_A2
0,22,1670.023193359375,2018-01-01,30,STANDARD,16,0.0,302.6021423339844,16,1.0,302.6021423339844,R_A2
0,22,1671.962890625,2018-01-01,30,STANDARD,17,0.0,302.7322692871094,17,0.973698616027832,302.7322692871094,R_A2
0,22,1673.3260498046875,2018-01-01,29,STANDARD,17,0.0,302.8236999511719,18,1.0,302.8236999511719,R_A2
0,22,1675.3424072265625,2018-01-01,29,STANDARD,18,0.0,302.958984375,19,1.0,302.958984375,R_A2
0,22,1677.244140625,2018-01-01,29,STANDARD,27,0.0,303.4123840332031,20,1.0,303.4123840332031,R_A2
0,22,1678.982666015625,2018-01-01,29,STANDARD,28,0.0,303.5771484375,21,1.0,303.5771484375,R_A2
0,22,1680.72119140625,2018-01-01,29,STANDARD,29,0.0,303.74188232421875,22,1.0,303.74188232421875,R_A2
0,22,1682.4598388671875,2018-01-01,29,STANDARD,30,0.0,303.9066467285156,23,1.0,303.9066467285156,R_A2
0,22,1684.198486328125,2018-01-01,29,STANDARD,31,0.0,304.0714111328125,24,1.0,304.0714111328125,R_A2
0,28,1610.078857421875,2018-01-01,41,STANDARD,1,0.0,298.58282470703125,1,0.6481541991233826,298.58282470703125,R_A3
0,28,1611.998291015625,2018-01-01,41,STANDARD,2,0.0,298.7114562988281,2,0.1975972205400467,298.7114562988281,R_A3
0,28,1613.917724609375,2018-01-01,41,STANDARD,3,0.0,298.840087890625,3,0.19765329360961914,298.840087890625,R_A3
0,28,1615.8372802734375,2018-01-01,41,STANDARD,4,0.0,298.96875,4,0.20135444402694702,298.96875,R_A3
0,29,1605.2554931640625,2018-01-01,41,STANDARD,4,0.0,298.25958251953125,5,0.298620343208313,298.25958251953125,R_A3
0,29,1607.367431640625,2018-01-01,41,STANDARD,5,0.0,298.4010925292969,6,0.810655951499939,298.4010925292969,R_A3
0,29,1609.479248046875,2018-01-01,41,STANDARD,6,0.0,298.5426330566406,7,0.6481541991233826,298.5426330566406,R_A3
0,29,1611.591064453125,2018-01-01,41,STANDARD,7,0.0,298.68414306640625,8,0.12953150272369385,298.68414306640625,R_A3
0,29,1613.7030029296875,2018-01-01,41,STANDARD,8,0.0,298.82568359375,9,0.11438065767288208,298.82568359375,R_A3
0,29,1615.8148193359375,2018-01-01,41,STANDARD,9,0.0,298.9672546386719,10,0.6481541991233826,298.9672546386719,R_A3
0,29,1617.9267578125,2018-01-01,41,STANDARD,10,0.0,299.1087951660156,11,0.7978917360305786,299.1087951660156,R_A3
0,29,1620.117919921875,2018-01-01,41,STANDARD,11,0.0,299.2556457519531,12,0.048977080732584,299.2556457519531,R_A3
0,29,1622.3885498046875,2018-01-01,41,STANDARD,12,0.0,299.4078674316406,13,0.05463719740509987,299.4078674316406,R_A3
0,29,1624.6591796875,2018-01-01,41,STANDARD,13,0.0,299.56005859375,14,0.36597296595573425,299.56005859375,R_A3
0,29,1626.9298095703125,2018-01-01,41,STANDARD,14,0.0,299.7122802734375,15,0.2230851948261261,299.7122802734375,R_A3
0,29,1629.1275634765625,2018-01-01,41,STANDARD,15,0.0,299.859619140625,16,0.48834869265556335,299.859619140625,R_A3
0,29,1630.8602294921875,2018-01-01,41,STANDARD,16,0.0,299.97576904296875,17,0.8124640583992004,299.97576904296875,R_A3
0,29,1633.3907470703125,2018-01-01,41,STANDARD,27,0.0,300.1454162597656,18,0.6959904432296753,300.1454162597656,R_A3
0,29,1636.9188232421875,2018-01-01,41,STANDARD,28,0.0,300.3819580078125,19,0.047929633408784866,300.3819580078125,R_A3
0,29,1640.44677734375,2018-01-01,41,STANDARD,29,0.0,300.6184997558594,20,0.05347095802426338,300.6184997558594,R_A3
