WELL,SWAT,CONJPOS,DATE,PRESSURE,SGAS,WELLMODEL,CONIDX,DEPTH,DRAWDOWN,CONKPOS,CONBPRES,CONIPOS
R_A2,0.0545693039894104,30,2018-01-01,300.78497314453125,0.0,STANDARD,1,1641.684326171875,0,1,300.78497314453125,22
R_A2,0.056890424340963364,30,2018-01-01,300.9049072265625,0.0,STANDARD,2,1643.4727783203125,0,2,300.9049072265625,22
R_A2,0.05890011787414551,30,2018-01-01,301.02484130859375,0.0,STANDARD,3,1645.26123046875,0,3,301.02484130859375,22
R_A2,0.06377177685499191,30,2018-01-01,301.144775390625,0.0,STANDARD,4,1647.0498046875,0,4,301.144775390625,22
R_A2,0.06878529489040375,30,2018-01-01,301.26470947265625,0.0,STANDARD,5,1648.838134765625,0,5,301.26470947265625,22
R_A2,0.3019897937774658,30,2018-01-01,301.3846435546875,0.0,STANDARD,6,1650.626708984375,0,6,301.3846435546875,22
R_A2,0.8878961801528931,30,2018-01-01,301.50457763671875,0.0,STANDARD,7,1652.4150390625,0,7,301.50457763671875,22
R_A2,0.8836678862571716,30,2018-01-01,301.6245422363281,0.0,STANDARD,8,1654.2034912109375,0,8,301.6245422363281,22
R_A2,0.8865846395492554,30,2018-01-01,301.7444763183594,0.0,STANDARD,9,1655.991943359375,0,9,301.7444763183594,22
R_A2,0.8987558484077454,30,2018-01-01,301.86444091796875,0.0,STANDARD,10,1657.7803955078125,0,10,301.86444091796875,22
R_A2,0.07361552864313126,30,2018-01-01,301.9927978515625,0.0,STANDARD,11,1659.6942138671875,0,11,301.9927978515625,22
R_A2,0.07917071133852005,30,2018-01-01,302.12957763671875,0.0,STANDARD,12,1661.7332763671875,0,12,302.12957763671875,22
R_A2,0.4365100562572479,30,2018-01-01,302.266357421875,0.0,STANDARD,13,1663.7724609375,0,13,302.266357421875,22
R_A2,0.4940374791622162,30,2018-01-01,302.40313720703125,0.0,STANDARD,14,1665.8116455078125,0,14,302.40313720703125,22
R_A2,0.9324944019317627,30,2018-01-01,302.5399475097656,0.0,STANDARD,15,1667.8507080078125,0,15,302.5399475097656,22
R_A2,0.990800678730011,30,2018-01-01,302.6767272949219,0.0,STANDARD,16,1669.889892578125,0,16,302.6767272949219,22
R_A2,0.9393566846847534,30,2018-01-01,302.81353759765625,0.0,STANDARD,17,1671.928955078125,0,17,302.81353759765625,22
R_A2,0.9382880330085754,29,2018-01-01,302.9193115234375,0.0,STANDARD,18,1673.5054931640625,0,17,302.9193115234375,22
R_A2,0.9874103665351868,29,2018-01-01,303.04046630859375,0.0,STANDARD,19,1675.3116455078125,0,18,303.04046630859375,22
R_A2,1.0,29,2018-01-01,303.1493225097656,0.0,STANDARD,20,1676.933837890625,0,24,303.1493225097656,22
R_A2,1.0,29,2018-01-01,303.2662048339844,0.0,STANDARD,21,1678.67626953125,0,25,303.2662048339844,22
R_A2,1.0,29,2018-01-01,303.7132263183594,0.0,STANDARD,22,1680.418701171875,0,26,303.7132263183594,22
R_A2,1.0,29,2018-01-01,303.8783264160156,0.0,STANDARD,23,1682.1611328125,0,27,303.8783264160156,22
R_A2,1.0,29,2018-01-01,304.04345703125,0.0,STANDARD,24,1683.903564453125,0,28,304.04345703125,22
R_A3,0.7716549038887024,41,2018-01-01,298.6438293457031,0.0,STANDARD,1,1609.744140625,0,1,298.6438293457031,28
R_A3,0.22890198230743408,41,2018-01-01,298.07550048828125,0.0,STANDARD,2,1601.263427734375,0,1,298.07550048828125,29
R_A3,0.12705260515213013,41,2018-01-01,298.2117004394531,0.0,STANDARD,3,1603.2958984375,0,2,298.2117004394531,29
R_A3,0.1520458161830902,41,2018-01-01,298.347900390625,0.0,STANDARD,4,1605.328369140625,0,3,298.347900390625,29
R_A3,0.14460137486457825,41,2018-01-01,298.4841003417969,0.0,STANDARD,5,1607.36083984375,0,4,298.4841003417969,29
R_A3,0.8095942735671997,41,2018-01-01,298.6203308105469,0.0,STANDARD,6,1609.3934326171875,0,5,298.6203308105469,29
R_A3,0.6481541991233826,41,2018-01-01,298.75653076171875,0.0,STANDARD,7,1611.4259033203125,0,6,298.75653076171875,29
R_A3,0.19760505855083466,41,2018-01-01,298.89276123046875,0.0,STANDARD,8,1613.4583740234375,0,7,298.89276123046875,29
R_A3,0.1984294056892395,41,2018-01-01,299.02899169921875,0.0,STANDARD,9,1615.490966796875,0,8,299.02899169921875,29
R_A3,0.6481541991233826,41,2018-01-01,299.16522216796875,0.0,STANDARD,10,1617.5234375,0,9,299.16522216796875,29
R_A3,0.2800580561161041,41,2018-01-01,299.30145263671875,0.0,STANDARD,11,1619.555908203125,0,10,299.30145263671875,29
R_A3,0.048163801431655884,41,2018-01-01,299.44354248046875,0.0,STANDARD,12,1621.67578125,0,11,299.44354248046875,29
R_A3,0.054448701441287994,41,2018-01-01,299.5915222167969,0.0,STANDARD,13,1623.883056640625,0,12,299.5915222167969,29
R_A3,0.3688797950744629,41,2018-01-01,299.7394714355469,0.0,STANDARD,14,1626.09033203125,0,13,299.7394714355469,29
R_A3,0.14670002460479736,41,2018-01-01,299.887451171875,0.0,STANDARD,15,1628.297607421875,0,14,299.887451171875,29
R_A3,0.5156702399253845,41,2018-01-01,300.0354309082031,0.0,STANDARD,16,1630.5048828125,0,15,300.0354309082031,29
