DEPTH,WELL,WELLMODEL,CONIPOS,CONBPRES,PRESSURE,DRAWDOWN,CONKPOS,CONJPOS,SGAS,CONIDX,DATE,SWAT
1644.68310546875,R_A2,STANDARD,22,300.9139099121094,300.9139099121094,0,3,30,0.0,3,2018-01-01,0.06060889735817909
1646.4771728515625,R_A2,STANDARD,22,301.0342102050781,301.0342102050781,0,4,30,0.0,4,2018-01-01,0.06530755013227463
1648.2713623046875,R_A2,STANDARD,22,301.1545104980469,301.1545104980469,0,5,30,0.0,5,2018-01-01,0.06916967034339905
1650.0654296875,R_A2,STANDARD,22,301.27484130859375,301.27484130859375,0,6,30,0.0,6,2018-01-01,0.3080350458621979
1651.859619140625,R_A2,STANDARD,22,301.3951721191406,301.3951721191406,0,7,30,0.0,7,2018-01-01,0.8966805338859558
1653.6536865234375,R_A2,STANDARD,22,301.5154724121094,301.5154724121094,0,8,30,0.0,8,2018-01-01,0.8801488876342773
1655.44775390625,R_A2,STANDARD,22,301.63580322265625,301.63580322265625,0,9,30,0.0,9,2018-01-01,0.9076734781265259
1657.2418212890625,R_A2,STANDARD,22,301.7561340332031,301.7561340332031,0,10,30,0.0,10,2018-01-01,0.9077416062355042
1659.1368408203125,R_A2,STANDARD,22,301.88323974609375,301.88323974609375,0,11,30,0.0,11,2018-01-01,0.07622610777616501
1661.132568359375,R_A2,STANDARD,22,302.01708984375,302.01708984375,0,12,30,0.0,12,2018-01-01,0.08180969953536987
1663.12841796875,R_A2,STANDARD,22,302.1509704589844,302.1509704589844,0,13,30,0.0,13,2018-01-01,0.4750072658061981
1665.1241455078125,R_A2,STANDARD,22,302.28485107421875,302.28485107421875,0,14,30,0.0,14,2018-01-01,0.512985348701477
1667.1199951171875,R_A2,STANDARD,22,302.4187316894531,302.4187316894531,0,15,30,0.0,15,2018-01-01,0.679781973361969
1669.11572265625,R_A2,STANDARD,22,302.5526123046875,302.5526123046875,0,16,30,0.0,16,2018-01-01,0.9705216884613037
1671.111572265625,R_A2,STANDARD,22,302.6864929199219,302.6864929199219,0,17,30,0.0,17,2018-01-01,0.9569120407104492
1672.9881591796875,R_A2,STANDARD,22,302.8123779296875,302.8123779296875,0,18,30,0.0,18,2018-01-01,0.9819161295890808
1674.229736328125,R_A2,STANDARD,22,302.89569091796875,302.89569091796875,0,18,29,0.0,19,2018-01-01,0.9946486949920654
1675.235107421875,R_A2,STANDARD,22,302.963134765625,302.963134765625,0,19,29,0.0,20,2018-01-01,0.9970273971557617
1676.1676025390625,R_A2,STANDARD,22,303.02569580078125,303.02569580078125,0,27,29,0.0,21,2018-01-01,1.0
1677.9368896484375,R_A2,STANDARD,22,303.47802734375,303.47802734375,0,28,29,0.0,22,2018-01-01,1.0
1679.7061767578125,R_A2,STANDARD,22,303.64569091796875,303.64569091796875,0,29,29,0.0,23,2018-01-01,1.0
1681.4754638671875,R_A2,STANDARD,22,303.8133544921875,303.8133544921875,0,30,29,0.0,24,2018-01-01,1.0
1683.2447509765625,R_A2,STANDARD,22,303.98101806640625,303.98101806640625,0,31,29,0.0,25,2018-01-01,1.0
1609.243408203125,R_A3,STANDARD,28,298.53814697265625,298.53814697265625,0,1,41,0.0,1,2018-01-01,0.6481541991233826
1611.3077392578125,R_A3,STANDARD,28,298.676513671875,298.676513671875,0,2,41,0.0,2,2018-01-01,0.1989089697599411
1613.3720703125,R_A3,STANDARD,28,298.8148498535156,298.8148498535156,0,3,41,0.0,3,2018-01-01,0.19339895248413086
1615.4365234375,R_A3,STANDARD,28,298.9532165527344,298.9532165527344,0,4,41,0.0,4,2018-01-01,0.3768196403980255
1617.5008544921875,R_A3,STANDARD,28,299.0915832519531,299.0915832519531,0,5,41,0.0,5,2018-01-01,0.6481541991233826
1619.565185546875,R_A3,STANDARD,28,299.2299499511719,299.2299499511719,0,6,41,0.0,6,2018-01-01,0.11064504086971283
1609.3663330078125,R_A3,STANDARD,29,298.54638671875,298.54638671875,0,6,41,0.0,7,2018-01-01,0.2853010296821594
1611.4163818359375,R_A3,STANDARD,29,298.68377685546875,298.68377685546875,0,7,41,0.0,8,2018-01-01,0.1971457451581955
1613.46630859375,R_A3,STANDARD,29,298.8211669921875,298.8211669921875,0,8,41,0.0,9,2018-01-01,0.19843679666519165
1615.516357421875,R_A3,STANDARD,29,298.95855712890625,298.95855712890625,0,9,41,0.0,10,2018-01-01,0.6858067512512207
1617.5662841796875,R_A3,STANDARD,29,299.095947265625,299.095947265625,0,10,41,0.0,11,2018-01-01,0.6481541991233826
1619.750732421875,R_A3,STANDARD,29,299.24237060546875,299.24237060546875,0,11,41,0.0,12,2018-01-01,0.0510573647916317
1622.0697021484375,R_A3,STANDARD,29,299.3978271484375,299.3978271484375,0,12,41,0.0,13,2018-01-01,0.054299186915159225
1624.388671875,R_A3,STANDARD,29,299.5532531738281,299.5532531738281,0,13,41,0.0,14,2018-01-01,0.37318161129951477
1626.707763671875,R_A3,STANDARD,29,299.7087097167969,299.7087097167969,0,14,41,0.0,15,2018-01-01,0.35039278864860535
1629.026611328125,R_A3,STANDARD,29,299.8641662597656,299.8641662597656,0,15,41,0.0,16,2018-01-01,0.4955688714981079
1630.9468994140625,R_A3,STANDARD,29,299.992919921875,299.992919921875,0,16,41,0.0,17,2018-01-01,0.8111844658851624
1633.5262451171875,R_A3,STANDARD,29,300.16583251953125,300.16583251953125,0,27,41,0.0,18,2018-01-01,0.7162989377975464
1637.1630859375,R_A3,STANDARD,29,300.40966796875,300.40966796875,0,28,41,0.0,19,2018-01-01,0.043079812079668045
1640.8001708984375,R_A3,STANDARD,29,300.6535339355469,300.6535339355469,0,29,41,0.0,20,2018-01-01,0.11963227391242981
1644.4371337890625,R_A3,STANDARD,29,300.89739990234375,300.89739990234375,0,30,41,0.0,21,2018-01-01,0.6481541991233826
1648.0740966796875,R_A3,STANDARD,29,301.14129638671875,301.14129638671875,0,31,41,0.0,22,2018-01-01,0.06493213027715683
1631.1873779296875,R_A4,STANDARD,30,300.009033203125,300.009033203125,0,1,52,0.0,1,2018-01-01,0.05092088505625725
1627.4293212890625,R_A4,STANDARD,31,299.7571105957031,299.7571105957031,0,1,52,0.0,2,2018-01-01,0.04962099716067314
1629.4896240234375,R_A4,STANDARD,31,299.89520263671875,299.89520263671875,0,2,52,0.0,3,2018-01-01,0.051607757806777954
1631.5498046875,R_A4,STANDARD,31,300.0333251953125,300.0333251953125,0,3,52,0.0,4,2018-01-01,0.054534994065761566
1633.610107421875,R_A4,STANDARD,31,300.17144775390625,300.17144775390625,0,4,52,0.0,5,2018-01-01,0.056367576122283936
1632.3968505859375,R_A4,STANDARD,32,300.0901184082031,300.0901184082031,0,4,52,0.0,6,2018-01-01,0.05706184357404709
1635.880615234375,R_A4,STANDARD,32,300.3236999511719,300.3236999511719,0,4,51,0.0,7,2018-01-01,0.11242767423391342
1637.321044921875,R_A4,STANDARD,33,300.4202575683594,300.4202575683594,0,4,51,0.0,8,2018-01-01,0.1584090143442154
1635.474609375,R_A4,STANDARD,33,300.29644775390625,300.29644775390625,0,3,51,0.0,9,2018-01-01,0.19343797862529755
1642.1485595703125,R_A4,STANDARD,33,300.74395751953125,300.74395751953125,0,4,50,0.0,10,2018-01-01,0.06403730064630508
1641.132080078125,R_A4,STANDARD,34,300.67578125,300.67578125,0,4,50,0.0,11,2018-01-01,0.062113311141729355
1639.20703125,R_A4,STANDARD,34,300.5467224121094,300.5467224121094,0,3,50,0.0,12,2018-01-01,0.6481541991233826
1640.9061279296875,R_A4,STANDARD,35,300.66064453125,300.66064453125,0,3,50,0.0,13,2018-01-01,0.2713562548160553
1639.0426025390625,R_A4,STANDARD,35,300.53570556640625,300.53570556640625,0,2,50,0.0,14,2018-01-01,0.23927634954452515
1641.93212890625,R_A4,STANDARD,35,300.72943115234375,300.72943115234375,0,2,49,0.0,15,2018-01-01,0.24014364182949066
1642.357421875,R_A4,STANDARD,36,300.7579650878906,300.7579650878906,0,30,49,0.0,16,2018-01-01,0.24251782894134521
1639.6068115234375,R_A4,STANDARD,36,300.5735168457031,300.5735168457031,0,30,48,0.0,17,2018-01-01,0.21051277220249176
1646.7513427734375,R_A4,STANDARD,37,301.0526123046875,301.0526123046875,0,30,48,0.0,18,2018-01-01,0.6481541991233826
1653.461669921875,R_A4,STANDARD,38,301.5025939941406,301.5025939941406,0,30,48,0.0,19,2018-01-01,0.6481541991233826
1657.8184814453125,R_A4,STANDARD,38,301.7947998046875,301.7947998046875,0,30,47,0.0,20,2018-01-01,0.6481541991233826
1685.026611328125,R_A5,STANDARD,31,303.8440856933594,303.8440856933594,0,1,20,0.0,1,2018-01-01,1.0
1687.3070068359375,R_A5,STANDARD,31,304.0601806640625,304.0601806640625,0,2,20,0.0,2,2018-01-01,1.0
1689.5875244140625,R_A5,STANDARD,31,304.27630615234375,304.27630615234375,0,3,20,0.0,3,2018-01-01,1.0
1691.8680419921875,R_A5,STANDARD,31,304.4924011230469,304.4924011230469,0,4,20,0.0,4,2018-01-01,1.0
1694.1485595703125,R_A5,STANDARD,31,304.7085266113281,304.7085266113281,0,5,20,0.0,5,2018-01-01,1.0
1696.4290771484375,R_A5,STANDARD,31,304.9246520996094,304.9246520996094,0,6,20,0.0,6,2018-01-01,1.0
1698.70947265625,R_A5,STANDARD,31,305.446533203125,305.446533203125,0,7,20,0.0,7,2018-01-01,1.0
1707.6488037109375,R_A5,STANDARD,31,305.988037109375,305.988037109375,0,11,20,0.0,8,2018-01-01,1.0
1709.5638427734375,R_A5,STANDARD,31,306.1695251464844,306.1695251464844,0,12,20,0.0,9,2018-01-01,1.0
1701.7845458984375,R_A5,STANDARD,31,305.4322814941406,305.4322814941406,0,12,21,0.0,10,2018-01-01,1.0
1703.735107421875,R_A5,STANDARD,31,305.6291198730469,305.6291198730469,0,13,21,0.0,11,2018-01-01,1.0
1705.6856689453125,R_A5,STANDARD,31,305.81396484375,305.81396484375,0,14,21,0.0,12,2018-01-01,1.0
1707.63623046875,R_A5,STANDARD,31,305.9988098144531,305.9988098144531,0,15,21,0.0,13,2018-01-01,1.0
1709.5867919921875,R_A5,STANDARD,31,306.3287048339844,306.3287048339844,0,16,21,0.0,14,2018-01-01,1.0
1711.537353515625,R_A5,STANDARD,31,306.5135498046875,306.5135498046875,0,17,21,0.0,15,2018-01-01,1.0
1713.35400390625,R_A5,STANDARD,31,306.6856994628906,306.6856994628906,0,18,21,0.0,16,2018-01-01,1.0
1714.3951416015625,R_A5,STANDARD,31,306.7843933105469,306.7843933105469,0,19,21,0.0,17,2018-01-01,1.0
1715.7628173828125,R_A5,STANDARD,31,306.75689697265625,306.75689697265625,0,27,21,0.0,18,2018-01-01,1.0
1718.098388671875,R_A5,STANDARD,31,306.978271484375,306.978271484375,0,28,21,0.0,19,2018-01-01,1.0
1720.43408203125,R_A5,STANDARD,31,307.5054016113281,307.5054016113281,0,29,21,0.0,20,2018-01-01,1.0
1722.7696533203125,R_A5,STANDARD,31,307.7267761230469,307.7267761230469,0,30,21,0.0,21,2018-01-01,1.0
1725.105224609375,R_A5,STANDARD,31,307.9481506347656,307.9481506347656,0,31,21,0.0,22,2018-01-01,1.0
1695.20263671875,R_A6,STANDARD,17,305.11419677734375,305.11419677734375,0,1,42,0.0,1,2018-01-01,1.0
1696.7510986328125,R_A6,STANDARD,17,305.2609558105469,305.2609558105469,0,2,42,0.0,2,2018-01-01,1.0
1698.299560546875,R_A6,STANDARD,17,305.4076843261719,305.4076843261719,0,3,42,0.0,3,2018-01-01,1.0
1699.84814453125,R_A6,STANDARD,17,305.554443359375,305.554443359375,0,4,42,0.0,4,2018-01-01,1.0
1701.3966064453125,R_A6,STANDARD,17,305.7012023925781,305.7012023925781,0,5,42,0.0,5,2018-01-01,1.0
1702.9451904296875,R_A6,STANDARD,17,305.84796142578125,305.84796142578125,0,6,42,0.0,6,2018-01-01,1.0
1704.49365234375,R_A6,STANDARD,17,305.6956481933594,305.6956481933594,0,7,42,0.0,7,2018-01-01,1.0
1706.042236328125,R_A6,STANDARD,17,305.8424072265625,305.8424072265625,0,8,42,0.0,8,2018-01-01,1.0
1707.5906982421875,R_A6,STANDARD,17,306.2882080078125,306.2882080078125,0,9,42,0.0,9,2018-01-01,1.0
1709.1392822265625,R_A6,STANDARD,17,306.1291809082031,306.1291809082031,0,10,42,0.0,10,2018-01-01,1.0
1711.055419921875,R_A6,STANDARD,17,306.3109130859375,306.3109130859375,0,11,42,0.0,11,2018-01-01,1.0
1713.3392333984375,R_A6,STANDARD,17,306.52734375,306.52734375,0,12,42,0.0,12,2018-01-01,1.0
1715.623046875,R_A6,STANDARD,17,306.7557678222656,306.7557678222656,0,13,42,0.0,13,2018-01-01,1.0
1717.9068603515625,R_A6,STANDARD,17,306.9721984863281,306.9721984863281,0,14,42,0.0,14,2018-01-01,1.0
1720.190673828125,R_A6,STANDARD,17,307.18865966796875,307.18865966796875,0,15,42,0.0,15,2018-01-01,1.0
1722.474365234375,R_A6,STANDARD,17,307.55010986328125,307.55010986328125,0,16,42,0.0,16,2018-01-01,1.0
1724.7581787109375,R_A6,STANDARD,17,307.7665710449219,307.7665710449219,0,17,42,0.0,17,2018-01-01,1.0
1726.394287109375,R_A6,STANDARD,17,307.921630859375,307.921630859375,0,18,42,0.0,18,2018-01-01,1.0
1727.7508544921875,R_A6,STANDARD,17,307.8930969238281,307.8930969238281,0,27,42,0.0,19,2018-01-01,1.0
1729.4755859375,R_A6,STANDARD,17,308.3623352050781,308.3623352050781,0,28,42,0.0,20,2018-01-01,1.0
1731.2001953125,R_A6,STANDARD,17,308.52581787109375,308.52581787109375,0,29,42,0.0,21,2018-01-01,1.0
1732.9249267578125,R_A6,STANDARD,17,308.68927001953125,308.68927001953125,0,30,42,0.0,22,2018-01-01,1.0
1734.649658203125,R_A6,STANDARD,17,308.5469665527344,308.5469665527344,0,31,42,0.0,23,2018-01-01,1.0
1641.094970703125,R_A2,STANDARD,22,298.66571044921875,298.66571044921875,0,1,30,0.0,1,2018-03-01,0.05660916492342949
1642.8890380859375,R_A2,STANDARD,22,298.78594970703125,298.78594970703125,0,2,30,0.0,2,2018-03-01,0.0579075925052166
1644.68310546875,R_A2,STANDARD,22,298.90618896484375,298.90618896484375,0,3,30,0.0,3,2018-03-01,0.06063683331012726
1646.4771728515625,R_A2,STANDARD,22,299.02642822265625,299.02642822265625,0,4,30,0.0,4,2018-03-01,0.06535374373197556
1648.2713623046875,R_A2,STANDARD,22,299.1466979980469,299.1466979980469,0,5,30,0.0,5,2018-03-01,0.0692632868885994
1650.0654296875,R_A2,STANDARD,22,299.2826843261719,299.2826843261719,0,6,30,0.0,6,2018-03-01,0.30844539403915405
1651.859619140625,R_A2,STANDARD,22,299.4155578613281,299.4155578613281,0,7,30,0.0,7,2018-03-01,0.8966180682182312
1653.6536865234375,R_A2,STANDARD,22,299.5475769042969,299.5475769042969,0,8,30,0.0,8,2018-03-01,0.880041241645813
1655.44775390625,R_A2,STANDARD,22,299.67681884765625,299.67681884765625,0,9,30,0.0,9,2018-03-01,0.9074035882949829
1657.2418212890625,R_A2,STANDARD,22,300.01922607421875,300.01922607421875,0,10,30,0.0,10,2018-03-01,0.9075970649719238
1659.1368408203125,R_A2,STANDARD,22,300.2161560058594,300.2161560058594,0,11,30,0.0,11,2018-03-01,0.07632144540548325
1661.132568359375,R_A2,STANDARD,22,300.3500671386719,300.3500671386719,0,12,30,0.0,12,2018-03-01,0.08211091160774231
1663.12841796875,R_A2,STANDARD,22,300.768798828125,300.768798828125,0,13,30,0.0,13,2018-03-01,0.4750226140022278
1665.1241455078125,R_A2,STANDARD,22,300.9637756347656,300.9637756347656,0,14,30,0.0,14,2018-03-01,0.5129464864730835
1667.1199951171875,R_A2,STANDARD,22,301.0968017578125,301.0968017578125,0,15,30,0.0,15,2018-03-01,0.6795616149902344
1669.11572265625,R_A2,STANDARD,22,301.22821044921875,301.22821044921875,0,16,30,0.0,16,2018-03-01,0.9705013632774353
1671.111572265625,R_A2,STANDARD,22,301.3615417480469,301.3615417480469,0,17,30,0.0,17,2018-03-01,0.9568946361541748
1672.9881591796875,R_A2,STANDARD,22,301.4872131347656,301.4872131347656,0,18,30,0.0,18,2018-03-01,0.9819087982177734
1674.229736328125,R_A2,STANDARD,22,301.5289611816406,301.5289611816406,0,18,29,0.0,19,2018-03-01,0.9946464896202087
1675.235107421875,R_A2,STANDARD,22,301.596435546875,301.596435546875,0,19,29,0.0,20,2018-03-01,0.9970261454582214
1676.1676025390625,R_A2,STANDARD,22,302.150390625,302.150390625,0,27,29,1.652954642193845e-14,21,2018-03-01,1.0
1677.9368896484375,R_A2,STANDARD,22,303.1275939941406,303.1275939941406,0,28,29,1.4310940108397237e-18,22,2018-03-01,1.0
1679.7061767578125,R_A2,STANDARD,22,303.5010986328125,303.5010986328125,0,29,29,1.8078051674392027e-19,23,2018-03-01,1.0
1681.4754638671875,R_A2,STANDARD,22,303.7317199707031,303.7317199707031,0,30,29,2.3339360068423643e-18,24,2018-03-01,1.0
1683.2447509765625,R_A2,STANDARD,22,303.1825866699219,303.1825866699219,0,31,29,-2.931096739359541e-15,25,2018-03-01,1.0
1685.026611328125,R_A5,STANDARD,31,273.8488464355469,273.8488464355469,0,1,20,7.371454571828686e-16,1,2018-04-28,1.0
1687.3070068359375,R_A5,STANDARD,31,274.06463623046875,274.06463623046875,0,2,20,3.871051411154235e-18,2,2018-04-28,1.0
1689.5875244140625,R_A5,STANDARD,31,274.280517578125,274.280517578125,0,3,20,1.8069042356100296e-14,3,2018-04-28,1.0
1691.8680419921875,R_A5,STANDARD,31,274.49639892578125,274.49639892578125,0,4,20,2.2746212601171614e-14,4,2018-04-28,1.0
1694.1485595703125,R_A5,STANDARD,31,274.7122802734375,274.7122802734375,0,5,20,2.2060644462454718e-14,5,2018-04-28,1.0
1696.4290771484375,R_A5,STANDARD,31,274.92816162109375,274.92816162109375,0,6,20,1.6841086834004475e-14,6,2018-04-28,1.0
1698.70947265625,R_A5,STANDARD,31,275.46673583984375,275.46673583984375,0,7,20,3.470684255331316e-15,7,2018-04-28,1.0
1707.6488037109375,R_A5,STANDARD,31,276.1451110839844,276.1451110839844,0,11,20,-2.8585675493353335e-12,8,2018-04-28,1.0
1709.5638427734375,R_A5,STANDARD,31,276.3767395019531,276.3767395019531,0,12,20,-2.4364562017237246e-12,9,2018-04-28,1.0
1701.7845458984375,R_A5,STANDARD,31,274.863037109375,274.863037109375,0,12,21,-9.627861008443261e-12,10,2018-04-28,1.0
1703.735107421875,R_A5,STANDARD,31,275.06402587890625,275.06402587890625,0,13,21,-1.0110479077216072e-12,11,2018-04-28,1.0
1705.6856689453125,R_A5,STANDARD,31,275.2529296875,275.2529296875,0,14,21,-1.5623927932667536e-12,12,2018-04-28,1.0
1707.63623046875,R_A5,STANDARD,31,275.45526123046875,275.45526123046875,0,15,21,-2.0760602438552045e-12,13,2018-04-28,1.0
1709.5867919921875,R_A5,STANDARD,31,275.8160400390625,275.8160400390625,0,16,21,-4.1096610164416403e-13,14,2018-04-28,1.0
1711.537353515625,R_A5,STANDARD,31,276.0470886230469,276.0470886230469,0,17,21,-7.093778282884003e-14,15,2018-04-28,1.0
1713.35400390625,R_A5,STANDARD,31,276.264892578125,276.264892578125,0,18,21,-6.921989836785464e-14,16,2018-04-28,1.0
1714.3951416015625,R_A5,STANDARD,31,276.3805847167969,276.3805847167969,0,19,21,0.0,17,2018-04-28,1.0
1715.7628173828125,R_A5,STANDARD,31,276.36376953125,276.36376953125,0,27,21,-3.936580228458553e-12,18,2018-04-28,1.0
1718.098388671875,R_A5,STANDARD,31,276.6143798828125,276.6143798828125,0,28,21,-3.2381083491656026e-12,19,2018-04-28,1.0
1720.43408203125,R_A5,STANDARD,31,291.3560791015625,291.3560791015625,0,29,21,2.4415551513664454e-19,20,2018-04-28,1.0
1722.7696533203125,R_A5,STANDARD,31,302.0729675292969,302.0729675292969,0,30,21,1.704122318571907e-21,21,2018-04-28,1.0
1725.105224609375,R_A5,STANDARD,31,305.7779235839844,305.7779235839844,0,31,21,-2.904979551413456e-21,22,2018-04-28,1.0
1609.243408203125,R_A3,STANDARD,28,280.8214111328125,280.8214111328125,0,1,41,0.0,1,2018-07-03,0.6493512988090515
1611.3077392578125,R_A3,STANDARD,28,280.97027587890625,280.97027587890625,0,2,41,0.0,2,2018-07-03,0.1995982527732849
1613.3720703125,R_A3,STANDARD,28,281.10809326171875,281.10809326171875,0,3,41,0.0,3,2018-07-03,0.19408102333545685
1615.4365234375,R_A3,STANDARD,28,281.26239013671875,281.26239013671875,0,4,41,0.0,4,2018-07-03,0.37635040283203125
1617.5008544921875,R_A3,STANDARD,28,281.4061584472656,281.4061584472656,0,5,41,0.0,5,2018-07-03,0.6494259834289551
1619.565185546875,R_A3,STANDARD,28,281.5559387207031,281.5559387207031,0,6,41,0.0,6,2018-07-03,0.11097931861877441
1609.3663330078125,R_A3,STANDARD,29,280.8401184082031,280.8401184082031,0,6,41,0.0,7,2018-07-03,0.2854820787906647
1611.4163818359375,R_A3,STANDARD,29,280.97686767578125,280.97686767578125,0,7,41,0.0,8,2018-07-03,0.19739457964897156
1613.46630859375,R_A3,STANDARD,29,281.1136779785156,281.1136779785156,0,8,41,0.0,9,2018-07-03,0.19884179532527924
1615.516357421875,R_A3,STANDARD,29,281.2596740722656,281.2596740722656,0,9,41,0.0,10,2018-07-03,0.6871587634086609
1617.5662841796875,R_A3,STANDARD,29,281.5641174316406,281.5641174316406,0,10,41,0.0,11,2018-07-03,0.6496002078056335
1619.750732421875,R_A3,STANDARD,29,281.8528747558594,281.8528747558594,0,11,41,0.0,12,2018-07-03,0.05116879940032959
1622.0697021484375,R_A3,STANDARD,29,282.00762939453125,282.00762939453125,0,12,41,0.0,13,2018-07-03,0.0544314868748188
1624.388671875,R_A3,STANDARD,29,282.1627502441406,282.1627502441406,0,13,41,0.0,14,2018-07-03,0.3737567067146301
1626.707763671875,R_A3,STANDARD,29,283.1087341308594,283.1087341308594,0,14,41,0.0,15,2018-07-03,0.35093045234680176
1629.026611328125,R_A3,STANDARD,29,282.7913818359375,282.7913818359375,0,15,41,0.0,16,2018-07-03,0.4958263039588928
1630.9468994140625,R_A3,STANDARD,29,282.93994140625,282.93994140625,0,16,41,0.0,17,2018-07-03,0.8098899126052856
1633.5262451171875,R_A3,STANDARD,29,286.80584716796875,286.80584716796875,0,27,41,0.0,18,2018-07-03,0.7170923948287964
1637.1630859375,R_A3,STANDARD,29,283.0101013183594,283.0101013183594,0,28,41,0.0,19,2018-07-03,0.043367061764001846
1640.8001708984375,R_A3,STANDARD,29,283.2529602050781,283.2529602050781,0,29,41,0.0,20,2018-07-03,0.12010060995817184
