order,utm_x,utm_y,measured_depth,true_vertical_depth,zone,pressure,swat,sgas,soil,valid_zone,is_active,i,j,k,well,time
0,460994.9,5933813.29,1697.9,1648.9,Valysar,298.90618896484375,0.06063683331012726,0.0,0.9393631666898727,True,True,21,29,2,R_A2,2018-03-01
0,462753.44,5932869.64,1673.4,1624.4,Therys,282.00762939453125,0.0544314868748188,0.0,0.9455685131251812,True,True,28,40,11,R_A3,2018-07-03
1,462753.44,5932869.64,1690.7,1641.7,Volon,283.2529602050781,0.12010060995817184,0.0,0.8798993900418282,True,True,28,40,28,R_A3,2018-07-03
0,464008.822,5931878.919,2578.7,1634.538,Valysar,276.5723876953125,0.11263726651668549,0.0,0.8873627334833145,True,True,31,50,3,R_A4,2018-09-12
1,464291.761,5932429.155,3197.5,1643.655,Volon,280.24114990234375,0.2392335832118988,0.0,0.7607664167881012,True,True,35,48,29,R_A4,2018-09-12
0,461519.21,5935692.65,1737.8,1688.8,Valysar,274.280517578125,1.0,1.8069042356100296e-14,-1.8069042356100296e-14,True,True,30,19,2,R_A5,2018-04-28
1,461519.21,5935692.65,1769.1,1720.1,Volon,276.6143798828125,1.0,-3.2381083491656026e-12,3.2381083491656026e-12,True,True,30,20,27,R_A5,2018-04-28
0,461292.74,5931883.26,1759.9,1710.9,Therys,274.8182373046875,1.0,-8.33643804812823e-17,8.33643804812823e-17,True,True,16,41,10,R_A6,2018-11-07
1,461292.74,5931883.26,1777.4,1728.4,Volon,276.6991882324219,1.0,1.871103125398244e-23,-1.871103125398244e-23,True,True,16,41,27,R_A6,2018-11-07
